addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청남도 계룡시 두마면 입암길 218,,34,0,A01,A0101,A01011800,2654766,12,20200429010534,http://tong.visitkorea.or.kr/cms/resource/12/2675812_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2675812_image2_1.jpg,127.2555380499,36.2433505799,6,20220321063315,4,16,,계룡 입암저수지,32842,"충남 계룡시가 2017년부터 3년에 걸쳐 입암리 마을 종합개발 사업을 추진하면서, 지역 경관이 개선되어 새로운 명소로 떠오르고 있는 곳으로 메타세쿼이아 나무가 있어 이국적인 느낌을 내며, 가을에 화려한 단풍을 볼 수 있어 숨겨진 단풍 명소다."
충청남도 계룡시 두마면 사계로 122-4,(두마면),34,0,A02,A0201,A02010400,1937772,12,20140729235637,,,127.271408256,36.2655816518,6,20220429102430,4337,16,,계룡 사계고택,32836," 사계 선생이 후진을 가르치던 사계고택   충남 계룡시 두마면 사계로 1224에 자리한 사계고택은 조선 중기의 문인 사계 김장생 선생이 살던 집이다. 사계 선생이 말년에 벼슬을 버리고 고향에 내려와 살면서 아들 신독재 김집, 우암 송시열, 동춘당 송준길 등 후학을 양성한 곳이다. 대문으로 들어서면 정면에 있는 사랑채가 먼저 눈에 들어온다. 대문 옆으로 길게 붙은 문간방은 현재 사계전시관으로 활용되고 있다. 사계 선생의 일대기와 유물을 비롯해 그의 스승과 제자들을 살펴볼 수 있다."
충청남도 계룡시 신도안면 남선리,,34,0,A02,A0202,A02020700,1937770,12,20140729235253,,,127.245414527,36.3254326813,6,20220407160323,3453,16,,무궁화학습원(괴목정),32801,"계룡시 신도안면 용동리에 있는 유서깊은 공원으로 옛날에는 사람 많은 곳을 피해온 사람들이 이 근처에 자리잡고 살았다 한다. 그들은 이곳에 않아 신선객이야기를 하다가 나무를 골라서 심곤 하였는데 되는대로 땅에 꽂은 나무는 모두가 괴목이었다고 하며, 나무가 많아서 괴목정이라 부른다고 전한다. 또한 태조가 신도안을 도읍지로 정하고 주변 형세를 살필 때 무학대사가 이곳을 지나다가 지팡이를 무심코 꽂아 놓은 것이 나무가 되어 지금까지 살아 큰 괴목이 되었다고도 하는데 그 괴목이 정자 같은 구실을 한다 하여 괴목정이라고 부른다고 전한다."
충남 계룡시 금암동,,34,0,A01,A0101,A01010400,1114311,12,20101020233401,,,127.2420886739,36.2648867702,6,20220708110846,28374,16,,천마산,"321-900,1",동쪽으로는 계룡시 금암동 신시가지가 한 눈에 내려다 보이고 서남쪽으로는 백제계백장군의 충혼이 어린 황산벌이 멀리 바라다 보인다. 또한 서편 기슭으로는 왕건이 하늘의 도움으로 후백제를 멸망시키고 세웠다는 개태사가 자리하고 있다. 천마산 정상에는 천마정이라는 정자가 있어 조망이 좋다.
충청남도 계룡시 두마면 왕대2길 6-10,(두마면),34,0,A02,A0201,A02010700,1114250,12,20101020230029,http://tong.visitkorea.or.kr/cms/resource/27/1277627_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/1277627_image3_1.jpg,127.2735305757,36.2548884672,6,20220810092400,26138,16,,모원재,32840,"조선 성종때 좌의정(左議政)을 역임한 김국광(金國光)(1415∼1480) 선생의 재실(齋室)이다. 김국광은 세종 23년(1441) 문과에 급제하여 벼슬길에 올랐고 세조의 즉위를 도와 두터운 신임을 얻게 되었다.『경국대전편찬에 적극적으로 참여하였으며 벼슬이 병조판서를 거쳐 우의정과 좌의정에 이르렀다. 인조 원년(1623)에 지은 모원재는 앞면 4칸옆면 3칸 규모이며, 지붕은 옆면에서 볼 때 여덟 팔(八)자 모양인 팔작지붕이다."
충청남도 계룡시 두마면 왕대2길 43,(두마면),34,0,A02,A0201,A02010700,1114207,12,20101020202027,http://tong.visitkorea.or.kr/cms/resource/45/2518445_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/2518445_image2_1.jpg,127.2704475087,36.2552494827,6,20220929164340,25600,16,,두마신원재,32840,"조선 중기에 건립된 사계 김장생의  9번째 아들인 김비(1913～1699)의 재실이다. 재실은 굴도리계통 정면 4간 측면 1.5칸의 홀처마 팔작지붕이다. 우측 2칸은 온돌방 좌측 2칸은 대청마루 구조이다. 전면에 신원재라는 현판이 걸려있다. 신원재(愼遠齋)는 부친이 돌아가시자 그의 형제인 신독재(愼獨齋) 김집(金集)과 그 형제들이 1632년 함께 건물을 짓고 이 곳에서 그의 조부 및 부친인 사계(沙溪) 김장생(金長生)선생의 저서 등을 정리 집필하였던 곳이고, 신독재 사후 그의 막내 동생 김비가 황강행장(黃岡行狀) 및 실기(實記), 사계, 신독재 전서 등을 정리 집필하였던 유서 깊은 곳으로써 그 후 여러 차례 보수되었으나 한옥재실로서 원래의 모습이 잘 보존되어있다.  조선 중기의 전통 한식 목조 와가로 되어있다."
충청남도 계룡시 사계로 5-16,,34,0,A02,A0201,A02010700,1114200,12,20101020201656,http://tong.visitkorea.or.kr/cms/resource/20/1278220_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/1278220_image3_1.jpg,127.2618728942,36.2694449308,6,20220805094815,25998,16,,염선재,32834,"염선재는 김종서 장군의 7대 손이자 사계선생 계배 순천 김씨 정부인의 제각이다.어려서부터 효성이 지극하였고 사계선생이 1631년 8월 3일 타계후 부군의 삼년상을 마치고 1634년 계유년 12월 9일(향년 62세)에 부군의 뒤를 따르기 위해 식음을 전폐하여 스스로 목숨을 끊어 효와 열의 근본이 되었다. 광무 십년(1906년) 4월 18일 정부인 순천김씨라는 칙명의 교지를 받았다.고종 19년(1882)에 지은 이 건물은 앞면 4칸·옆면 2칸 규모이며, 지붕은 옆면에서 볼 때 여덟 팔(八)자 모양인 팔작지붕이다. 1987년에는 부패되어 손상된 기둥 밑부분을 절단하고 화강석으로 보강하였다. 염선재는 원래 작은 제각이었으나 1913년에 현재의 건물로 증축되어 조선말 전통 가옥 형태를 잘 보존하여 1990년 9월 27일 지방문화재 자료로 지정되었다."
충청남도 계룡시 금암1길 7,(금암동),34,0,A02,A0205,A02050200,1114146,12,20101020191318,http://tong.visitkorea.or.kr/cms/resource/77/1278277_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/1278277_image3_1.jpg,127.2470600459,36.2800017955,6,20220804100346,27410,16,,이심원충신정려현판,32823,"조선 성종 때의 문신이자 태종의 둘째아들인 효령대군의 증손자인 이심원의 충절을 기리고 있는 정려문에 내린 현판이다. 이심원은 김종직의 문인으로, 성질이 엄정하고 학문과 의술에 정통하였다. 성종 9년(1478) 주계부정에 제수된 후 성종 18년(1487) 과거에 장원으로 급제하여 정의대부에 임명되었다. 고모부인 임사홍 부자의 간사한 사실을 알고 성종임금에게 임사홍을 중요한 자리에 쓰지 말 것을 다섯차례나 상소로 올리기도 하였다. 하지만 이로 인해 연산군 10년(1504) 갑자사화 때 임사홍의 모함으로 두 아들과 함께 죽임을 당하였다. 중종 14년(1519) 조광조 ·정광필 등의 상소로 죄를 면하고, 주계군으로 증직되었다. 이후 홍록대부로 추증되어 그의 충절을 기리는 정려문이 세워졌다. 그의 이러한 행적을『명신록, 『삼강행실, 『국고보감등의 책에 기록하여 학문과 충절을 돋보이도록 하였다. 저서로는 『성광유고가 있다. 금암동에 있는 주계군 정려는 정면 2간, 측면 1간의 규모이며 철책으로 보호되고 있다. 기단은 막돌을 사용하여 1단을 구축하였으며 그 위에 원형의 주초석을 놓고 원주를 세웠다. 4면은 홍살로 처리하였으며 하방과 중방을 시설하였다. 가구양식은 도리식을 이용했으며, 처마는 겹처마이고, 측면의 박공널 밑에는 방풍판을 설치하여 정려를 보호하고 있다. 정려의 내부에는 명정 현판과 함께 중수기가 있다."
충청남도 계룡시 두마면,,34,0,A02,A0205,A02050200,1114077,12,20101020025802,,,127.2576375592,36.254652103,6,20221122182944,22116,16,,계룡산신도내주초석석재,32842,"신도(新都)내의 부남리를 비롯하여 정장리, 석계리 일대 약 1만여평에 달하는 넓은 지역에 흩어져 있는 주춧돌들이다. 이 곳은 계룡산 남쪽으로 대궐평(大闕坪)이라고 부르는데 계룡산을 북으로 업고 좌우에 산줄기가 내려와 좌청룡 우백호의 지형을 이루고 있어 풍수지리적으로 좋은 위치에 해당한다. 고려가 망한 후 조선의 태조 이성계는 왕도를 새 자리로 옮겨 넓히고자 신도시 지역을 찾다가 이 곳 대궐평에 자리를 정하여 궁궐을 짓기 시작하면서 석재를 이 곳으로 옮겨 왔다. 그러나 수운(水運)이 없다하여 공사를 중지하였는데 그 때의 석재들이 이렇게 곳곳에 남아있는 것이다. 석재는 사람의 힘으로는 운반하기 힘든 큰 돌들로서, 당시 가져다 놓았다는 94개중 파손된 2개를 뺀 나머지는 거의 그대로 보존되어 있다. 원래 석재들이 있던 곳은 원불교 훈련원인 삼동원(三同院)의 정원과 그 건물 주변이었는데 1950년대 말에 이 곳에 삼동원 건물이 들어 오면서 다소 자리가 이동되었다. 그 후 계룡시가 설계되고 삼군본부가 들어오면서 여군숙소인 근화원(槿花園) 주변에 석재를 모아 세 곳에 보관하고 있다. 석재들은 아직 형태를 갖추지 않은 부정형(不定形)의 석괴로 주춧돌용의 6면체 석재가 있는가 하면 장대석을 만들기 위해 준비한 길다란 돌들도 있다. 초석용의 석재 중 큰 것은 가로 170cm에 세로 130cm, 높이 100cm, 또는 150cm×120cm×95cm 등이 있고 장대석은 길이 310cm, 폭 80cm, 두께 50cm의 것도 있으나 대개 길이 1.5m2m 내외가 많다."
충청남도 계룡시 엄사면 향적산길 129,,34,0,A02,A0201,A02010800,128874,12,20060330090000,http://tong.visitkorea.or.kr/cms/resource/70/1277770_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/1277770_image3_1.jpg,127.2123128391,36.2917581729,6,20220530074715,21720,16,,무상사(계룡),32816,"외국인스님들이 한국불교의 간화선을 닦는 수행도량이 바로 무상사다. 무상사는 매년 여름과 겨울, 두차례에 걸쳐 결재로 알려져 있는 3 개월 간의 집중 선수행 안거를 실시한다. 무상사에서의 결재는 전 세계에서 온 비구와 비구니, 재가자들이 전통적인 한국 사찰의 방식대로 함께 수행하는 것이다. 묵언을 원칙으로 하는 수행 일정은 좌선, 포행, 절, 염불, 운력과 발우공양으로 구성되며 일주일에 두 번 공안 인터뷰가 있고 매주 법문이 있다.한 해 사찰의 일정은 하안거와 동안거 그리고 해재 기간으로 구성된다. 해재 기간 중에는 다양한 프로그램들이 진행된다. 주말안거와 특별행사, 워크샾등이 진행된다. 무상사는 또한 스님(외국인)이 되기위한 행자와 사미, 사미니 교육을 제공하며, 재가 수행자들을 위한 행원 프로그램, 템플스테이와 같은 프로그램도 마련되어 있다. 모든 프로그램은 영어와 한국어로 운영된다."
