addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청남도 공주시 금성동,58,34,,A02,A0201,A02010700,2916020,12,20221123125802,http://tong.visitkorea.or.kr/cms/resource/15/2916015_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2916015_image3_1.jpg,127.1284823825,36.4639258691,6,20221123125819,1,1,,공산성연지,32555,"공산성연지는 충청남도 공주시 금성동에 있는 연못터다. 1982년 12월 31일 충청남도 기념물 제42호로 지정되었다. 영은사 앞에 있는 연못터에 단을 둔 석축을 정연하게 쌓았다. 백제시대부터 계속하여 이용되어 왔음을 시사하고 있는 이 연지는 산성의 구조를 연구하는 데 중요한 자료다. 백제문화를 둘러 보기 좋은 곳으로 공주IC에서 가깝고, 주변에 금강신관공원과 미르섬이 있다."
충청남도 공주시 고마나루길 30,,34,,A02,A0210,A02100700,2855106,12,20220919144108,,,127.1112645204,36.4625673887,6,20220919144133,0,1,,백제오감체험관,32535,"백제오감체험관은 곰과 인간에 얽힌 전설이 내려오는 유서 깊은 명승지인 고마나루 명승길에 자리하고 있다.
인근의 송산리고분군, 국립공주박물관에서 눈과 귀로 배운 역사를 손끝으 로 직접 체험할 수 있는 다양한 콘텐츠를 갖췄다.
지하 1층과 지상 1·2층에 8개의 테마관을 갖춘 이곳 체험관은 탁본문양체험, 야광스탬프 등 오감을 자극하는 체험형 놀이 및 게임 프로그램을 설계해 관람객이 자연스럽게 웅진백제 문화 와 역사를 배우고 즐길 수 있도록 했다. 주목할 만한 공간은 1층 로비에 자리한 공감의 창으로 소리와 터치로 색상이 변하는 2층 높이의 압도적인 규모의 패널이다. 이 패널에는 관람객이 체험 관에서 찍은 사진을 해시태그와 함께 SNS에 올린 콘텐츠를 화면으로 보여줘 모바일 세대의 관심이 높을 것으로 기대된다. 또 한 같은 층에 자리한 창조의 창에서는 백제시대 유물을 크레파스로 예쁘게 채색한 후 스캐너로 통해 그래픽 맵핑 영상으로 벽면에 띄울 수 있어 색다른 체험을 할 수 있다.

(공주 문화관광 홈페이지 발췌)"
충청남도 공주시 정안마곡사로 396 월산초등학교,소랭이 마을,34,,A02,A0203,A02030100,2827450,12,20220712112952,,,127.0835847656,36.6275535183,6,20220816150705,3,1,041-850-8250,소랭이마을,32510,"전국 최대의 밤꽃군락지이자 최고 품질의 밤을 생산하는 곳으로, 마을의 80가 산으로 이루어진 전형적인 농산촌으로 임야에는 빼곡히 밤나무가 심어져 있는데,
이 나무들이 바로 전국적인 명성을 얻고 있는 정안 밤을 생산한다.
폐교되었던 월산초등학교를 연수시설과 체험시설로 새생명을 불어넣어 새로운 도농교류의 중심센터로 발전을 꾀하여
동창회 모임등을 할 수 있는 공간과 추억을 떠올릴 수 있는 프로그램을 제공하고 있으며, 일반 농촌프로그램과는 차별화하여 운영하고 있다."
충청남도 공주시 유구읍 시장길 34-5,,34,0.0,A02,A0203,A02030600,2784730,12,20211201225253,http://tong.visitkorea.or.kr/cms/resource/42/2784842_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2784842_image2_1.jpg,126.9520152684,36.55349027,6,20221028101945,0,1,,유구벽화거리,32506,"유구벽화거리는 충남 공주시 유구읍에 자리 잡고 있다. 유구 전통시장과 맞닿아 있어 시장 구경을 겸해 둘러보기 좋다. 벽화거리는 1970년대부터 운영된 섬유공장을 중심으로 조성돼 있다. 공장 담장에는 베 짜는 할머니의 모습을 담은 벽화 등이 시선을 붙든다. 아울러 공주의 섬유산업을 엿볼 수 있는 독특한 벽화가 발길을 멈춰 세운다. 유구벽화거리는 유구IC에서 가깝다. 주변에는 유구 색동수국정원, 섬유 역사전시관이 있다."
충청남도 공주시 수원지공원길 74,(금학동),34,0.0,A01,A0101,A01010500,2770295,12,20211109014358,http://tong.visitkorea.or.kr/cms/resource/81/2771981_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/2771981_image2_1.jpg,127.1238669409,36.4338570122,6,20221202162641,1,1,,금학생태공원,32602,"금학동주민센터 앞에 다다르면 생태공원을 알리는 곰 가족의 친근한 이정표가 보인다. 금학생태공원 주차장의 아래에는 습지가 조성되어 있고, 위에는 두 개의 수원지가 있다. 주차장에서 가까운 곳에 작은 야외무대가 있는데, 이곳에서는 다양한 문화 나눔이 이루어지고 있다. 전망대에 오르면 주미산을 조망할 수 있다. 금학생태공원에서 두리봉과 봉화대로 오르는 공주대간 트래킹 코스도 있다."
충청남도 공주시 백제큰길 2110-16,(웅진동),34,0.0,A02,A0202,A02020200,2756160,12,20211013192531,,,127.1117031619,36.4702609582,6,20221205111526,0,1,,곰나루국민관광단지,32535,"곰나루국민관광단지는 충남 공주시 웅진동에 자리 잡고 있다. 1987년 국민관광지로 지정됐다. 관광단지에는 충청남도 개도 100주년 웅비탑을 비롯해 어린이 놀이터, 산책로 등이 갖춰져 있다. 특히 매년 78월에 개장하는 어린이 수영장은 무료로 개방한다. 관광단지는 공주IC에서 가깝고, 주변에는 국립공주박물관, 공산성, 미르섬이 위치해 있다."
충청남도 공주시 금벽로 368,(신관동),34,0.0,A02,A0202,A02020700,2756156,12,20211013192312,,,127.1274545269,36.4702612354,6,20220411110422,0,1,,금강신관공원,32573,"금강신관공원은 충남 공주시 신관동에 자리 잡고 있다. 공원은 매년 개최되는 백제문화제의 중심지이기도 하다. 공원에는 3.7km의 산책로, 농구장 등 체육시설, 여러 가지 형태의 포토존이 갖춰져 있다. 더불어 1인용, 2인용, 4인용, 아동용 자전거를 빌릴 수 있는 자전거 대여소가 있어 자전거를 타며 즐기기 좋다. 공원은 공주IC와 가깝고, 주변에 미르섬, 공산성이 위치해 있다."
충남 공주시 반포면 마암리 산 4-4,,34,0.0,A01,A0101,A01010400,2755172,12,20211008222346,,,127.2209361575,36.4285676628,6,20211008222346,0,1,,청벽산,32620,"청벽산은 공주시 반포면과 세종시 도남리 사이에 있는 산으로 충남에서 금강의 가장 아름다운 일몰 모습을 볼 수 있는 곳이다. 여름이면 태양이 강 바로 위로 떨어지는 모습을 볼 수 있다. 조망이 탁 트이는 곳에 도착하면, 눈앞에 보이는 청벽대교와 그 아래를 굽이치듯 반짝이는 금강, 명덕산 너머로 지는 해를 볼 수 있다."
충청남도 공주시 계룡면 기산리,,34,0.0,A01,A0101,A01011800,2753914,12,20211006223245,,,127.1317537529,36.381529814,6,20221124164013,0,1,,기산저수지,,"기산저수지는 충남 공주시 계룡면에 자리 잡고 있다. 사방이 산으로 둘러싸여 있어 경관이 수려하다. 낚시객들 사이에서는 배스가 많기로 소문난 노지 낚시터다. 저수지에서 낚시 포인트를 찾기 위해 자동차를 운행하다 보면 간혹 교행이 불가능한 도로가 나오므로 주의해야 한다. 저수지는 남공주IC와 가깝다. 북쪽 방향으로 나가면 충청남도역사박물관을 비롯해 박찬호기념관, 공산성, 미르섬이 있다."
충청남도 공주시 대통1길 56-7,(반죽동),34,0.0,A02,A0203,A02030600,2751166,12,20210929185629,,,127.1229192668,36.453779712,6,20210929185629,0,1,,나태주 골목길,32546,나태주 골목길은 나태주 시인의 테마를 담은 시와 그림으로 마음의 선물을 선사하는 감성의 골목길이다. 그리고 넓게 펼쳐진 제민천을 건너 도심 속 자연과 여유로움을 느낄 수 있는 골목 정원도 조성되어 있다. 현실에 지친 마음에 도심 속 문화와 자연을 느끼며 여유를 담아 힐링하기 좋은 곳이다.
