addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청남도 금산군 추부면 장대리 349-10,,34,0,A01,A0101,A01011800,2756168,12,20211013192610,,,127.492449031,36.1847309095,6,20221201113853,0,2,,숭암저수지,,"숭암저수지는 충남 금산군 추부면에 자리 잡고 있다. 만수면적 10만㎡의 계곡형 저수지로 낚시객들 사이에서 유명하다. 과거에는 낚싯대를 던지면 참붕어가 많이 잡혔지만, 배스가 출현한 이후에는 참붕어를 구경하기 힘들어졌다. 저수지는 추부IC와 마전시내버스터미널과 가깝다. 주변에 만인산자연휴양림, 산꽃벚꽃마을오토캠핑장이 있어 연계 관광하기 좋다."
충청남도 금산군 제원면 천내리 1007,,34,0,A02,A0202,A02020700,2753937,12,20211006225057,,,127.567649878,36.1109656594,6,20211111013006,0,2,,기러기공원,,"기러기공원은 충남 금산군 제원면에 자리 잡고 있다. 랜드마크는 2017년 자연 암반에 조성한 80m 높이의 인공폭포다. 물가와 가까운 곳에 텐트를 설치할 수 있어서 노지 캠핑을 즐기기 좋다. 차박은 주차장에서만 가능하다. 공원은 금산IC와 가까운 거리에 위지해 있으며, 주변에 어죽과 도리뱅뱅이로 유명한 식당이 있다."
충청남도 금산군 추부면 개덕사길 83,,34,0,A02,A0201,A02010800,2753929,12,20211006224224,,,127.5307471419,36.2309235405,6,20211111012420,0,2,,개덕사,32710.0,"개덕사는 충남 금산군 추부면에 있다. 서대산 기슭에 터를 잡은 이곳은 자세한 기록은 전하고 있지 않지만, 고려시대에 창건된 것으로 추정한다. 개덕사 인근 절터에서 고려시대 것으로 보이는 기와 조각이 출토됐기 때문이다. 사찰에서는 서대폭포 혹은 개덕폭포라 불리는 폭포를 비롯해 대웅전, 산신각 등을 볼 수 있다. 사찰 주변에는 서대산드림리조트가 있다."
충청남도 금산군 제원면 길곡길 8,,34,0,A02,A0203,A02030100,2632998,12,20191104230847,http://tong.visitkorea.or.kr/cms/resource/93/2632993_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/93/2632993_image2_1.bmp,127.5641155569,36.1591489918,6,20221212112941,2,2,,조팝꽃피는마을,32719.0,"조팝꽃피는마을은 천태산에 이르는 산지지역에 있어 주변 경관이 멋지고, 산림자원이 풍부하여 마을이 깨끗하고 맑은 기운이 솟아나고 있다.주로 콩과 인삼을 농사짓고 있으며 이를 가지고 인삼콩피자를 만드는 등 다양한 자연푸드체험을 진행하고 있으며 반딧불, 수리부엉이, 소쩍새 등 다양한 천연기념물 등 깨끗한 자연 속에서 생태체험도 할 수 있다. 또한 이곳은 농촌인성학교로 지정되어있다."
충청남도 금산군 부리면 수통1길 17,,34,0,A02,A0203,A02030100,2632750,12,20191102012950,http://tong.visitkorea.or.kr/cms/resource/45/2632745_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/45/2632745_image2_1.bmp,127.5914827161,36.0506923958,6,20220426155018,0,2,,수통1리마을,32756.0,"수통1리마을은 금산8경의 하나인 적벽강이 휘감아 도는 곳에 자리한 자연 생태계가 살아있는 마을이다. 강에는 1급수 어종인 쏘가리, 꺽지, 감돌고기, 빠가사리, 쉬리, 부구리, 다슬기 등이 살고 있고 가을에는 억새밭이 장관이다. 도시민의 휴양을 위해 폐교를 리모델링하여 단체와 개인을 각각 수용할 수 있도록 펜션을 만들었으며, 특히 올해는 낡은 숙소시설을 리모델링해 쾌적한 시설로 만들고 새로운 시설로 100여명을 수용할 수 있는 교육장과 음향 시설, 빔 시설등을 갖춰 각종 세미나와 단체행사를 하는데 부족함이 없도록 시설을 확충했다. 추가로 새롭게 원룸형과 쓰리룸형의 숙소도 신설하고 모든 벽면과 천장을 원목으로 둘러 나무에서 피톤치드가 나오고 은은한 나무 원목의 향이 있어 방안에서도 숲속에 있는 것처럼 상쾌함을 느낄 수 있다. 체험으로는 각종 농사체험과 민속체험 도자기체험 등이 있다."
충청남도 금산군 제원면 닥실길 27,,34,0,A02,A0203,A02030100,2629905,12,20191024025840,http://tong.visitkorea.or.kr/cms/resource/35/2629835_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/35/2629835_image2_1.bmp,127.5691304804,36.1043608832,6,20221020104629,0,2,,닥실마을,32720.0,"닥실마을은 금강 물결이 굽이쳐 흐르다 잠시 쉬어가는 금강 가에 있는 작은 마을이다. 마을입구에는 금강에서 가장 큰 자연 형 습지가 있어 천연기념물 및 멸종위기 종 동∙식물이 다수 서식하고 있는 천내습지가 있으며, 마을 뒷산은 금강솔바람길이 조성되어 있어 금강을 바라보며 트래킹을 할 수 있다.닥실마을은 오토캠핑, 민박, 단체숙박이 가능하며, 금강생태과학체험장에서는 목공공예(태양광선풍기, 오카리나, 테이블 거울, 나무피리 등), 천연공예(손수건염색, 앞치마염색, 천연비누, 핸드워시), 나들이 공예(티셔츠 꾸미기, 나들이 가방, 고무신 꾸미기, 모자꾸미기), 자연물 공예(캔버스 꽃 조명등, 누름 꽃 부채, 핸디코트 액자 등), 식물공예(토피어리, 다육공예, 테라리움, 하바리움), 떡메체험, 천내습지 탐사 및 금강여울건너기 등 다양한 체험이 있어 아이들이 좋아하는 마을이다. 오늘도 더 기분 좋고 건강하게 먹고, 놀고, 쉬어가는 사계절 산들바람이 불어오는 생태 놀이터 그곳에 닥실농촌체험휴양마을이 있다."
충청남도 금산군 금산읍 인삼광장로 30,,34,0,A02,A0204,A02040800,2470404,12,20161230015341,http://tong.visitkorea.or.kr/cms/resource/09/2011209_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2011209_image3_1.jpg,127.5007311332,36.1000129417,6,20220520091848,3204,2,,금산인삼관,32739.0,"stong고려 인삼에 대한 모든 것이 한 곳에stong  고려(금산) 인삼의 우수성을 국내·외에 널리 알리고자 인삼 재배, 기구, 모형, 효능, 음식, 인삼류, 제품류 등을 전시하고 각종 영상시설물이 설치되어 있다. 인삼에 관한 모든 정보를 쉽게 이해할 수 있는 인삼 종합전시관이다."
충청남도 금산군 추부면 검한1길 156,,34,0,A01,A0101,A01010700,2022638,12,20150805230910,http://tong.visitkorea.or.kr/cms/resource/96/2548096_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2548096_image3_1.jpg,127.4837737157,36.2249844937,6,20220311151748,423520,2,,하늘물빛정원,32710.0,"머들령 계곡을 흐르다 장산호수가 태어났고 꽃다지, 산당화, 물속에 우뚝 선 뚝버들의 수목과 야생화들이 수많은 시간들 속에 피고 또 피고 진다. 하늘물빛정원은 전통참숯가마찜질방, 중대형 세미나실 등의 대형공간과 3초 삼겹 전문식당 머들령, 채식뷔페 채담, 이탈리아전통화덕피자 고급 원두전문 카페더밀, 천연발효빵가게 미스터통밀, 허브제품 판매샵, 허브족욕카페, 라이브광장카페, 머들령호떡, 청정지역로컬푸드 등의 편의시설과 편백나무 힐링 숲, 포토존 등 다양한 문화공간을 만나 볼 수 있다."
충청남도 금산군 남이면 느티골길 200,(남이면),34,0,A01,A0101,A01010500,1928696,12,20140628013350,,,127.3687631973,36.0679142691,6,20220405135328,5434,2,,금산생태숲,32751.0,"금산산림문화타운 내에 들어선 금산생태숲은 야생화, 약용식물, 수목 등 숲에서 볼 수 있는 다양한 식물군을 만나는 공간이다. 책에서 보았으나 잘 알지 못했던 식물은 물론이고 접하기 힘든 귀한 식물들을 한자리에서 학습할 수 있는 체험장이다. 생태숲에서 자라는 초목은 103과 325속 545종이나 된다. 종류가 많아 어렵게 느껴지지만 입구를 지나 숲으로 들어가면 동선을 따라 생태숲학습관, 숲체험학습장, 약이 되는 숲, 생태연못, 관목원, 팔도숲 등 저마다 주제를 가진 정원이 펼쳐진다. 가볍게 산책하며 풀과 나무를 보고 자연스럽게 익히는 시간을 가질 수 있다."
충청남도 금산군 남이면 느티골길 200,,34,0,A01,A0101,A01010600,1928677,12,20140628001246,,,127.3687631973,36.0679142691,6,20220825102114,4830,2,,느티골산림욕장,32751.0," 계곡 따라 즐기는 산림욕   금산산림문화타운 내에 있는 느티골산림욕장은 해발 650m 백암산과 해발 758m 선야봉 줄기가 마주보며 V자형으로 뻗어나간 골짜기에 조성되었다. 느티골이란 이름은 주변에 느티나무가 많은 데서 유래했다. 가벼운 산책을 하면서 나무가 뿜어내는 피톤치드를 받아들이기 좋은 곳이다. 숲속 산책로는 숲속의집을 기점으로 계곡과 산을 한 바퀴 돌아오는 종주 코스와 느티골계곡에서 시작해 금산생태숲까지 갔다가 다시 계곡으로 내려오는 왕복 코스가 있다. 종주 코스는 등산객들이 주로 이용하며, 45시간 소요되어 등산 초보자에게는 쉽지 않다. 왕복 코스는 계곡을 따라 산림욕을 하며 가볍게 걸을 수 있는 2km 구간으로 부담이 적다."
