addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청남도 논산시 중산길 35,,34,,A02,A0203,A02030100,2827405,12,20220712095707,,,127.2040653909,36.1199526605,6.0,20220816150334,0,3,010-3465-5118,둥구리 농촌체험휴양마을,33023,"둥구리 농촌체험 휴양마을은 충남 논산시 양촌면 중산마을에 위치한 가족모임이나 단체 행사에 적합한 휴양 시설이다.
지역 특산물 체험시설과 숙박 및 운동시설을 갖추고 있으며, 명칭은 옛 지명인 '둥구리'를 사용하였다.
각종 즐길 거리와 먹거리, 볼거리가 풍성한 이곳에서 몸과 마음의 휴식을 취해볼 수 있다."
충청남도 논산시 노성면 종학길 35,,34,0.0,A02,A0201,A02010400,2782485,12,20211129185102,http://tong.visitkorea.or.kr/cms/resource/27/2793027_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2793027_image2_1.jpg,127.0970176379,36.2904840726,6.0,20221118110932,0,3,,종학당,32902,"파평윤씨 문중에서 자녀교육을 위해 세웠던 교육 도장이다. 조선 인조 때인 1643년 처음 세워졌으며, 화재로 인해 없어졌던 것을 1970년에 지금의 모습으로 다시 지었다. 이곳에서는 파평윤씨 문중의 자녀와 내외척은 물론 처가의 자녀들까지 모여 합숙 교육을 받았다. 일반적인 서원이나 서당과는 다르게 문중에서 정한 교육목표에 따라 교육과정을 운영했으며, 학칙도 따로 정하여 시행했다고 한다. 일제강점기 이전까지 활발하게 운영됐던 종학당은 일제가 신교육제도를 도입하면서 폐쇄되었다. 바로 앞에 저수지를 끼고 있어 고즈넉한 풍경을 즐기기 좋은데, 대청마루나 누각인 정수루에는 직접 올라 앉아볼 수도 있다. 매년 봄이면 매화가 흐드러지게 피어 아름다움을 더한다."
충청남도 논산시 가야곡면 덕은로636번길 46,,34,0.0,A02,A0202,A02020100,2770363,12,20211109021012,http://tong.visitkorea.or.kr/cms/resource/90/2772090_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2772090_image2_1.jpg,127.1989145013,36.1706023421,6.0,20211110201434,0,3,,병암유원지,33018,"병암유원지는 충남 논산시 가야곡면에 자리 잡고 있다. 논산천이 탑정호로 유입되는 지역을 병암유원지라고 지칭한다. 유원지에는 가볍게 걷기 좋은 산책로가 조성되어 있다. 유원지는 양촌IC에서 가까운 거리에 있다. 주변에는 탑정호 출렁다리, 탑정저수지, 탑정호수변생태공원이 있다."
충청남도 논산시 연무읍 신화길 81-20,,34,0.0,A02,A0202,A02020600,2770339,12,20211109015909,http://tong.visitkorea.or.kr/cms/resource/00/2772100_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2772100_image2_1.jpg,127.0783736081,36.1287522368,6.0,20221202165600,2,3,,챌린지팜,33006,"챌린지팜은 충남 논산시 연무읍에 자리 잡고 있다. 아이들이 즐겁게 놀면서 학습하고, 어른들은 놀면서 휴식할 수 있는 테마파크다. 챌린지팜은 체험존, 멀티존, 휴게존으로 구성되어 남녀노소 누구나 즐겁게 방문할 수 있는 멀티 문화공간이다. 동물 체험, 농촌 체험 등 다양한 체험 프로그램을 운영 중이다. 또한 레스토랑, 카페 등의 부대시설도 구비되어 있다."
충남 논산시 관촉동 339-1,(관촉동),34,0.0,A02,A0202,A02020700,2770311,12,20211109015015,http://tong.visitkorea.or.kr/cms/resource/01/2772001_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/01/2772001_image2_1.JPG,127.1056777225,36.1957228399,6.0,20221206160924,0,3,,논산시민공원,32993,"시민을 위한 도심 속 힐링 공간으로 조성된 논산 시민공원은 건강증진뿐 아니라 문화행사 등을 즐길 수 있는 녹색 휴식공간의 역할을 하고 있다. 면적 85,662㎡에 소나무, 편백나무 등 8만여 본의 다양한 종류의 조경수가 식재되어 있다. 벽천폭포, 거울연못, 산책로 등 조경 시설과 공원 상하부 시설물을 잇는 작은 실개천 등이 조화롭게 구축되어 있다. 환상적인 LED 야간 경관조명을 설치하여 밤에도 이색적이고 아름다운 공간이 연출된다."
충청남도 논산시 가야곡면 삼전길 104,,34,0.0,A02,A0201,A02010800,2752549,12,20211001225947,,,127.172951759,36.11030044,6.0,20221123172918,1,3,,반야사(논산),33020,"반야사는 석회광산인 옛 폐광을 활용해서 동굴법당과 대웅전, 요사채, 야회 미륵불상, 바위협곡 등을 조성했다. 입구에 들어서면 절벽과 대웅전이 한눈에 보인다. 대웅전 뒤쪽으로 가면 동굴법당으로 내려 갈 수 있는 길이 있다. 여름에는 시원하고, 겨울에는 따뜻한 기운이 돈다. 예전에는 석회를 채굴하는 광산으로 일제강점기에는 노역을 했던 장소이기도 하다. 화려한 조명과 함께 법당이 마련되어 있다. 산신이 모셔있는 곳도 있고 지하수가 모여 생긴 작은 연못도 있다."
충청남도 논산시 벌곡면 황룡재로 494,,34,0.0,A01,A0101,A01010600,2752308,12,20211001025616,,,127.2555389803,36.2086462129,,20220824093627,2,3,,온빛자연휴양림,33026,온빛자연휴양림을 걷다보면 메타세콰이아 숲과 호수가 어우러져 이국적인 풍경을 볼 수 있다. 여름은 푸르게 가을은 주황빛으로 물든다. 계절별로 아름답게 피어나는 온빛자연휴양림에서 힐링 산책을 즐기길 추천한다. 
충청남도 논산시 양촌면 매죽헌로1723번길 176-23,,34,0.0,A01,A0101,A01010600,2750930,12,20210929004248,http://tong.visitkorea.or.kr/cms/resource/49/2751149_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/49/2751149_image2_1.JPG,127.2465217151,36.1572796992,6.0,20221115153658,0,3,,양촌자연휴양림,33022,"양촌자연휴양림은 깨끗한 자연환경을 간직한 산림욕장인 동시에 휴양림이다. 숲에서 특별한 체험을 즐길 수 있는 곳으로 숲속 휴양관, 숲속의 집, 글램핑장, 물놀이 시설, 등산로, 원두막 등을 갖추고 있다. 글램핑장은 건축미가 돋보이는 건물로 이뤄져 있고 숲속의 집은 26㎡부터 74㎡까지 인원수에 따라 다양한 크기로 준비돼 있다. 산책로와 유아 숲 체험 시설이 잘 돼 있어 가족 나들이로 적합하고 예약은 숲나들e 홈페이지를 통해서만 가능하다. 휴양림 주변에는 대둔산 수락계곡, 유네스코 세게 문화유산으로 등재된 돈암서원 등등이 있어 연계 관광에 나서기도 수월하다."
충청남도 논산시 부적면 부적로 721-10,,34,0.0,A02,A0202,A02020700,2719582,12,20210603234928,,,127.1727996164,36.191293965,6.0,20211216231948,2,3,,탑정호 수변생태공원,32916,"충남 논산시에 위치한 탑정호 수변생태공원은 충청남도에서 두 번째로 큰 저수지다. 대둔산 자락에서 내려오는 물줄기로 맑고 깨끗한 수질을 자랑하는 이 호수는 주변 논산평야의 젖줄이며 사철 날아드는 철새들의 서식지다. 호수 방향으로 가면 탑정호 출렁다리로 이어지는 데크 길이 나오며, 30분가량 걷다 보면 탑정호 출렁다리가 보인다."
충청남도 논산시 가야곡면 종연리,155,34,0.0,A02,A0205,A02050100,2714510,12,20210424020213,,,127.1611148583,36.1797450794,6.0,20220902102850,5,3,,논산 탑정호 출렁다리,33017,"충남에서 두번째로 넓은 호수로, 대둔산의 물줄기를 담아내는 탑정호는 물이 맑기로 유명하다. 아름다운 저녁노을을 감상할 수 있고, 각종 수상 레포츠도 즐길 수 있다."
