addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청남도 당진시 석문면 장고항리,,34,,A01,A0101,A01011900,2829793,12,20220727111842,,,126.5596126829,37.0366499492,6,20220805075550,0,4,,당진 용천굴,31701.0,충남 당진시 장고항은 일출 명소로 유명한 노적봉이 있다. 이 노적봉에서 뒤로 돌아가면 용천굴이 숨겨져 있는데 이곳이 새로운 포토스팟이다. 용천굴은 굴 위로 용이 승천했다 하여 붙여진 이름이다. 기이한 바위 사이로 푸른 하늘이 보인다. 햇살이 들어오면 그야말로 신비로운 분위기를 한껏 연출하는 곳이다. 오랜 시간동안 바닷물과 해풍의 영향으로 만들어진 자연의 작품이다.
충청남도 당진시 해창길 79,당나루물꽃마을,34,,A02,A0203,A02030100,2827418,12,20220712105331,,,126.5203929576,36.9731260579,6,20220816153257,0,4,041-355-0220,황토권역 당나루물꽃마을,31790.0,"황토권역 당나루 물꽃마을은 옛날 대중국 무역의 기향지였고, 당진지명의 원 유래지로서 2008년 선진 환경 농촌체험 휴양마을로 재탄생하였다
마을 대부분의 사람들이 농업에 종사하고 있는 이곳은 황토고구마, 꽈리고추 등을 생산하고 있다.
마을양면은 대호 호수가 감싸고 있어 이곳의 빼어난 경관인 서해낙조를 관람할 수 있도록 당진포리와 대호지면을 잇는 대호대교 인근에 연꽃밭 및 휴식공간과 낚시, 자전거 체험이 가능한 '해창 진성공원'을 조성해 체험 및 야영을 할 수 있도록 조성 되어있다."
충청남도 당진시 신평면 삽교천3길 79,,34,0.0,A02,A0206,A02060300,2783045,12,20211130003536,http://tong.visitkorea.or.kr/cms/resource/71/2786071_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2786071_image2_1.jpg,126.8244148775,36.8906936611,6,20221101174258,2,4,,해양테마과학관 (당진),31744.0,"다양한 해양생물을 직접 보고 느낄 수 있는 해양테마과학관은 국내 해양생물을 다룬 1층 전시실과 중생대 공룡과 화석 등을 다룬 2층, 그리고 3층의 4D 영상관으로 구성되어 있다. 1층에는 국내 토종 수족관, 삽교 생태계 전시, 어패류 표본전시관, 해파리 모형 체험관, 열대 해수어 수족관이 마련되어 있다. 특히나 어류체험존과 닥터피시체험존은 터치 풀로, 직접 손을 담가 볼 수 있다. 귀여운 닥터피시가 손으로 몰려오면 간질간질 웃음이 난다. 2층에는 중생대 공룡, 화석, 광물, 삽교호 생태체험이 전시되어있다. 공룡코너에서는 공룡모형이 움직이면서 소리를 내며, 티라노사우루스, 트리케라톱스, 벨로시렙터  등 다양한 중생대 공룡들을 만나볼 수 있다. 화석과 광물 코너에서는 지질시대의 퇴적암 안에 퇴적물과 함께 퇴적된 동식물의 유해나 흔적을 볼 수 있는 화석과 광물을 관찰할 수 있다. 3층 4D 영상관에는 과거 공룡 세계로 돌아가 공룡이 눈앞에서 움직이는 듯한 공룡 대탐험과, 롤러코스터를 직접 타는 듯한 스릴을 느낄 수 있는 롤러코스터 영상을 감상 할 수 있다. 건물 외부에서는 서해대교와 군함이 한눈에 보이는 왕복 120M의 행글라이더 체험도 할 수 있으며 야외전시물로 전시된 수륙양용장갑차, 해상초기계, 대형스크루, 탱크, 군함 함포, 군함 닻도 직접 볼 수 있다."
충청남도 당진시 석문면 삼봉리 1480,,34,0.0,A01,A0101,A01011800,2761647,12,20211025205849,,,126.5451959368,36.9852389773,6,20211209012345,0,4,,삼봉저수지,,"삼봉저수지는 충남 당진시 석문면에 있다. 석문저수지라고도 불리는 이곳은 붕어, 떡붕어, 배스가 서식하고 있다. 이 때문에 낚시하고자 찾아오는 사람이 많다. 낚시할 자리를 찾기 위해 자동차로 이동하다 보면 간혹 교행 할 수 없는 길이 나오므로 운전에 주의해야 한다. 저수지 주변에는 왜목마을, 장고항이 있다."
충청남도 당진시 신평면 서해안고속도로 275,,34,0.0,A01,A0101,A01011300,2758833,12,20211019185316,http://tong.visitkorea.or.kr/cms/resource/47/2759747_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2759747_image2_1.jpg,126.8071427338,36.9451926236,6,20221122163400,0,4,,행담도,31750.0,"행담도는 충남 당진시 신평면에 있다. 서해안고속도로 건설로 2000년 완공된 서해대교가 이 섬을 관통하게 되면서 행담도 휴게소가 설치됐다.
지명 유래를 보면 '행'은 간만의 차가 가장 심한 백중사리 때 갯벌 물이 빠져 육지에서 섬까지 걸아갈 수 있다는 의미다. '담'은 평소에는 물에 잠겨 있다는 것을 뜻한다. 사진 제공: 당진시 문화관광과"
충청남도 당진시 석문면 대호만로 2888-14,,34,0.0,A01,A0101,A01011400,2750341,12,20210928181956,,,126.462355262,37.0212444868,6,20211111193151,0,4,,도비도항,31700.0,"도비도항은 난지도로 향하는 여객선의 선착장이다. 바다, 육지, 민물 습지 등 다양한 자연생태자원이 존재하고 있는 당진의 명소이기도 하다. 이 덕분에 좌대 낚시를 즐기는 사람들의 방문이 잦다. 특히 도비도항 앞바다에서는 썰물 때 갯벌이 바다 쪽으로 길게 갈라져 마치 모세의 기적을 연출하는 무창포의 갯벌과 비슷한 광경을 볼 수 있다. 물 빠진 갯벌을 따라 바다 깊숙이 들어갈 수 있는 것이 도비도 갯벌의 특성이다. 이 때문에 생태 체험을 하면서 조개, 게, 고동, 낙지 등을 직접 잡아볼 수 있다. 인근에는 왜목마을 해수욕장, 장고항 등 연계 여행에 나서기 좋은 관광지가 많다."
충청남도 당진시 신평면 맷돌포길 65-5,,34,0.0,A01,A0101,A01011400,2746222,12,20210916221324,,,126.8150985252,36.910088482,6,20221110165603,0,4,,맷돌포선착장,31743.0,"맷돌포선착장은 고깃배가 정박하는 아담한 포구다. 물이 들어오면 뱃머리가 오른쪽으로 돌고, 반대로 물이 빠지면 뱃머리가 왼쪽으로 도는 것이 마치 맷돌 같다 하여 맷돌포라 불린다.
이곳은 낚시를 즐기려는 사람들이 많이 찾는다. 선착장 한편에 간이 의자를 펴고 앉아 맷돌포 앞바다를 감상하며 낚시하는 사람들을 볼 수 있다.  싱싱한 해산물을 맛보려고 주변 음식점을 찾는 이도 많다. 선착장에서 멀지 않은 곳에 삽교호 함상공원, 당진해양캠핑공원 등이 있어 연계 관광하기 좋다."
충청남도 당진시 석문면 장고항리,,34,0.0,A01,A0101,A01011400,2746221,12,20210916220942,,,126.5509413074,37.0344333879,6,20211229021718,0,4,,용무치항,31701.0,"용무치항은 용무치라는 명칭에서 알 수 있듯이 용이 살던 연못이 있었다고 전한다. 이곳은 당진의 대표 관광지인 장고항과 왜목마을 사이에 자리 잡고 있다. 용무치항 선착장에 서면 국화도와 도지섬을 조망할 수 있다. 밀물 때는 낚시를 즐기는 사람들이 많다. 썰물 때가 되면 용무항 주변으로 널찍한 갯벌이 드러나는데, 굴, 바지락 등을 맨손으로 채취하는 체험이 가능하다. 단, 조수간만차가 심한 편이라서 항상 안전에 유의해야 한다.주변에 펜션 등 숙박업소가 많아 하룻밤 쉬기에도 좋다."
충청남도 당진시 송악읍 한진포구길 49,,34,0.0,A01,A0101,A01011400,2746205,12,20210916200926,,,126.7812110486,36.9708392069,6,20221117131052,0,4,,한진포구,31720.0,"""한진포구는 당진시 북동쪽에 있는 포구다. 서해안고속도로의 송악IC와도 가까워 관광객의 방문이 잦다. 이곳은 아산방조제가 건설되기 전까지는 인천항으로 가는 여객선을 운항했다. 일제강점기에는 숭어 어란을 일본에 실어 나르던 포구였다고 한다. 아산현감 토정 이지함과 관련한 개항 전설이 전해져 온다.
이곳은 또한 매년 한진포구 바지락 갯벌 체험 축제가 개최되는 장소다. 축제 시즌이 되면 싱싱한 바지락을 맛보고, 바지락 캐기 체험 등을 하기 위해 많은 사람이 몰려든다. 주변에 심훈 작가가 상록수를 집필했던 필경사, 서해안에서 일출을 볼 수 있는 왜목마을이 있어 함께 둘러보기 좋다. """
충청남도 당진시 송악읍 안섬포구길 63,,34,0.0,A01,A0101,A01011400,2746178,12,20210916195403,,,126.7398338284,36.9859534015,6,20211229021420,0,4,,안섬포구,31719.0,"현대 제철에 둘러싸인 한적한 포구다. 안섬 풍어제와 함께 가을철 갯벌 낙지로 유명하며, 매년 충청남도 무형문화재인 안섬 풍어 당굿이 열린다. 안섬 바로 앞에는 쌍바위가 있는데, 밀물과 썰물에 따라 사라졌다 나타났다 하는 것으로 유명하다.안섬포구에는 빨간 무인 등대가 해안 제방에 설치되어 있다. 대금 형상을 한 8ｍ 높이의 원형 콘크리트 구조다. 넓게 탁 트인 서해의 풍경이 시원함을 더하는 안섬의 빨간 등대는 여행객들의 포토존이다. 등대는 관광객들에게 새빨간 대금 등대, 안섬 포구 등대, 빨간 안섬 등대 등 여러 이름으로 불리고 있다."
충청남도 당진시 석문면 교로길 30,,34,0.0,A02,A0201,A02010700,2736914,12,20210827002402,http://tong.visitkorea.or.kr/cms/resource/31/2736931_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2736931_image2_1.jpg,126.5142525185,37.0511780351,6,20221006151922,0,4,,석문각,31700.0,"석문각은 행정구역상 충남 당진시 교로길 30에 위치한 곳으로 조선시대 거문근이라 불린 지명으로부터 유래되었다. 예로부터 주민들이 정월의 영롱한 일출을 맞이하며 복을 빌던 곳이다. 1972년부터 이곳에 군부대가 주둔해 있었으나 당진화력 건설과 관련하여 군부대는 후면당산 정상으로 이전하고 원상복구한 곳으로, 이곳을 찾는 방문객들의 편안한 휴식처로 활용하고자 1998년 11월 착공하고, 1999년 7월 2일 완공하여 이 전통 정자를 건립했다. 석문각 안에서는 망원경으로 바다의 섬들을 구경할 수 있다. 또한 일몰이 아름다운 명소이며, 현판문의 경우 서예에 능한 운정 김종필 씨가 휘호한 것이다. 화장실도 있다.사진 출처: 당진시 문화관광과"
