addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청남도 보령시 은고개길 167,,34,,A02,A0203,A02030100,2891324,12,20221031095652,http://tong.visitkorea.or.kr/cms/resource/75/2861775_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/75/2861775_image3_1.JPG,126.6780909474,36.4102519557,6,20221213101238,0,5,,은고개마을 뽕동아리,33423,"은고개마을에 뽕나무 단지가 조성된 것은 농림부 공모 사업을 통해서다. 이를 계기로 마을 사람들이 출자금을 모으고 협동조합을 설립해 누에를 기르기 시작한 것이 벌써 10여 년이나 되었다. 은고개마을 체험 프로그램들은 자연 친화적이다. 뽕나무와 누에를 책으로만 접해 본 이들에겐 무척 신기한 경험이 된다. 체험 시간에는 누에의 생애를 자세하게 설명해 주며 누에고치와 더불어 살아 있는 누에를 눈앞에서 관찰할 수 있다. 뽕나무 잎을 뜯어 와 누에에게 먹이를 주거나 집에서 길러볼 수 있도록 키트도 마련해 두었다. 누에는 애벌레에서 나방이 되기까지 총 5번의 허물을 벗는데, 마지막은 고치 안에서도 허물을 벗고 탈피를 하는 신비한 곤충이다. 이러한 과정은 아이들에게 생생한 학습 체험이 된다. 뽕잎을 활용해 만드는 뽕떡 만들기는 은고개마을에서 가장 인기 있는 체험 프로그램이다. 뽕동아리 회원들이 심혈을 기울여 뽕떡 레시피를 개발했으며 쫄깃하고 고소한 맛이 남달라 남녀노소 누구나 좋아한다. 더구나 뽕잎이 건강에도 좋다고 알려져 있다. 찹쌀가루에 정량의 뽕잎 가루를 넣는 것이 포인트이며 미리 솥에 쪄 온 떡에 골고루 콩가루를 묻혀 완성하게 된다. 즉석에도 만든 따끈한 떡은 아이들도 잘 먹는다."
충청남도 보령시 성주산로 318-57,,34,,A01,A0101,A01010700,2829019,12,20220725102853,,,126.6388575838,36.3343683198,6,20220818103533,0,5,041-931-6092,보령 무궁화수목원,33485,"보령 무궁화수목원은 성주터널을 지나 조금 가다보면 오른쪽에 진입로가 나온다.
보령의 허파로 불리는 성주산 자락에 위치하여 맑은 공기와 함께 다양한 식물을 접할 수 있어 여유롭고 건강한 시간을 보내기에 최적의 장소이다.
수려한 경관을 자랑하는 성주산 자락과 다양한 수목, 야생화, 그리고 300여종의 무궁화는 형형색색의 아름다움과 신비로움을 자아낸다."
충청남도 보령시 천광로 73-11 교회,,34,,A01,A0102,A01020100,2829486,12,20220722113413,,,126.5314800608,36.4810301936,6,20220726135619,0,5,,천북폐목장 청보리밭,33402,"보령시 천북면에 위치한 천북폐목장 청보리밭은 네비게이션에 '천북 신흥교회'로 검색하고 찾아올 수 있다. 
드라마 촬영 장소로 사용된 이 폐목장 자리는 사실 개인 사유지로, 따로 마련된 주차공간이 없고 청보리밭을 밟아서도 안되며 가운데 난 길로만 다녀야 한다.
SNS 상에서 사진 찍기 좋은 곳으로 입소문이 나서 인생사진을 남기러 방문하는 사람이 많아졌다."
충청남도 보령시 오천면 삽시도리,,34,0.0,A01,A0101,A01011200,2783140,12,20211130010658,http://tong.visitkorea.or.kr/cms/resource/23/2786123_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2786123_image2_1.jpg,126.3457238871,36.4014250582,6,20220624102548,0,5,,명장섬해수욕장 (장고도),33411,"장고도의 북쪽에 위치한 명장섬 해수욕장은 썰물 때가 되면 하루 두 번 명장섬까지 연결되는 신비의 바닷길이 열리는 곳. 자동차도 달릴 수 있을 만큼 탄탄하면서도 작은 섬에 비해 무척 광활한 백사장이 약 2km에 걸쳐 펼쳐진다. 여름이면 장고도에서 가장 많은 피서객들이 몰리는 명소로 이 주변에 민박집이 가장 많다. 해안가에서 명장섬까지는 조개가 깔린 모래사장을 밟으며 한참 걸어 들어간다. 이무기가 승천하기 위해 백여 년 동안 수도를 했다고 전해지는 용난바위와 대문처럼 뚫린 바위로 용이 승천할 때 뚫린 바위라고 전해지는 용굴 등의 기암괴석을 볼 수 있다. 아쉬운 것은 몇 년 전 용굴이 태풍을 맞아 윗부분이 소실되어 예전의 코끼리 모습을 더 이상 볼 수 없다는 점이다. 울퉁불퉁한 갯바위 이곳저곳에는 고둥이나 작은 게 등이 많아 아이들의 호기심만으로도 충분히 몇 시간이고 놀 수 있고  암초가 잘 발달되어 있어 낚싯대를 드리우면 우럭, 노래미 등이 흔하게 올라온다. 퇴적 단층들이 선명하게 드러나 있는 장고도 해안은 지질학적으로도 연구 대상이 될 만하고 명장섬 너머로 떨어지는 일몰은 서해안의 어느 곳에서도 볼 수 없는 장관을 연출한다."
충청남도 보령시 대천항중앙길 46,(신흑동),34,0.0,A02,A0202,A02020800,2783017,12,20211130002723,http://tong.visitkorea.or.kr/cms/resource/97/2786097_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2786097_image2_1.jpg,126.5095499586,36.3270669415,6,20221101101409,0,5,,대천항유람선,33490,"대천항에서 뜨는 대천 크루즈는 대천항을 출발하여 1시간 30분가량 대천항과 안면도 사이 주변 섬의 비경을 만끽할 수 있다. 한눈에도 딱 눈에 띄는 빨간 대천항 크루즈는 3층 규모로 1층에는 실내에서 편히 앉아갈 수 있는 좌석이 있고, 2층에는 바닷바람을 맞으며 갈매기와 새우깡 놀이를 할 수 있는 야외 객실이 있다. 야외 카페처럼 편안한 좌석과 테이블이 놓여 있어 1층의 막힌 실내나 3층 갑판을 선호하지 않을 경우 이용하기 좋다. 3층은 바다를 감상하기 좋은 갑판으로 흘러가는 작은 섬 풍경을 감상하거나 기념사진을 남기거나 갈매기와 새우깡 놀이를 하기 좋다. 바닷바람이 세게 불어 옷깃을 여미게 하지만 역시 갑판이라야 배 타는 기분을 제대로 느끼게 된다. 대천항을 출발한 대천 크루즈는 화력발전소를 지나면서 왁새섬, 삼형제바위, 거북이섬 등 바다에 옹기종기 떠 있는 섬들과 기암괴석들을 지나 안면도 영목항을 거쳐 간다. 이어 효자도와 원산도까지 돌아보고 대천항에 도착하게 된다. 유람선을 타면 코스마다 안내방송을 들으며 유익한 관광을 즐길 수 있다. 유람선 매표소는 대천항 어판장과 대천항 여객터미널 사이에 있다."
충청남도 보령시 성주면 성주리 산37-2,,34,0.0,A02,A0205,A02050600,2760796,12,20211021230121,http://tong.visitkorea.or.kr/cms/resource/89/2760889_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/2760889_image2_1.jpg,126.6359216208,36.3387622098,6,20221122171936,0,5,,성주산일출전망대(성주산전망대),33485,"성주산은 오서산과 함께 보령을 상징하는 명산이다. 예로부터 성인, 선인이 많이 살았다 하여 성주산이라 부르고 있다. 소나무, 느티나무, 굴참나무, 졸참나무, 때죽나무, 고로쇠나무 등이 자생하고 있으며, 낮에도 컴컴할 정도로 울창한 숲을 이루고 있다. 성주산 전망대는 성주산 중턱에 위치해 있으며 등산로를 따라 한 시간 정도 오르면 닿을 수 있고 차량 접근도 가능하다. 전망대에 오르면 드넓은 들판이 한눈에 들어오는데 멀리 바다와 섬까지 감상할 수 있고, 좌측으로는 성주산 정상과 우측으로 만수산 정상을 만날 수 있다. 전망대에서 더 올라가면 활공장이 있어 패러글라이딩을 즐기거나 구경할 수 있다. 유성우라고 불리는 별똥별과 함께 밤하늘의 별을 관측하기 좋은 곳으로도 유명하다."
충청남도 보령시 주산면 동막오상길 15-4,,34,0.0,A01,A0101,A01010500,2759134,12,20211019224321,http://tong.visitkorea.or.kr/cms/resource/83/2759883_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2759883_image2_1.jpg,126.6433404073,36.2323689754,6,20211028195750,0,5,,주산벚꽃로,33516,"주산벚꽃로는 충남 보령시 주산면에 자리 잡고 있다.
보령에 위치한 벚꽃길 드라이브 코스 중에서 가장 손꼽히는 곳이다. 웅천천을 따라 6km 구간에 벚나무 4,000여 그루가 양쪽으로 나뉘어 벚꽃터널을 이룬다. 
벚꽃로에 마련된 전망대에는 포토존이 있어 기념사진을 남기기 좋다.

사진 출처: 보령시"
충청남도 보령시 성주면 성주산로 673-24,,34,0.0,A02,A0202,A02020600,2758861,12,20211019191545,http://tong.visitkorea.or.kr/cms/resource/56/2759756_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2759756_image2_1.jpg,126.6578509285,36.3112185228,6,20221115133603,0,5,,바둑이네동물원,33486,"바둑이네동물원은 충남 보령시 성주면에 자리 잡고 있다. 소규모 동물원인 이곳에는 말, 타조, 양, 사슴, 당나귀 등이 있다. 각종 동물에게 먹이를 주는 체험이 가능하며, 이 경우 입장료 외에 먹이 세트를 추가로 구입해야 한다. 
동물원 주변에는 성주산자연휴양림, 만수산자연휴양림이 위치해 있다."
충청남도 보령시 남포면 남포방조제로 408-52,,34,0.0,A01,A0101,A01011300,2752004,12,20210930221110,http://tong.visitkorea.or.kr/cms/resource/99/2751999_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/99/2751999_image2_1.JPG,126.5385569811,36.2773009222,6,20221014151048,0,5,,죽도관광지,33501,"죽도는 보령시 남포면에서 서남쪽으로 8.1㎞, 최치원 유적지가 있는 보리섬 서쪽 1.5㎞ 지점에 있는 섬이다. 옛날 대나무가 울창하였던 섬이라 하여 대섬 또는 죽도라 부르게 되었다. 지금은 죽도관광지로 불리는데, 상화원이라는 한국식 휴양 정원이 자리 잡고 있다. 약 20년간 대규모 상업적 개발을 멀리하며 아름다운 자연을 훼손하지 않고 나무 한 그루, 돌 한 조각까지 소중히 여기는 마음으로 상화원이 조성되었다. 상화원에는 점차 사라져가는 우리 전통 한옥을 충실하게 이건·복원한 한옥마을, 죽림과 해송 숲에 둘러싸인 빌라 단지, 섬 전체를 빙 둘러가며 연결된 회랑과 석양 정원 등이 어우러져 한국적 미를 발산하고 있다."
충청남도 보령시 천북면 학성리 239-50,,34,0.0,A01,A0101,A01011400,2751998,12,20210930220439,http://tong.visitkorea.or.kr/cms/resource/97/2751997_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2751997_image2_1.jpg,126.5016895329,36.434118406,6,20221116103334,0,5,,회변항,,"회변항은 숨겨진 낚시 명소다. 낚시객들 사이에서는 사계절 내내 주꾸미를 낚을 수 있는 곳으로 이름 높다. 항구 주변에서 낚시를 즐겨도 좋고, 근해로 나가는 낚싯배를 타고 낚시를 만끽해도 좋다. 회변항으로부터 북쪽으로 가면 수룡항포구, 남쪽으로 가면 대천해수욕장과 무창포해수욕장 등이 있어 연계 관광을 즐길 수 있다."
