addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청남도 부여군 금성로 8,2층 정림사진관,34,,A02,A0203,A02030600,2820683,12,20220519135225,http://tong.visitkorea.or.kr/cms/resource/27/2820627_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2820627_image2_1.jpg,126.9164842011,36.2759464771,6.0,20220614171435,0,6,,정림스튜디오,33166,"정림스튜디오는 부여 지역을 방문하는 관광객을 대상으로 야외사진촬영 및 주민여행 서비스를 제공하고 있다. 천혜의 자연환경과 풍부한 역사 자원을 지닌 부여의 구석구석을 지역주민인 사진가와 함께 여행하며 부여에서의 아름다운 추억들을 예쁜 사진으로 제공한다. 또한 스튜디오는 고전적인 레트로 분위기로 꾸며서 고객들이 자유롭게 촬영을 즐길 수 있는 공간으로 활용하고 있다. 이외에도 프로필, 가족사진, 결혼사진, 행사 사진 등의 서비스를 예약제로 제공하고 있다."
충청남도 부여군 동헌로 31 한국농촌공사,,34,,A02,A0203,A02030600,2820680,12,20220519133617,http://tong.visitkorea.or.kr/cms/resource/22/2820622_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/22/2820622_image2_1.JPG,126.7558613238,36.2149062428,6.0,20220519133647,0,6,,아홉 살이 관광,33199,"아홉 살이 관광은 부여홍산을 기반으로 체험과 여행프로그램을 운영하는 주민사업체이다.
부여홍산의 역사자원인 보부상을 소재로 조선시대 보부상을 경험해보는 보부상 복식체험과 보부상 시장체험, 홍산의 역사와 문화자원을 배경으로 한 홍산 보부상투어 등을 경험해볼 수 있다."
충청남도 부여군 자온로 68,,34,,A02,A0203,A02030600,2820659,12,20220519131842,http://tong.visitkorea.or.kr/cms/resource/13/2820613_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/13/2820613_image2_1.JPG,126.8873201945,36.2742322782,6.0,20220519131909,0,6,,부여 선샤인,33124,"㈜ 부여 선샤인은 부여에서의 가장 행복한 순간을 선사하고자 만든 관광두레이다.
부여의 진정한 가치를 알리기 위한 가든과 공예체험 여행 관련 상품을 주로 개발하고 있다. 피크닉 렌탈 상품인 One Geen Day와 정원의 보테니컬 작품을 패브릭으로 제작하여 만든 홈데코 제품 오키의 정원과 같은 상품을 개발하여 부여에서의 웰니스를 추구하고 있다. 가든을 중심으로 한 여행상품은 여행전문 가이드의 안내로 부여에서의 편안한 휴식과 치유의 시간을 보낼 수도 있다."
충청남도 부여군 성흥로97번길 4-5,,34,,A02,A0203,A02030600,2820640,12,20220519113231,http://tong.visitkorea.or.kr/cms/resource/09/2820609_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/09/2820609_image2_1.JPG,126.8928691464,36.1899003585,6.0,20220614142129,0,6,,만세장터영농조합법인,33219,"만세장터영농조합법인은 부여 임천면 토박이 어머님 7분이 모인 주민사업체이다. 3년전부터 임천만세장터에서 로컬장터를 운영하며 지역의 농산물을 활용한 상품을 개발 중이다. 부여 농산물이 들어간 수제 영양바와 오란다등의 강정 세트가 대표 상품이며, 직접 농사지은 부여산 100의 건강한 고추장 된장 등의 장류 등도 판매중이다.
겨울에만 볼 수 있는 동치미 키트는 만세장터의 겨울 히트상품이다. 현재 공간 리모델링을 통해 도시락 카페를 준비중이며, 어머님들의 손맛으로 만들어진 다양한 반찬과 장류 등도 차후 맛볼 수 있어 매우 기대가 되는 팀이다."
충청남도 부여군 뒷개로27번길 10-1,,34,,A02,A0203,A02030600,2820629,12,20220519112225,http://tong.visitkorea.or.kr/cms/resource/04/2820604_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2820604_image2_1.jpg,126.9245163652,36.2929057858,6.0,20220519112245,0,6,,뒷개한옥촌민박협의회,33132,"뒷개한옥촌민박협의회는 부여읍에 위치한 한옥 단지에 위치해있다. 10여개의 한옥이 단지를 이루고 있으며, 현 사업체는 나성한옥, 월함지, 의자왕한옥, 서동선화한옥 4곳의 한옥이 참여중이다.  한옥 카페가 있는 나성한옥, 단체 숙박하기 좋은 의자왕한옥, 연인들이 사랑을 키우는 서동선화한옥, 가족 숙박객들이 편히 쉬어가는 월함지 등 한옥마다 색다른 특징으로 숙박 프로그램을 운영중이다. 특히 평일 단체와 기관 등이 부여 방문 시 한옥 단제 전체가 숙박이 연계되 있어 100여명도 동시 숙박이 가능하다."
충청남도 부여군 규암면 합정리 599,,34,0.0,A02,A0203,A02030600,2790011,12,20211209182656,http://tong.visitkorea.or.kr/cms/resource/79/2792579_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2792579_image2_1.jpg,126.9022374862,36.3050040133,6.0,20221115153255,3,6,,수륙양용버스투어,,"부여 수륙양용버스 투어는 국내 최초로 육상과 해상을 오가는 특별한 투어 프로그램이다. 백제문화단지 주차장에서 출발한 버스는 백마강레저파크에서 수상 진입해 백마강 물길을 따라 고란사와 낙화암 등을 감상한 후 다시 땅으로 올라온다. 특히 버스가 거센 물살을 일으키며 백마강으로 진입하는 아찔한 순간은 탑승객 모두가 환호할 만큼 색다른 경험을 제공한다. 버스를 타고 물 위를 달리는 재미에 어린이들은 물론, 어른들도 감탄이 절로 나온다. 이동하는 동안에는 전문해설사가 동승해 부여의 역사와 관광지에 대한 깊이 있는 설명을 곁들인다. 땅과 물, 모두에서 운전해야 하다 보니 수륙양용버스는 운전대가 두 개다. 기사 역시 대형버스운전면허와 선박운전면허, 수상구조사, 세 가지 자격증이 필요하다."
충청남도 부여군 규암면 수북로41번길 9-7,1층,34,0.0,A02,A0203,A02030600,2777931,12,20211123185405,,,126.8881423901,36.2724630506,6.0,20211123185405,0,6,,계절상품 시리즈(주식회사 생산소),33124,"주식회사 생산소는 농경사회 생활상을 재해석한 생활도구 제작소로, 예측 불가능한 시대에 필요한 생활도구에 대해 질문하고 매달 새롭게 기획 상품을 선보인다. 생산소의 계절상품(繼絕商品) 시리즈는 계절(季節繼絕)을 재해석한 상품으로 예술과 기술을 결합하고 여러 분야의 예술가와 협업하여 관광객에게 새로운 경험을 제공한다. 사람의 손길로 공간을 만들고 여러 세대가 만나는 장소로, 특별함과 독특함 그리고 따뜻함을 주는 곳이다."
충청남도 부여군 내산면 성충로미암길 128,,34,0.0,A02,A0201,A02010800,2758687,12,20211019021358,http://tong.visitkorea.or.kr/cms/resource/59/2758659_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2758659_image2_1.jpg,126.7677057906,36.2793268475,6.0,20221117163321,0,6,,미암사,33194,"미암사는 충남 부여군 내산면에 자리 잡고 있다. 백제 시대에 지어진 작은 사찰로 602년에 스님 관륵이 창건하였다. '미암사'라는 절 이름은 사찰 내에 있는 쌀바위에서 유래하였으며, 절벽을 이룬 회색 암벽에서 쌀이 나온다는 전설이 전해지고 있다. 사찰 내에는 길이 30m, 높이 7m의 세계 최대 와불과 산신각, 문수동자 조각상, 달마상 대작비 등이 있다.사진 출처: 부여군 공식 블로그"
충청남도 부여군 부여읍 신기정로94번길 17-17,,34,0.0,A02,A0202,A02020700,2750470,12,20210928192420,,,126.9070687187,36.2630783418,6.0,20221201163033,0,6,,나래공원,33170,"나래공원은 대규모 억새 군락지로 이름 높다. 이 덕분에 억새가 장관을 연출하는 가을철이면 이곳을 찾는 방문객이 많다. 억새 숲 사이에 다양한 포토존이 마련되어 있어 기념사진을 남기기에도 좋다. 해마다 다르지만, 억새와 함께 코스모스나 메밀꽃이 함께 어우러지기도 한다.
이곳은 산책로뿐만 아니라 자전거 도로도 잘 정비되어 있어 자전거 라이딩을 즐기는 사람들도 많이 찾는다.
인근에는 세계문화유산에 등재된 부여정림사지, 구드래 나루터 선착장, 백제문화단지 등 부여의 내로라하는 관광지가 즐비하다."
충청남도 부여군 규암면 신리 480,,34,0.0,A02,A0202,A02020700,2732495,12,20210810231048,,,126.8984910083,36.2895973793,6.0,20221110162259,0,6,,칠지공원,33116,"칠지공원은 자연 그대로를 만끽할 수 있는 공간이다. 잘 정비된 길을 따라 걸어도 좋고, 자전거를 타기에도 좋다. 공원을 산책하다 보면 큼지막한 나무 등 사진 찍기 좋은 배경도 많다. 칠지공원은 과거 차박이나 노지 캠핑을 즐기는 사람들 사이에서 유명한 곳이었다. 칠지공원 주변에는 백제문화단지를 비롯해 세계문화유산 부여정림사지, 구드래선착장, 낙화암 등 부여의 유명 관광지가 많아 연계 관광이 순조롭다."
