addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청남도 서산시 고북면 신송리 817-1,,34,0,A01,A0101,A01011800,2771911,12,20211110190156,,,126.5458158891,36.6529689932,6.0,20221206103516,0,7,,고북제,32027,"고북제는 충청남도 서산시 고북면에 위치한 저수지이다. 약 50만 ㎡ 넓이이며 고북지 혹은 고북 저수지라고도 불린다. 민물낚시를 즐기는 사람들 사이에서 유명한 곳으로 미끼를 던지면 붕어, 잉어, 향어 등 다양한 어종을 낚을 수 있다. 경치가 좋아 드라이브에 나섰다가 잠시 머물다 가는 사람도 많다. 서해안고속도로 해미 IC와 홍성 IC 사이에서 가깝다."
충청남도 서산시 인지면 산동리 728-75,,34,0,A01,A0101,A01011800,2761644,12,20211025204415,,,126.4419124982,36.715934949,6.0,20211102232431,0,7,,모월저수지,,"모월저수지는 충남 서산시 양대동에 있다. 농업 관개용 저수지로 1982년 준공됐다. 과거 붕어와 배스가 서식하고 있어 많은 낚시객이 찾았다. 하지만 2021년 8월 현재 낚시 구역이 아니며, 사고보험에도 가입돼 있지 않다. 이 때문에 나들이 삼아 풍경을 감상하려는 사람들이 종종 찾는 곳으로 바뀌었다. 저수지는 해미IC 와 가깝고, 주변에 간월도가 있다."
충청남도 서산시 음암면 탑곡리,,34,0,A01,A0101,A01011800,2761505,12,20211025191552,,,126.5420121925,36.8045486785,6.0,20221129173218,0,7,,성암저수지,31942,"성암저수지는 충남 서산시 음암면에 있다. 농업 관개용 저수지로 1966년 준공됐다. 한적한 농촌의 정취를 느낄 수 있는 이곳은 붕어와 배스가 서식하고 있어 낚시객들 사이에서 유명한 곳이다. 저수지는 서산IC 와 가까운 거리에 있다. 서쪽에는 만리포해수욕장 등 태안의 관광지가 많고, 북쪽에는 왜목마을 등 당진의 관광지가 있다."
충남 서산시 팔봉면 호리 621-2,,34,0,A01,A0101,A01011400,2750421,12,20210928190727,,,126.3268310758,36.8273562287,6.0,20221205154651,0,7,,구도선착장,,"구도선착장은 팔봉산과 맞닿은 곳에 자리 잡고 있다. 잔잔한 바다 풍경과 붉은 노을을 감상할 수 있는 작은 항구다. 이곳에서는 여객선을 타고 고파도로 들어갈 수 있다. 고파도는 가로림만의 잔잔한 바다 위에 떠 있는 조용한 섬으로 500m가량의 모래사장, 썰물 때 드러나는 모래톱 등을 볼 수 있다. 구도선착장 인근에는 트레킹 코스인 서산아라메길 4구간 구도범머리길이 있다. 서산아라메길에서는 주벅배 전망대, 팔봉 갯벌체험장 등을 둘러본 뒤 다시 구도선착장으로 돌아오는 코스를 체험할 수 있다."
충남 서산시 부석면 창리 265-1,,34,0,A02,A0202,A02020700,2750389,12,20210928185544,,,126.3771735875,36.6229140032,6.0,20211111015244,0,7,,간월호 쉼터공원,,"간월도로 향하는 길목에 조성된 간월호 쉼터공원은 드넓은 바다 풍경을 감상하며 쉬어갈 수 있는 휴식 공간이다. 낮에는 바다 물결을 바라보며 여유로움을 만끽할 수 있고, 저녁에는 바다가 노을빛으로 아름답게 물드는 모습을 목격할 수 있다. 공원 내에는 화장실과 배드민턴장 등 편의 시설도 마련되어 있다. 간월도에서 자동차로 약 5분 거리에는 간월도가 자리 잡고 있다. 간월도는 서산 9경 중 3경으로, 바다 위에 있는 간월암, 서산 대표 특산물인 어리굴젓 기념탑 등이 있다. 또한, 철새생태공원인 서산버드랜드도 가까워 연계 관광이 순조롭다."
충청남도 서산시 팔봉면,,34,0,A02,A0205,A02050600,2736736,12,20210826224706,http://tong.visitkorea.or.kr/cms/resource/23/2737023_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2737023_image2_1.jpg,126.3183508979,36.8420960475,6.0,20211112233714,0,7,,주벅배전망대,31921,"주벅배전망대는 바다를 한눈에 볼 수 있는 배 모양의 전망대로 1층, 2층으로 이루어져 있다. 주벅배전망대가 있는 주벅녀는 작은 바위밭을 연상시킬 만큼 먹빛 바위들이 모여있는 곳으로 굴과 조개, 해조류 등이 풍부한 곳이며 큰 기둥을 세워 어망을 설치하던 곳에서 비롯되었다. 어망의 정식이름은 '주목망'인데 말이 변하여 '주벅'이 된 듯하고 주벅녀는 주벅을 세웠던 바위를 뜻한다.주벅배전망대 주변으로 데크 길이 있어 바다를 감상하며 산책할 수 있고 데크 아래로 내려가는 길은 물이 빠졌을 때 이용할 수 있다. 데크 길과 연결된 낚시터도 있다. 바다의 고유어인 '아라'와 산의 우리말인 '메'를 합친말로서, 바다와 산이 만나는 서산 지역의 특색을 갖춘 친환경 트레킹 코스인 서산아라메길 구도범머리길 구간에 포함되어 있어 트레킹을 통해서도 가볼 수 있다.사진 출처: 서산시청 관광과"
충청남도 서산시 대산읍 독곶리 산 230-2,,34,0,A01,A0102,A01020200,2736730,12,20210826223634,http://tong.visitkorea.or.kr/cms/resource/35/2737035_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2737035_image2_1.jpg,126.3297458815,36.9915428552,6.0,20221026112940,0,7,,코끼리바위,31900,"해발 156m의 낮은 산이지만, 산을 넘으면 코끼리바위가 있는 해안절벽을 감상할 수 있다. 코끼리가 물을 먹고 있는 듯한 모습을 하고 있어 이름붙여진 코끼리 바위는 약 5m의 높이로 바닷물이 빠졌을 때 들어가 볼 수 있으며 파도에 침식되어 만들어진 둥근 몽돌로 이루어진 해변도 함께 볼 수 있다. 몽돌해변과 코끼리바위가 유명한 황금산은 서산 9경 중 제7경으로, 해송과 야생화가 어우러진 숲길과 몽돌로 이루어진 해안이 절경을 이룬다.원래 이름은 항금산(亢金山)이었으나 산이 있는 전체구역을 총칭하여 항금이라 했다고 한다. 옛날 평범한 금을 뜻했던 황금에 비해 항금은 고귀한 금으로 여겼다. 이 때문에 마을 선비들은 항금산으로 표기했다고 전한다.바다 한가운데 우뚝 솟아 있어 마치 섬과 같은 모양새를 하고 있었으나 화학공장이 들어서면서 지금은 육지와 완전히 연결되어 있다. 서쪽은 바위 절벽으로 서해와 접해있고 금을 캤던 2개의 동굴이 남아 있으며, 산 정상에는 예로부터 풍년과 안전을 기원했던 당집을 복원하여 매년 봄 제향을 지내고 있다.사진 출처: 서산시청 관광과"
충청남도 서산시 대산읍 독곶리 산 230-2,,34,0,A01,A0101,A01010400,2736726,12,20210826222915,http://tong.visitkorea.or.kr/cms/resource/40/2737040_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/2737040_image2_1.jpg,126.3297458815,36.9915428552,6.0,20211105184638,0,7,,황금산,31900,"몽돌해변과 코끼리바위가 유명한 황금산은 서산 9경 중 제7경으로, 해송과 야생화가 어우러진 숲길과 몽돌로 이루어진 해안이 절경을 이룬다. 해발 156m의 낮은 산이지만, 산을 넘으면 코끼리바위가 있는 아름다운 해안절벽을 감상할 수 있다.원래 이름은 항금산(亢金山)이었으나 산이 있는 전체구역을 총칭하여 항금이라 했다고 한다. 옛날 평범한 금을 뜻했던 황금에 비해 항금은 고귀한 금으로 여겼다. 이 때문에 마을 선비들은 항금산으로 표기했다고 전한다.바다 한 가운데 우뚝 솟아 있어 마치 섬과 같은 모양새를 하고 있었으나 화학공장이 들어서면서 지금은 육지와 완전히 연결되어 있다. 서쪽은 바위 절벽으로 서해와 접해있고 금을 캤던 2개의 동굴이 남아있으며, 산 정상에는 예로부터 풍년과 안전을 기원했던 당집을 복원하여 매년 봄 제향을 지내고 있다.사진 출처: 서산시청 관광과"
충청남도 서산시 대산읍 독곶리 산 230-2,,34,0,A01,A0101,A01011200,2736722,12,20210826222238,http://tong.visitkorea.or.kr/cms/resource/40/2737040_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/2737040_image2_1.jpg,126.3297458815,36.9915428552,6.0,20220621164810,0,7,,황금산몽돌해변,31900,"해발 156m의 낮은 산이지만, 산을 넘으면 코끼리바위가 있는 아름다운 해안 절벽과 파도에 침식되면서 만들어진 둥근 몽돌이 가득한 몽돌해변을 볼 수 있다. 몽돌이 파도와 부딪혀 내는 자그락소리를 들을 수 있고 바다와 맞닿은 바위와 해변을 모두 감상할 수 있다. 몽돌해변과 코끼리바위가 유명한 황금산은 서산 9경 중 제7경으로, 해송과 야생화가 어우러진 숲길과 몽돌로 이루어진 해안이 절경을 이룬다.원래 이름은 항금산(亢金山)이었으나 산이 있는 전체구역을 총칭하여 항금이라 했다고 한다. 옛날 평범한 금을 뜻했던 황금에 비해 항금은 고귀한 금으로 여겼다. 이 때문에 마을 선비들은 항금산으로 표기했다고 전한다.바다 한가운데 우뚝 솟아 있어 마치 섬과 같은 모양새를 하고 있었으나 화학공장이 들어서면서 지금은 육지와 완전히 연결되어 있다. 서쪽은 바위 절벽으로 서해와 접해있고 금을 캤던 2개의 동굴이 남아있으며, 산 정상에는 예로부터 풍년과 안전을 기원했던 당집을 복원하여 매년 봄 제향을 지내고 있다.사진 출처: 서산시청 관광과"
충청남도 서산시 지곡면,,34,0,A01,A0101,A01011400,2736717,12,20210826221442,http://tong.visitkorea.or.kr/cms/resource/84/2736984_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2736984_image2_1.jpg,126.4368868025,36.8635567177,6.0,20221104161613,0,7,,왕산포구,31917,"왕산포구는 썰물이 되면 갯벌 체험을 즐길 수 있고 바다 풍경을 감상하며 거닐 수 있는 해안산책로가 조성된 곳이다. 해안산책로 내 넓게 조성된 데크 공간에서 휴식을 취할 수도 있고, 바닷물이 빠지면 해안 산책로 밑으로 내려가 볼 수도 있다. 해안산책로 맞은편에 있는 작은 섬인 안섬은 물이 빠지면 길이 생겨 걸어서 들어가 볼 수 있다. 팔각정에서는 왕산포구의 전체적인 모습을 위에서 내려다볼 수 있고 갯벌체험장에서는 물이 빠진 후 바지락 캐기와 같은 갯벌 체험을 해볼 수 있다. 매년 5월6월경 지곡왕산포 서산갯마을 축제가 열리는데 지곡면 가로림만에서 채취되는 낙지, 바지락 등 해산물을 주제로 하는 축제이다.사진 출처: 서산시청 관광과"
