addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청남도 서천군 장서로29번길 37,,34,,A02,A0203,A02030600,2894667,12,20221103135922,,,126.6962442123,36.0105702497,6,20221103135940,0,8,,향미미션투어,33671.0,"향미미션투어는 지역해설사와 함께 장항의 향과 미를 찾아다니는 미션투어 프로그램이다. 두빛나래 카페에서 시작하여 장항도시탐험역, 삼성건널목, 조선정미소 등 장항의 랜드마크를 해설사의 이야기를 들으며 탐험한다. 투어코스 곳곳에는 금괴 모형이 숨겨져 있어 이를 찾는 재미가 쏠쏠하다. 향미 미션투어는 이외에도 황금달고나 만들기, 나에게 보내는 늦은 엽서 쓰기, 천연 아로마 손소독제 만들기, 박대굽기 등의 프로그램이 있다."
충청남도 서천군 건지산길 11-8,,34,,A02,A0203,A02030100,2894647,12,20221103131648,,,126.7815734765,36.0870185343,6,20221103133813,0,8,,안제이가든,33626.0,"안제이가든은 보건복지부와 농촌진흥청이 선정한 치유농장이다. 휴양, 체험, 치유가 어우러진 치유형 농촌 체험 프로그램을 운영하고 있으며, 행잉 식물 꾸미기, 홍차 체험, 라탄 체험 등 다양한 힐링 체험을 할 수 있다. 행잉 식물 꾸미기 프로그램은 유리온실에서 진행되며, 식물을 키울 행잉 화면을 만든 뒤 키우고 싶은 식물을 골라 가져갈 수 있다. 이밖에도 홍차 만들기 체험, 원예 치유 체험, 허브 정원 및 족욕체험 프로그램도 경험할 수 있다."
충청남도 서천군 장항읍 장산로 232,,34,0.0,A01,A0101,A01011400,2782234,12,20211126235917,http://tong.visitkorea.or.kr/cms/resource/82/2786282_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/2786282_image2_1.jpg,126.6841286801,36.0086202657,6,20221101111425,0,8,,장항항,33668.0,"충남 서천의 최남단에 위치한 장항항은 금강을 사이에 두고 전북 군산과 마주 보고 있어 한때는 장항과 군산을 오가는 배가 있었으나 2010년 금강하구둑이 완공되면서 현재는 고기잡이 어선만이 장항항을 오가고 있다. 6월에는 이곳 물양장에서 꼴뚜기와 갑오징어를 테마로 한 축제가 열린다. 이름하여 꼴갑축제다. 항구의 널따란 물양장을 따라 꾸며진 축제장은 정겨운 시골 장터 분위기가 나고 제철을 맞은 꼴뚜기와 갑오징어를 찾는 관광객들로 북새통을 이룬다. 다양한 볼거리와 함께 갓 잡아 올린 꼴뚜기와 갑오징어를 맛볼 수 있고 저렴한 가격에 구매할 수 있어 한 해 25만여 명의 관광객들이 찾고 있다. 부스에서는 축제의 주인공인 갑오징어나 꼴뚜기 숙회를 비롯해 말린 갑오징어, 냉동 갑오징어 등을 판매한다. 갑오징어는 그날그날의 경매 시세에 따라 가격이 달라진다."
충청남도 서천군 서면 서인로 56,,34,0.0,A01,A0101,A01011400,2782229,12,20211126235657,http://tong.visitkorea.or.kr/cms/resource/68/2786268_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2786268_image2_1.jpg,126.5036333988,36.1294311539,6,20221031111542,0,8,,마량포구,33604.0,"서천군 서면 마량포구는 바다 쪽으로 툭 튀어나온 끄트머리에 있어 지형적 위치상 일몰과 일출을 함께 볼 수 있다. 그래서 마량포구에 위치한 마량리는 마량포해돋이마을이라는 이름으로도 불린다. 매해 연말연시에는 전국 각지에서 일몰과 일출을 보기 위해 많은 관광객이 모여든다. 마량포구 방파제는 고기가 잘 잡히는 포인트이며, 새벽에 마량포구 어판장에 가면 어민들이 갓 잡아 온 싱싱한 해산물을 경매하는 광경을 볼 수 있다. 또한, 마량포구에서는 축제가 많이 열리고 있다. 1월에는 마량포 해돋이축제, 3월에는 동백꽃주꾸미축제, 그리고 5월에는 자연산 광어도미축제가 줄줄이 열려 볼거리, 먹을거리가 넘쳐난다. 마량포구 뒤편으로 가면 500여 년의 수령을 자랑하는 동백나무 70여 그루가 숲을 이루고 있는 동백나무숲이 있다. 여름철 저녁엔 LED 조명을 밝히는 조형물들이 있는 마량포구 광장에서 종종 작은 음악회가 열려 로맨틱한 분위기를 연출하기도 한다."
충청남도 서천군 마서면 장산로 916,,34,0.0,A01,A0101,A01010500,2782219,12,20211126235409,http://tong.visitkorea.or.kr/cms/resource/31/2786231_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2786231_image2_1.jpg,126.7427008479,36.0228390883,6,20221101161708,0,8,,금강하구 철새도래지 (서천),33657.0,"금강하굿둑은 충청남도 서천군과 전라북도 군산시 사이에 있다. 1990년 금강하굿둑이 완공된 후 겨울 철새들이 찾아오기 시작했고,  이후 금강하구는 우리나라에서 철새를 가장 가까이서 만날 수 있는 철새 탐조 최적지가 되었다. 조류생태전시관에서 멀리 떨어져 있지 않은 금강하구 철새도래지는 국내 최대의 철새도래지이며 금강 1경이자 서천 2경으로 꼽힌다. 해마다 겨울이면 가창오리, 청둥오리, 검은머리갈매기 등 희귀한 철새들 수만 마리가 날아와 장관을 이루는 이곳을 찾는 철새는 40여 종 50여 마리에 달한다. 특히 웅장한 날갯짓 소리를 내며 일제히 날아오르는 가창오리 떼의 군무는 자연의 신비로움으로 보는 이를 압도한다. 조류생태전시관부터 금강 생태공원까지 이르는 1.3km 구간에 자전거길, 조류 관찰시설, 조류생태공원을 조성하여 조각들을 설치했고, 금강 생태공원 내에는 두 개의 철새 조망대가 있어 이곳에 오르면 철새도래지를 한눈에 볼 수 있다."
충청남도 서천군 마서면 장산로855번길 56-2,,34,0.0,A02,A0203,A02030600,2782213,12,20211126235016,http://tong.visitkorea.or.kr/cms/resource/29/2786229_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2786229_image2_1.jpg,126.7367014591,36.0199865334,6,20221101101801,0,8,,금강2경 도보여행길,33657.0,"전국적으로 도보여행 바람이 불면서 충남에도 48개 길에 총연장 1074.89km에 달하는 도보여행길이 생겼다. 그 중 하나인 금강2경 도보여행길은 금강 8경 중 2경인 신성리갈대밭을 목적지로 하여 걷는 길이다. 총 15.04km에 달하는 이 길은 금강하굿둑 관광단지부터 조류생태전시관을 거쳐 신성리갈대밭으로 이어진 길로, 걸어서 5시간 이상 소요된다. 조류생태전시관 옆에 금강 종주 자전거길 무인인증센터가 있는데 이곳에서 자전거를 빌려서 달릴 수도 있으며, 길 곳곳에 조각상들과 벤치들이 있어 쉬엄쉬엄 걸으며 조각상을 구경하는 재미도 느낄 수 있다. 금강 2경의 마지막 코스인 신성리갈대밭은 200,000여㎡(6만여 평) 부지에 끝없는 갈대밭이 펼쳐진다. 갈대길 안에는 문학길, 소 떼길 등이 조성되어 있고, 중간중간 쉼터도 있다."
충청남도 서천군 마서면 송석리 672,,34,0.0,A01,A0101,A01011400,2753934,12,20211006224630,,,126.6199632097,36.0770696811,6,20221202141753,0,8,,송석항,,"송석항은 가족이나 연인이 들러보기 좋은 곳이다. 아직 사람들에게 많이 알려지지 않아 한적한 편이다. 번잡함을 피하기 위해 이곳을 찾는 사람도 많다. 이곳에서는 항구에 정박 중인 어선과 서해의 고즈넉한 풍경을 감상하기 좋다. 특히 해 질 녘 노을에 물든 서해의 풍경이 장관이다. 송석항에서 북쪽 방면으로 올라가면 캠핑을 즐기기 좋은 띠목섬 해변, 싱싱한 해산물이 가득하고 주꾸미 낚시로 유명한 홍원항, 서천 대표 관광지 가운데 하나인 춘장대해수욕장 등이 자리 잡고 있어 연계 여행에 나서기 수월하다."
충청남도 서천군 마서면 장산로855번길 56-2,,34,0.0,A02,A0202,A02020600,2752019,12,20210930222443,http://tong.visitkorea.or.kr/cms/resource/05/2752005_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2752005_image2_1.jpg,126.7367014591,36.0199865334,6,20210930222443,0,8,,금강하굿둑놀이동산,33657.0,"금강하굿둑 놀이동산에는 아이들과 함께 즐길 수 있는 다양한 놀이 시설이 조성되어 있다. 또한, 놀이동산 주변에는 카페, 식당이 있으며, 서천 관광 정보를 안내 받을 수 있는 서천 종합관광안내소가 위치해 있다. 봄에는 금강 하구 놀이동산 주변에 벚꽃이 만개해 핑크빛 풍경을 감상할 수 있다. 밤에는 금강 하구 놀이터 일대의 야간조명이 점등되어 낭만적인 분위기를 연출한다."
충청남도 서천군 마서면 송석리,,34,0.0,A01,A0101,A01011200,2750364,12,20210928183951,,,126.6359117813,36.0770449561,6,20220621161654,0,8,,갈목해변,33650.0,"갈목 해변은 사람들에게 많이 알려지지 않았다. 이 덕분에 번잡하지 않아 여유로운 여행을 즐기기에 제격이다. 백사장의 길이가 700m가량으로 아담하지만, 서해의 풍광을 벗 삼아 해수욕을 즐기기에 좋다. 일몰 무렵에는 서해를 물들이는 노을이 장관을 연출하기도 한다. 이곳은 어패류 보호구역으로 해산물 채취를 금지하고 있지만, 관광객을 위해 마련한 갯벌 체험장에서는 어패류 채취가 가능하다. 해변에서 약 20km 거리에 마량리 동백나무숲과 춘장대 해수욕장이 자리 잡고 있어 연계 관광에 나서기 수월하다."
충청남도 서천군 마서면 장산로 916,,34,0.0,A01,A0101,A01010500,2750340,12,20210928181530,,,126.7427008479,36.0228390883,6,20221201101015,0,8,,금강생태공원(서천생태공원),33657.0,"금강 생태공원은 금강하굿둑 일대에 자리 잡고 있다. 이 덕분에 공원에 들어서면 금강의 수려한 풍경을 볼 수 있다. 공원에서는 잘 정비된 산책로를 따라 걸어도 좋고, 자전거 도로를 따라 자전거를 타기에도 제격이다. 또한, 다양한 조형물 앞에서 기념사진을 남길 수도 있다. 이곳은 무엇보다 해마다 겨울철이 되면 철새 군무를 감상할 수 있는 곳으로 유명해서 관광객은 물론 사진작가들의 즐겨 찾고 있다. 금강 생태공원에서 북쪽으로 가면 홍원항과 춘장대해수욕장 등 서천의 대표 관광지가 즐비하다. 게다가 공원이 군산과 가까운 거리에 위치해 군산으로 연계 여행을 떠나기도 수월하다."
충청남도 서천군 장항읍 장항산단로34번길 48-44,,34,0.0,A02,A0203,A02030100,2746237,12,20210916221955,,,126.6652216362,36.0241903863,6,20221110165508,0,8,,서천송림갯벌체험장,33661.0,"서천송림갯벌체험장이 자리 잡은 서천 앞바다는 청정갯벌로 이름 높다. 갯벌 체험장으로 향하려면 송림이 우거진 산책로를 통과해야 하는데, 곳곳에 마련된 벤치에 앉아 잠시 쉬어 가기 좋다. 조형물 앞에선 기념사진을 남길 수도 있다.
갯벌체험장에는 칠게를 비롯해 바지락, 동죽, 맛조개 등 다양한 생물이 살고 있다. 덕분에 체험을 즐기려는 가족은 물론 연인, 친구 등 다양한 계층의 관광객이 찾는다.
주변에는 서해의 풍경을 감상하기 좋은 스카이워크와 솔바람캠핑장, 장항오토캠핑장이 있어 연계 관광이 쉽다."
