addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청남도 아산시 외암민속길 19-6,,34,,A02,A0201,A02010400,2822429,12,20220531163444,http://tong.visitkorea.or.kr/cms/resource/22/2822422_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2822422_image3_1.jpg,127.0162463633,36.7305016035,6,20220602102205,1,9,,아산 외암마을 건재고택,31557.0,"아산외암마을 내에 위치하고 있으며, 1800년경에 현재의 모습을 갖춘 중부지방의 대표적인 양반가옥으로 영암집이라고도 한다. 조선 숙종때의 문신 이간(李柬, 16771727)이 태어난 집을 현 소유자의 증조부인 건재 이상익(18481897)이 고종 6년(1869)에 지금 모습으로 지었다고 전한다. 도자기, 낙관, 서화, 현판, 생활용구 등 유물 300여점이 대를 이어 보관되고 있으며 특히 사랑채에 보관중인 이간의 교지는 입향조의 근거자료로서 가치가 크다."
충청남도 아산시 인주면 문방리,,34,0.0,A01,A0101,A01011800,2775636,12,20211118011527,,,126.8639150884,36.8537875,6,20221205152822,0,9,,문방저수지,31436.0,"문방저수지는 충남 아산시 인주면에 자리 잡고 있다. 붕어가 서식하고 있는 덕분에 낚시객들의 방문이 잦다. 주변에 농가가 많고, 간혹 교행이 불가능한 길이 나오므로 운전에 주의해야 한다. 저수지에서 삽교천 방조제를 건너가면 삽교호 놀이동산, 수산물 먹거리시장, 삽교호 호수공원 등 당진의 유명 관광지가 많다."
충청남도 아산시 배방읍 장재리 1762,,34,0.0,A02,A0202,A02020100,2775622,12,20211118010907,,,127.106242056,36.7946680319,6,20221025095054,0,9,,천안아산역 동광장,31470.0,"천안아산역 동광장은 충남 아산시 배방읍 장재리에 자리 잡고 있다. 이곳은 천안아산역을 이용하는 승객뿐 아니라 인근 지역에 사는 사람들 사이에서 만남의 광장으로 유명하다. 광장 주변에 음식점과 쇼핑 시설 등이 밀집해 있기 때문이다. 광장 인근 관광지로는 아산 지중해 마을, 온양온천, 온양온천전통시장 등이 있다."
충청남도 아산시 인주면 서해로548번길 158,,34,0.0,A01,A0101,A01011800,2771918,12,20211110190517,,,126.9016280072,36.8662894993,6,20211208232701,0,9,,냉정지,31430.0,"냉정지는 충청남도 아산시 인주면의 저수지이다. 아산 방조제를 넘어 340분이면 도착할 수 있는 거리이다. 외래 어종이 없는 청정 저수지로 민물낚시를 즐기는 사람들 사이에서 유명하다. 미끼를 던지면 토종붕어를 비롯해 잉어, 메기, 가물치, 장어 등 다양한 어종이 올라온다. 바닥, 올림 낚시도 가능하고 3인 기준 방갈로와 4인 기준 방갈로, 6인 기준 펜션형 좌대도 갖추었다. 동절기엔, 밤낚시를 금지하고 3월부터 11월까지 하절기에 한해 24시간 낚시를 허용하고 있다. 저수지 주변에는 아름다운 골프  온천 리조트, 영인산 자연휴양림이 있어 연계 여행을 즐길 수 있다."
충청남도 아산시 점양동 산5,,34,0.0,A02,A0202,A02020100,2771850,12,20211110183840,,,126.9721047065,36.7743068946,6,20211118204347,0,9,,신정호생활체육공원(신정호공원),31558.0,"신정호 생활체육공원은 충청남도 아산시 신정호를 배경으로 조성되었다.  신정호는 1926년에 만들어진 인공 호수로 면적은 92만㎡에 달한다. 호수 주변으로 데크길이 있고 꽃터널도 있어 운동하는 사람이 많고 아름다운 자연 경관을 감상하기 위해 관광객도 많이 찾는 사계절 휴양지다. 공원에는 야외수영장을 비롯한 33종의 체육시설과 야외음악당, 잔디광장, 음악 분수 등이 갖춰져 있다. 공원은 장항선 신창역과 가까운 거리에 자리 잡고 있다."
충청남도 아산시 실옥로 216,(배미동),34,0.0,A02,A0205,A02050600,2771815,12,20211110182910,,,126.979308943,36.798879192,6,20211118204439,0,9,,아산그린타워,31529.0,"아산 그린타워는 충청남도 아산시 배미동에 자리했다. 생활 쓰레기 소각시설이 환경 과학공원으로 탈바꿈하면서 마련된 전망대로 약 아파트 50층 높이이다. 엘리베이터를 타고 전망대에 오르면 아산시의 풍경을 360도로 조망할 수 있다. 발아래 투명 유리 위에 서면 아찔함을 느낄 수도 있다. 전망대에 카페와 레스토랑이 있어 천천히 경치를 즐길 수 있다. 아산 그린타워 주변에는 신정호 국민관광지, 온양온천 등 관광지가 많아 연계 여행에 나서기 좋다."
충청남도 아산시 음봉면 월암로 89,,34,0.0,A01,A0101,A01011800,2758512,12,20211019013432,http://tong.visitkorea.or.kr/cms/resource/16/2758616_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2758616_image2_1.jpg,127.0782404194,36.8451367237,6,20221122165845,0,9,,월랑저수지,31416.0,"월랑저수지는 충청남도 아산시 음봉면 월랑리에 있는 농업 관개용 저수지다. 1957년 5월 20일에 착공, 1960년 12월 31일에 준공하였다. 2018년 6월부터 2023년 6월까지 월랑 내수면 어업계가 낚시터 임대 사용자로 지정되어 개인사업자와 재계약하에 낚시터를 운영하고 있다. 제방 동쪽 여수토 부근부터 아산 더샵레이크시티 2차 아파트를 지나 새터말까지 약 1.3㎞에 이르는 산책로가 조성되어 있다. 저수지 북부 새터말 부근은 버드나무길 사이로 나무 데크길이 조성되어 있어 산책과 함께 연꽃단지를 조망할 수 있다.사진 및 정보 출처: 한국향토문화전자대전, 한국학중앙연구원"
충청남도 아산시 염치읍 동정길 159-4,,34,0.0,A01,A0101,A01011800,2758507,12,20211019013254,http://tong.visitkorea.or.kr/cms/resource/00/2758600_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2758600_image2_1.jpg,126.9930152978,36.8260513036,6,20221115140247,0,9,,염치저수지,31444.0,"염치저수지는 충남 아산시 염치읍에 자리 잡고 있다. 1946년 1월 1일에 착공, 1950년 3월 30일에 준공하였다. 2018년 6월부터 2023년 6월까지 가혜 내수면 어업계가 낚시터 임대 사용자로 지정되어 개인사업자와 재계약하에 낚시터를 운영하고 있다. 별도의 산책로가 조성되어 있지 않으나 제방 남쪽부터 분당골산을 끼고 돌아 염치읍 방현리로 나가는 곳까지 한적한 산길이 있으며 중간에 팔각정이 있어 저수지 조망이 가능하다.사진 및 정보 출처: 한국향토문화전자대전, 한국학중앙연구원"
충청남도 아산시 영인면 신화리,,34,0.0,A01,A0101,A01010400,2758465,12,20211019011615,http://tong.visitkorea.or.kr/cms/resource/51/2758551_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/2758551_image2_1.jpg,126.9681158784,36.8870493888,6,20221118102042,0,9,,고용산(고룡산),31425.0,"고용산은 충남 아산시 영인면 신화리에 자리 잡고 있다. 초목은 없고 큰 돌만 많이 쌓여 있는 산봉우리가 들 가운데 솟아 있다고 하여 고용산이라 불린다. 해발 296m로 아산시 북부에서는 영인산 다음으로 높은 산이다. 평야 지대에 높이 솟아 있어 산 정상에서 주변의 아산호는 물론 인근 충청남도 천안, 경기도 평택 시가지까지 한눈에 보인다.사진 및 정보 출처: 한국향토문화전자대전, 한국학중앙연구원"
충청남도 아산시 배방읍 배방산길 250-31,,34,0.0,A02,A0201,A02010800,2758437,12,20211019010159,http://tong.visitkorea.or.kr/cms/resource/32/2758632_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2758632_image2_1.jpg,127.060358374,36.7554939509,6,20221121151200,0,9,,윤정사,31496.0,"윤정사는 배방산 기슭에 있는 사찰로 대한불교조계종 제25교구 본사 봉선사의 말사이다. 윤정사가 있던 절터를 아산 윤정사 사지라고 하는데, 이는 현재 윤정사 이름을 근거로 지은 것으로, 절터에 있던 실제의 절 이름은 전해지지 않는다. 대웅전 후면에는 산신각을 한 동 두고 있다. 대웅전은 정면 3칸, 측면 2칸의 건물이다. 요사채와 종각 등은 새롭게 신축한 것이다. 윤정사는 해마다 지역의 어려운 이웃들을 후원하고 있다. 쌀 나눔은 신도들의 정성을 통해 매년 이어지고 있으며, 기탁된 쌀은 아산시 취약계층 및 복지 사각지대의 저소득층에게 전달한다.사진 출처: 한국향토문화전자대전, 한국학중앙연구원"
