addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청남도 예산군 시목대리길 2,,34,,A02,A0203,A02030100,2828374,12,20220720134449,,,126.7915577166,36.5448912361,6.0,20220818104014,0,11,041-335-9970,황새권역마을,32456.0,"황새권역 마을은 천연기념물 황새를 복원하고 공생하는 마을이다.
친환경 인증을 받은 논에서 안전하게 쌀이 생산되는 과정을 볼 수 있으며, 계절에 맞게 메뚜기를 잡는 등 농촌 체험을 견학할 수 있다.
또한 황새마을에 걸맞게 황새모형 만들기부터 황새와 친해질 수 있는 다양하고 차별화된 체험활동을 운영중이다."
충청남도 예산군 덕산면 시량리 27-31,,34,0.0,A01,A0101,A01010500,2782406,12,20211129182808,http://tong.visitkorea.or.kr/cms/resource/37/2793137_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/2793137_image2_1.jpg,126.6596213685,36.6871031415,6.0,20221111092843,4,11,,덕산 메타세쿼이아길,32406.0,"주로 공원 수로 식재되는 메타세쿼이아는 곧은줄기와 울창한 잎, 푸른색과 붉은색 등 계절의 색감을 고스란히 담아내는 나무로 사랑받는다. 덕산 메타세쿼이아길 역시 온천 둘레길, 황토체험 숲길과 함께 예산 명상 치유숲길로 같이 묶여 온천단지의 힐링 코스를 이룬다. 다른 테마에 비해 450m의 짧은 길이지만, 메타세쿼이아길 중간에 설치된 나무 의자에 앉아 신선한 바람을 맞으며 가만히 논두렁을 바라보고 있노라면 절로 힐링이 된다. 다른 지역에 비해 나무와 나무 사이 간격이 넓은 편이라 상대적으로 편안하고 안정적인 기분도 느껴진다. 메타세쿼이아길 한쪽에 새빨간 사랑의 우체통이 눈길을 사로잡는데, 멸종한 지 45년 만에 자연적 부화에 성공한 황새를 기념하기 위해 매년 7월 23일에 발송되는 느린 우체통이다. 우체통 앞에 엽서가 무료로 제공되니 사랑하는 가족에게, 고마웠던 친구에게, 혹은 도움을 받았던 누군가에게 따스한 마음을 전해봐도 좋겠다."
충청남도 예산군 신암면 신종리 105-3,,34,0.0,A02,A0201,A02010900,2771833,12,20211110183347,,,126.8236463513,36.7568924052,6.0,20211118204529,0,11,,여사울성지,32417.0,"여사울 성지는 충청남도 예산군 신암면 신종리에 자리했다. 천주교 대전교구 소속의 천주교 성지로 1890년대부터는 내포 지역 천주교 전통 신앙의 모범이 된 공소였다. 여사울 성지에는 충청도 지역교회 창설을 위해 헌신한  충청도의 사도로 불리는 이존창의 생가 터가 있다. 이곳은 충청남도 기념물 제177호로 지정되어 있다. 여사울 성지는 같을 如 자를 써서 서울과 같다는 뜻이다, 예산 수덕사 IC와 가까운 거리에 위치해 있고 주변에는 도고 온천, 국립 예산 치유의 숲 등이 있다."
충청남도 예산군 대흥면 의좋은형제길 3,,34,0.0,A02,A0202,A02020700,2751853,12,20210930184552,http://tong.visitkorea.or.kr/cms/resource/00/2751900_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2751900_image2_1.jpg,126.7922087858,36.6065758233,6.0,20220412113515,0,11,,의좋은형제공원,32450.0,"의좋은 형제 공원은 충남 예산군 대흥면에 있다. 서로의 곳간에 쌀가마니를 옮겨주다가 길에서 마주해 부둥켜안고 울었다는 '의좋은 형제' 이야기를 테마로 조성된 공원이다. 물레방아가 돌아가는 아름다운 연못과 계절별 아름답게 꽃피우는 다양한 나무들이 편안한 분위기를 자아내 가족 단위 나들이나 연인들의 데이트코스로도 손색이 없다. 실제 두 형제의 집과 두 형제가 오갔던 거리를 재현되어 있어, 이야기 속으로 들어가 보는 즐거움을 느낄 수 있다."
충청남도 예산군 대흥면 예당로 900-7,,34,0.0,A01,A0101,A01010500,2709683,12,20210312013330,,,126.7919226124,36.6098754387,6.0,20220520092232,0,11,,예당호 중앙생태공원,32450.0,"의좋은 형제공원 맞은편에 위치한 예당호 중앙생태공원은 부지면적 약 2,098평으로 전망대와 조망대, 파고라가 설치되어 있어 가족 또는 연인과 함께 걸으며 예당저수지와 공원의 수려한 경관을 조망할 수 있다. 공원내에 능소화 및 대규모 연꽃단지가 조성되어 봄부터 여름, 가을 아름다운 자연을 가까이 만끽하기에 제격이다."
충청남도 예산군 응봉면,,34,0.0,A01,A0101,A01010500,2659551,12,20200612014546,http://tong.visitkorea.or.kr/cms/resource/64/2658964_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2658964_image3_1.jpg,126.7990018882,36.6338200305,6.0,20221209092836,0,11,,느린호수길,32447.0,"예당호를 따라 2019년 10월에 조성한 느린호수길은 예당호출렁다리를 거쳐 대흥면의 예당호중앙생태공원까지 7km에 이른다. 예당관광지 공연장과 충효정 아래로 굽이굽이 이어진 길은 예당휴게소 아래를 지나면 곧 예당호 수변에 부드럽고 온화하게 연결되며, 수심이 낮은 곳은 나무가 물에 반쯤 잠겨 몽환적인 분위기를 선사한다. 전 구간 나무 데크에 턱이나 계단이 없어 유모차나 휠체어 이용자도 불편하지 않으며, 남녀노소 누구나 걷기 쉬운 곳이다."
충청남도 예산군 덕산면 온천단지1로 55,,34,0.0,A02,A0201,A02010600,2657953,12,20200602002651,http://tong.visitkorea.or.kr/cms/resource/83/2723883_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/83/2723883_image2_1.JPG,126.6500748968,36.6912719405,6.0,20210630235915,3,11,,내포보부상촌,32406.0,"내포 보부상촌은 천백년 역사 향기 가득한 예산군에 위치한 복합 테마파크로 한국의 전통 유통문화와 자연이 살아 숨 쉬는 전통문화 재현 체험형 테마파크이다. 전통사회에서 시장을 중심으로 봇짐이나 등짐을 지고 생산자와 소비자사이에 교환경제의 중간자 역할을 했던 상인 보부상을 중심으로 조성된 복합 테마 공간으로 역사 전통문화의 창달, 상업과 유통에 대한 보부상 고유의 문화를 활용한 다양한 콘텐츠를 쉽게 접하고 체험하고 학습 할 수 있다."
충청남도 예산군 응봉면 예당관광로 161,,34,0.0,A02,A0205,A02050100,2606199,12,20190613003023,http://tong.visitkorea.or.kr/cms/resource/18/2611418_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2611418_image2_1.jpg,126.8023375444,36.6395722048,6.0,20220516175750,3,11,,예당호 출렁다리(음악분수),32447.0,"2019년 4월6일 개통된 예당호 출렁다리는 예산군의 새로운 대표관광지 중 하나로 길이는  402m의 길이를 자랑하고 있다. 느린호수길은 2019년 10월 오픈했으며 140m 길이의 부잔교와 함께 아름다운 경관을 조성한다. 또한 하얗고 웅장한 출렁다리의 모습이 넓은 예당호와 함께 조성된 예당호 조각공원과 어우려저 그 웅장함과 아름다움을 함께 감상할 수 있다.
2020년 4월25일부터 가동한 음악분수는 길이 96m, 폭 16m 최대 분사 높이 110m에 디르는 부력식 분수이며, 면적 1536㎡에 달해 호수에 설치된 가장 넓은 음악분수로 한국기록원 공식 기록에 올랐다. 한국관광공사 야간 관광 100선에 오른 예당호출렁다리에 그러데이션 기법을 적용한 형형색색 LED 불빛을 이용한 공연이 20분간 진행된다. 음악분수는 금요일과 주말, 공휴일 기준으로 주간 4회(오전 11시, 오후 1시·3시·5시), 야간 3회(오후 8시·8시 30분·9시) 가동한다."
충청남도 예산군 광시면 시목대리길 62-19,,34,0.0,A01,A0101,A01010500,2586628,12,20190109223110,http://tong.visitkorea.or.kr/cms/resource/23/2662623_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/23/2662623_image2_1.bmp,126.8022373716,36.542616683,6.0,20220509144936,95,11,,예산 황새공원,32456.0,"예산황새공원은 자연환경 훼손으로 사라졌던 천연기념물 텃새 황새의 자연 복원을 위해 예산군이 조성한 황새공원이다. 2015년 6월 문을 연 예산황새공원은 황새 문화관, 오픈장, 생태습지, 사육장, 트리하우스, 황새 먹이주기 체험장, 황새탐조대, 피톤치드 숲 등을 갖추고 있다. 황새공원이 있는 황새마을은 황새가 논에서 노니는 모습, 새끼를 번식하고 돌보는 모습을 실시간으로 관찰할 수 있는 대한민국 유일무이한 장소이다. 예산군은 예산황새공원에서 자란 황새 8마리를 2015년 9월 전국 최초로 자연 방사한 이래 황새의 안전한 자연 정착을 위해 매년 황새를 자연으로 돌려보내고 있다. 예산황새공원에서는 황새를 가까이 관찰할 수 있을 뿐 아니라 청정구역에서만 서식할 수 있는 황새의 특성상 유독성 농약 등을 전혀 사용하지 않고 있어서 자연 그대로의 습지와 숲을 경험할 수 있다. 황새 뿐 아니라 수달, 수리부엉이, 금개구리, 귀이빨대칭이 등 천연기념물 및 멸종위기동물 20여종이 서식 중인 국내 대표적 생물다양성 보존 지역으로, 철에 따라 반딧불이 관찰도 가능하다. 습지에 직접 들어가 논생물을 체험할 수 있는 논생물체험프로그램 등의 생태체험은 학생을 대상으로한 생태교육에 제격이라고 할 수 있다. 또한 두개의 저수지를 지니고 있는 백월산이 인접해 있어 황새공원백월산 둘레길(약12시간 소요)로 이어지는 산책로에서는 산과 저수지가 만들어내는 뛰어난 풍광을 만끽할 수 있다."
충청남도 예산군 응봉면 예당관광로 123,,34,0.0,A02,A0206,A02060300,2514001,12,20171103004620,http://tong.visitkorea.or.kr/cms/resource/56/1281556_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/1281556_image3_1.jpg,126.7980019037,36.6366030263,6.0,20211116203244,1185,11,,예당호 조각공원,32447.0,"천혜의 관광명소로 널리 알려진 예당저수지와 조화를 이룬 예당호 조각공원이 개원하여 또 하나의 관광 명소로 급부상하고 있다.
예당호 조각공원은 넓은 바다를 연상케 하는 예당저수지가 한눈에 바라 보이는 예땅 관광지 내 상단 500여평에 전국의 유명 중견작가와 공모작ㄱ가가 참여하여 조성된 공원으로 작품성이나 가치성에서도 높은 점수를 받은 것으로 알려졌다. 또한 그동안 조성된 예당 관광지 내의 야외공연장과 야영장, 산책로 등과 어우러진 한 폭의 서양화가 연상되는 작품 배치로 이곳을 찾는 관광객과 예술인의 찬사가 이어지고 있다."
