addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청남도 천안시 동남구 송정2길 156,,34,,A02,A0202,A02020600,2903287,12,20221109152430,http://tong.visitkorea.or.kr/cms/resource/70/2903270_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/2903270_image3_1.jpg,127.14315983,36.7342395286,6,20221109152525,0,12,,풍세관광농원,31216.0,"풍세 관광농원은 충청남도 천안시 동남구 풍세면 가송리에 있다. 어린이와 함께 놀기 좋은 아동풀을 비롯해 성인풀, 실내 온수풀, 패밀리 물놀이장이 갖추어져 있다. 외부 음식을 반입할 수 있고, 취사도 할 수 있다. 오전 11시에 입장하면 시간제한 없이 오후 6시까지 머물 수 있다. 샤워실, 화장실, 매점, 카페, 공용 냉장고, 의류 탈수기, 전자레인지 등 각종 편의시설도 마련되어 있다. 남풍세 IC에서 가깝고, 주변에 태학산 자연휴양림과 외암 민속마을이 있다."
충청남도 천안시 서북구 성성2길 66,,34,,A02,A0202,A02020100,2824534,12,20220620144201,http://tong.visitkorea.or.kr/cms/resource/11/2824511_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/11/2824511_image3_1.JPG,127.1308828889,36.8453015278,6,20220701144304,2,12,,성성호수공원,31079.0,"업성동의 '성', 성성동의 '성'을 따서 합쳐 만든 업성저수지의 탈바꿈.
 
업성저수지의 수질이 6등급으로 악화되어 농업용 저수지로서의 기능이 상실, 천안시의 수질개선 및 자연생태계 복원 사업으로 업성저수지는 '성성 호수 공원'으로
탈바꿈되었다. 방문자 센터(홍보관체험관), 잔디마당과 숲 놀이터, 생태탐방로 및 자연 관찰 교량인 성성 물빛 누리교, 인공식물 섬, 물 순환시설 등
자연과 사람이 공존하는 도시생활 속 친환경 생태공원이며, 이 공원에는 멸종 위기의 금개구리와 맹꽁이 등 다양한 양서류들과 원앙, 청둥오리, 흰뺨검둥오리 등을 구경해 볼 수 있다."
충청남도 천안시 동남구 향교1길 104-24,,34,,A02,A0203,A02030600,2820068,12,20220516165830,http://tong.visitkorea.or.kr/cms/resource/35/2820035_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2820035_image2_1.jpg,127.1704079466,36.8146668682,6,20220614140511,0,12,,누리마루숲,31068.0,"'주식회사 누리마루숲'은 건물 안과 밖의 넓고 다양한 공간을 활용하여, 일반 관광객들은 물론 반려견을 동반한 관광객들도 즐길 수 있는 체험 콘텐츠와 식음 서비스를 제공하고자 하는 마을기업이다. 야외 공간을 활용한 도심 속 피크닉 체험은 사진으로 추억을 남기고 싶어하는 분들, 바쁜 일상에서 숲 속 힐링을 하고 싶어하는 분들께 호응을 얻고 있다.
천안의 지역 색을 살린 식음 서비스를 제공하기 위해 천안의 특산물 호두를 활용해 다양한 상품을 개발했고, 22년도에 상품 개발을 완료한 누리쿠키(호두초코맛, 호두아몬드맛, 호두스콘)와 호두쉐이크, 호두라떼는 좋은 반응을 이끌어내고 있다. 또한 여름 시즌에는 전국 최초의 호두 팥빙수를 개발해 판매할 예정이며 향후 더 다양한 체험 콘텐츠를 계획 중에 있다."
충청남도 천안시 동남구 병천면 아우내장터1길 12-23,,34,0.0,A02,A0202,A02020100,2778533,12,20211124201543,http://tong.visitkorea.or.kr/cms/resource/61/2793161_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2793161_image2_1.jpg,127.2963981169,36.7596809955,6,20221115153911,0,12,,아우내독립만세운동기념공원,31254.0,"충청남도 천안시 동남구 병천면 병천리에 있는 공원으로, 3·1 운동 90주년을 맞아 2009년 준공한 곳이다. 1919년 4월 1일 아우내 독립 만세 운동을 전개한 역사의 현장으로 당시 병천 아우내 장터와 일제의 헌병 주재소가 있던 곳이다.  당시 헌병 주재소 부지와 시위 군중이 일본 헌병의 총에 맞아 순국한 장소를 보존하고, 애국선열들의 나라 사랑 정신을 계승하며, 역사를 체험할 수 있는 교육의 장으로 활용하기 위하여 천안시에서 조성하였다. 아우내 독립 만세 운동 기념 공원비, 독립 만세 운동 조형물, 발생지 안내판 및 부대시설 등이 있다."
충청남도 천안시 동남구 성남면 약수로 46,,34,0.0,A02,A0201,A02010800,2769781,12,20211108221040,http://tong.visitkorea.or.kr/cms/resource/69/2770669_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2770669_image2_1.jpg,127.2152703632,36.7212006419,6,20211109195510,0,12,,승천사,31247.0,"승천사는 충남 천안시 동남구 성남면에 자리 잡고 있다.
사찰은 세종대왕과 승천약수로 유명하다. 옛 문헌에 따르면 세종대왕이 훈민정음을 창제할 때 눈병을 치료하기 위해 이곳을 찾았다는 기록이 전한다. 게다가 사찰에 있는 승천약수를 한양까지 가져다 마셨다는 기록이 조선왕조실록 세종실록에 기록되어 있다."
충청남도 천안시 동남구 원성천1길 17,(영성동),34,0.0,A02,A0203,A02030600,2769780,12,20211108220955,http://tong.visitkorea.or.kr/cms/resource/32/2770632_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2770632_image2_1.jpg,127.1526655016,36.8000987863,6,20221025132901,0,12,,미나릿길벽화마을,31131.0,"미나릿길 벽화마을은 충남 천안시 동남구에 자리 잡고 있다.
천안역 가까이에 자리 잡은 미나릿길 벽화마을은 좁지만 알찬 벽화 골목으로 가족, 연인, 사진가 등 다양한 사람들에게 주목받는 곳이다. 
낙후되어 좁고 허름하던 골목은 도심재생사업을 통해 현재 트릭아트, 3D 벽화 등 다양한 그림들로 가득하다."
충청남도 천안시 동남구 병천면 유관순생가길 18-1,,34,0.0,A02,A0201,A02010500,2769773,12,20211108220607,http://tong.visitkorea.or.kr/cms/resource/89/2770689_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/2770689_image2_1.jpg,127.3167935719,36.7572260868,6,20221130142535,0,12,,유관순열사생가,31257.0,"유관순 열사 유적인 생가지는 1972년 10월 사적 제230호로 지정되었다. 터만 남아 있었던 것을 1991년 12월 초가집 본체와 부속사로 복원하였다. 
생가 옆에는 박화성이 시를 짓고, 이철경이 글씨를 쓴 기념비가 세워져 있으며 유관순열사가 다녔던 매봉교회가 위치해 있다. 
인근에는 유관순열사 기념관이 열사의 탄신 100주년을 기념하여 2003년 4월 개관하였다."
충청남도 천안시 동남구 광덕면 광풍로 250-1,,34,0.0,A02,A0202,A02020600,2763005,12,20211027011150,http://tong.visitkorea.or.kr/cms/resource/94/2762994_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/2762994_image2_1.jpg,127.0521474577,36.6734949055,6,20211028002507,0,12,,주니어천문스쿨 천안점,31220.0,"천안시 동남구 광덕면에 위치한 주니어천문스쿨은 체계적인 정기 교육 프로그램 또는 다양한 일일 교육프로그램을 갖추어 멀리 가지 않고 가까운 도심지에서 우주를 체험할 수 있는 곳이다. 정기 프로그램은 3가지의 과정으로 나누어져 있으며, 1과정 별과 태양계, 2과정 우주탐사, 3과정 은하와 우주라는 주제로 편성되어 있다. 일일 프로그램은 가족이 함께 할 수 있는 프로그램인 가족 프로그램과 개인이 신청하여 교육받을 수 있는 개인 프로그램으로 나누어져 있다."
충청남도 천안시 동남구 목천읍 교촌7길 46-12,,34,0.0,A01,A0101,A01010400,2762931,12,20211027003938,http://tong.visitkorea.or.kr/cms/resource/20/2762920_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/20/2762920_image2_1.JPG,127.2274587255,36.8014832908,6,20211027003938,0,12,,흑성산,31229.0,"흑성산(해발 519m)은 동쪽으로 산방천을 넘어서 은율산이 솟아있고 북쪽으로는 천안시의 진산인 태조봉을 거쳐 성거산이 바라다 보이며 서쪽에는 마점산 너머로 천안시가 내려다보인다. 그리고 남쪽으로는 승천천을 건너서 취암산과 고려산으로 연결된다. 흑성산 정상에는 석축둘레 2,290척, 높이 6척의 성터가 있었으나, 지금은 일부만 남아있고 성내에는 지지가 있다. 흑성산의 본래 이름은 검은산인데 이 산을 중심으로 김시민, 이동령, 이범석, 유관순, 조병옥 등 많은 구국열사가 배출되었으며 일제때 '검다'는 뜻을 그대로 옮겨서 '흑성산'으로 바꾼 것이다. 풍수지리상 이곳은 서울의 외청룡에 해당되고 금계포란형 즉 금닭이 알을 품고 있는 형의 명당 길지로서 '좌우동천승적지'라 하였다. 여기서 좌우동천승적지는 석천리와 지산리의 승적골을 말하는데 석천리의 승적골은 5목(덜목, 제목, 칙목, 사리목, 돌목)의 사이에 사람이 살기 좋은 땅이 있기 때문이며 이곳에 독립기념관이 들어서게 된 것과 관련하여 암행어사 박문수의 일화가 전해지고 있다. 영조때 암행어사 박문수가 죽자 그의 묘소를 지금의 독립기념관 자리에 정하였는데 이때 어느 유명한 지관이 이곳은 23백년 후에는 나라에서 요긴하게 쓸 땅이므로 그때 가면 이장을 해야되니 이 곳에서 십여리 동쪽에 묘를 쓰라고 권하여 지금의 북면에 위치한 은석산에 묘소를 정하였다고 한다. 과연 '검은성'이라는 이름을 그대로 국가적 사업에 의한 독립기념관이 들어서니 풍수지리상 명당 길지인 이곳이 제구실을 다하고 있는 셈이다."
충청남도 천안시 동남구 천안천변길 127,(신방동),34,0.0,A02,A0202,A02020700,2762912,12,20211027003312,http://tong.visitkorea.or.kr/cms/resource/84/2762884_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/84/2762884_image2_1.JPG,127.1223770528,36.7822725228,6,20211027003312,0,12,,신방공원,31178.0,"신방공원은 충남 천안시 동남구에 자리 잡고 있다. 신방동 하수처리장의 물을 이용하여 생태연못, 분수 등을 조성하였다. 드넓은 잔디밭에서는 그늘막을 설치하고 여유를 즐기기 좋다. 생태공원에는 물고기, 수생식물 등이 가득하여 어린이들의 학습장으로 유용하다."
