addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청남도 청양군 장곡길 43-7,,34,,A02,A0203,A02030600,2821865,12,20220526165742,http://tong.visitkorea.or.kr/cms/resource/55/2821855_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/55/2821855_image3_1.JPG,126.8462482174,36.4040055827,6.0,20220620141415,0,13,,향온,33360,"향온은 청양 대표 여행지 장곡사 입구에 위치한 양조장으로, 석탄 향이 특징인 지역 전통주를 빚고 나누는 일에 전념하고 있다. 관광객들은 체험장에서 전통주 빚는 법을 배우고 시음도 하며 일상에서 쉽게 접하기 힘든 전통주 문화를 경험할 수 있다. 향온은 발효의 미학 속에서 피어나는 향기로 술 빚는 사람과 술 즐기는 사람의 마음을 이어주며 전통주의 맛과 멋을 즐기는 힐링 여행을 선사한다."
충청남도 청양군 사수터길 99-14,,34,,A02,A0203,A02030600,2821554,12,20220525110806,http://tong.visitkorea.or.kr/cms/resource/47/2821547_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/47/2821547_image3_1.JPG,126.8569836291,36.3940485776,6.0,20220614172130,0,13,,꽃이 머무는 자리(찬고을),33360,"2021년 관광두레 주민사업체에 선정되어 카페 꽃이 머무는 자리를 개장하고 꽃차 판매와 꽃차 아카데미 교실을 운영하고 있다.
아름다운 꽃차 농원과 포토존, 꽃차와 어울리는 디저트, 쿠킹클래스를 체험하며 즐길 수 있으며, 매월 셋째 주 토요일 팜파티, 매년 6월에는 마리골드 축제를 개최한다."
충청남도 청양군 대치면 까치내로 815,,34,0.0,A01,A0101,A01010600,2732607,12,20210811003807,http://tong.visitkorea.or.kr/cms/resource/53/2732553_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2732553_image2_1.jpg,126.851070236,36.3953733236,6.0,20210811003807,0,13,,칠갑산휴양랜드,33360,"칠갑산휴양랜드는 충남의 알프스로 불리는 칠갑산 자락의 휴양지다.
펜션, 골프장, 사계절 썰매장, 다목적 체육시설이 조성되어 있다. 
주변 경관을 따라 흐르는 맑고 깨끗한 물과 공기로 힐링이 가능하다."
충청남도 청양군 대치면 장곡길 241,,34,0.0,A01,A0101,A01010500,2732601,12,20210811003043,http://tong.visitkorea.or.kr/cms/resource/68/2732568_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2732568_image2_1.jpg,126.8602743714,36.4176737028,6.0,20221004112835,0,13,,장곡사벚꽃길,33360,"나선형 도로와 함께 한국의 아름다운 길 100선에 선정됐다. 
이 길은 벚나무 가지가 터널을 이루는 길이어서 벚꽃 피는 봄이면 환상의 분위기를 연출한다.
장곡사 삼거리에서 36번 국도와 만나는 주정교 삼거리까지 5.7Km의 구간인 이 길은 드라이브 코스로도 유명하다."
충청남도 청양군 비봉면 은골1길 196,,34,0.0,A02,A0203,A02030600,2725025,12,20210709010906,http://tong.visitkorea.or.kr/cms/resource/21/2821321_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/21/2821321_image3_1.JPG,126.8148842405,36.5132091704,6.0,20220615175131,1,13,010-8819-9602,소찬 협동조합,33316,"청양군 운곡면 향적선원의 공부모임에서 만나 동네 어르신을 위한 음식봉사를 하던 불자들이 2020년 8월 한국관광공사 관광두레 주민사업체로 선정되어 2021년 소찬협동조합을 설립했다. 스님 쉐프를 모시고 비건음식 쿠킹클래스와 예약제 식사를 운영 중이다. 비건음식은 채소를 재료로 하지만 한식, 양식, 일식의 범위를 넘나들며 음식의 종류, 맛, 모양에서 뛰어나 채식에 대한 새로운 경험을 제공한다."
충청남도 청양군 청양읍 월촌길 56-2,,34,0.0,A02,A0203,A02030600,2725010,12,20210709001345,http://tong.visitkorea.or.kr/cms/resource/14/2821314_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/14/2821314_image3_1.JPG,126.8132471518,36.4511884853,6.0,20220524134612,0,13,,휴식레스토랑(백제에프앤비영농조합),33335,"당신을 위한 맛있는 휴식
백제에프앤비영농조합은 충남의 알프스 청정도시 청양에서 로컬푸드인 구기자, 맥문동, 청양고추, 표고버섯 등을 활용한 향토 퓨전형 바비큐 레스토랑 휴식레스토랑을 운영한다. 대한민국조리기능장과 함께하는 쿠킹클래스(요리, 제과제빵), 먹는 즐거움과 휴식이 있는 체험 교육을 하고 있으며, 지역의 랜드마크로 거듭나고 있다.
지역 먹거리 특색을 살린 6차산업과 농촌의 가치 창출을 위해 관광두레 사업과 연계하여 대한민국 조리 기능장과 함께하는 휴식에서 휴식을 푸드투어 상품을 개발 판매하며, 여행자와 함께하는 힐링 가족 중심형, 연인 중심형 식사와 체험을 통해 청양 속에서 힐링할 수 있도록 시설과 공간을 준비하여 최고의 음식과 서비스를 제공한다.
휴식레스토랑에서는 청양의 대표 농특산물인 구기자, 맥문동을 활용한 건강한 천연발효종 빵을 만들어 판매하며, 체험과 밀키트(식사 꾸러미)를 연계하여 전국 제일의 융복합레스토랑을 구축 운영한다. 또한, 음식재료(루꼴라, 채소, 허브)를 직접 재배하여 건강한 먹거리를 제공하고 있다. 대표메뉴로는 청양 스테이크맨, 소고기큐부채살브스테이크, 단호박파스타, 루꼴라피자, 버섯앙쿠르트 스프 등이 있다.
 체험 프로그램 : 대한민국조리기능장 바비큐체험, 구기자천연발효종 치아바타, 피자, 스콘 빵체험, 원데이쿠킹클래스, 제과제빵 체험"
충청남도 청양군 청양읍 중앙로9길 6,,34,0.0,A02,A0203,A02030600,2717605,12,20210519011056,http://tong.visitkorea.or.kr/cms/resource/55/2821355_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2821355_image3_1.jpg,126.8024119938,36.4519632085,,20220615175405,0,13,010-7777-0074,"청양의 봄, 청춘",33330,"'청양의 봄, 청춘'은 충청남도 청양군에 있으며, 청년협동조합으로 농특산물을 활용한 다양한 먹거리 상품과 관광체험, 캠핑 프로그램 등을 개발, 운영하고 있다. 

 상품명 : 장터커피 (5,00020,000) 
특산물 고추와 구기자를 상징하는 빨간커피(적색), 말차라떼(녹색)를 개발하였으며, 구기자와 맥문동을 활용하여 청양군의 특산품과 전통시장의 정겨움이 어우러진 음료이다. 청양군 관광캐릭터인 '청양이'를 활용한 맥문동 청양이빵을 청양에서 유일하게 맛볼 수 있다. 
 상품명 : 브런치수제도시락 (8,00020,000원) 
제철 식재료를 활용한 수제한식도시락과 바쁜 현대인을 위한 브런치와 베이커리를 즐길 수 있다. 식사와 간식을 해결할 수 있어서 관공서, 직장, 피크닉, 단체행사 등 다양한 형태에 어울릴 수 있도록 최적화 되어 있다. 
 상품명 : 1박  한 여름밤의 꿈, 리틀포레스트 농원여행 (1인 100,000원)  식사 2회 (1일차 석식(화덕 스테이크), 2일차 조식)  왕복 픽업서비스 (홍성버스터미널, 청양버스터미널)  다과 및 블루베리 음료  구기자크레이프만들기 체험  숙박시설 완비 (침대, 주방, 인덕션, 에어컨, 난방, 세면도구, 드라이기)  반려동물 동반 가능 
불멍 가능 청양군 위라리에 위치한 리꼬베리 농장에서 제공하는 프라이빗한 체험 서비스로 농촌에서 편안한 힐링시간이 될 수 있도록 식사와 숙박, 체험이 모두 포함된 프로그램이다 
 상품명 : 청양 우거디탕 (1인 10,000원) 
청양의 대표 향토음식점 이면서도 청양에서 자란 식재료를 사용하여 맛을 낸 청양우거디탕 이미 오프라인 매장에서 청양맛집 으로 입소문을 타고 관광객들의 발길을 사로 잡고 있으며, 직접 기른 쌀과 배추 우거지, 청양에서 재배한 식재료를 정직하게 사용하여 주민과 상생하는 청양우거디탕은 얼큰하고 담백한 맛이 일품이다. 오프라인 매장 판매와 온라인 고객을 통한 포장 판매도 병행하고 있으며 23인이 먹을 수 있는 넉넉한 양이다."
충청남도 청양군 운곡면 어슬티안길 71-15,,34,0.0,A02,A0203,A02030600,2717604,12,20210519005645,http://tong.visitkorea.or.kr/cms/resource/31/2821331_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2821331_image3_1.jpg,126.8226481079,36.4878261091,,20220620141333,0,13,010-8736-1282,어슬티굿밤,33320,"충청남도 청양군 운곡면에 위치한 어슬티굿밤은 레저 체험상품과 숙박시설을 제공하는 관광두레 협동조합이다. 살아온 연륜만큼 넉넉한 마음을 가진 이 곳의 주인장들은 하나부터 열까지 정성을 다해 직접 가꾼 공간을 여행객들과 아낌없이 나눈다. 시골집과 같은 편안한 숙박시설뿐 아니라, 인접한 저수지에서 차박이나 캠핑을 즐기며 가족 낚시 체험도 가능하다. 다양한 활동을 자유롭게 즐길 수 있어 가족 단위 여행자가 취향껏 쉬기에 부족함 없다. 밤이 되면 아름다운 자연을 배경으로 청양의 로컬푸드와 항아리 훈제 통삼겹살로 차려진 팜파티가 열린다. 어슬티 굿밤에서의 하룻밤은 피곤한 도시 생활에서 벗어나 편안한 행복과 휴식을 느끼기에 충분하다."
충청남도 청양군 청양읍 중앙로열길 3,,34,0.0,A02,A0203,A02030600,2717600,12,20210519003919,http://tong.visitkorea.or.kr/cms/resource/34/2821334_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2821334_image3_1.jpg,126.8035924412,36.4520382195,,20220524142723,0,13,010-9455-7307,이플아토,33326,"㈜이플아토는 2021년 관광공사의 청양지역 관광두레 주민사업체로 선정이 되면서 다양한 배움과 파일럿을 통해 건강한 지역 농산물과 지역 캐릭터를 활용해 비누, 캔들, 디퓨저, 석고, 인센스,초콜렛, 굿즈 등을 청양의 젊은 엄마들과 청년들 그리고 학교 밖 청소년들과 함께 다양한 것들을 만들고 개발해 보면서 갖고 싶은 건강한 기념품들을 선보이고 있다."
충청남도 청양군 대치면 칠갑산로 704-18,,34,0.0,A02,A0203,A02030600,2717598,12,20210519003402,http://tong.visitkorea.or.kr/cms/resource/46/2821346_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2821346_image3_1.jpg,126.8493997933,36.4385461196,,20220615175244,1,13,010-7110-3870,마을여행사 청보리,33344,"마을여행사 청보리는 청양군에 위치하고 있으며 당일, 1박2일 등 다양한 레저 체험 프로그램을 운영한다. 
 상품명 : 비단강 천리길 걸어보리 (회당 20만원)
•주제 : 비단강(금강) 하구둑에서 뜸봉샘(발원지)까지 천리길 걷기 
•개요 : 1회 : 매월 둘째주 토,일(1박2일)  200,000원, 10회 : 40km 구간 X 10회  연회비 150만원 
•내용 : 1회 : 금강의 흙길을 걷다 (청양, 부여), 2회 : 금강을 건너다 (금산, 무주), 3회 : 벼룻길 (무주, 진안), 4회 : 봄꽃만발한 누애머릿길(무주), 5회 : 방우리 계곡트래킹(금산), 6회 :잉태와 탄생의 길(뜸봉샘) (장수), 7회 : 갈대숲과 생태의 길(부여, 서천), 8회 : 금강의 얼음트래킹(진안) 
 구간과 내용은 현지 사정에 따라 변경될 수 있습니다. 

 상품명 : 청양을 걸어보리 (체험비와 식비 포함 회당 35,000원) 
•주제 : 청양에서 쉬어보리, 놀아보리, 살아보리 
•개요 : 1일 코스, 매주 토요일, 매회 참가비 3.5만원(체험비,식비 포함), 최소인원 10명 
•내용 : 순차적 진행, 희망코스 선택시 사전협의 1. 읍내길 2. 남산둘레길 3. 지천생태길 4. 성태산 금광길 걷기 5. 금강 달빛따라 걷기 6. 고택과 커피의 만남 7. 면암 발자취따라 걷기 8. 칠갑산과 콩요리 9. 테마별 저수지길 걷기(사랑저수지, 칠갑, 천장, 대박, 도림, 적누) 10. 100년 돌담길 걷기 11. 금강 왕의나루 길 걷기 12. 휴식과 치유 체험 코스 
 구간과 내용은 현지사정에 따라 변경될 수 있습니다."
