addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청남도 태안군 안면읍 꽃지해안로 204,,34,0.0,A02,A0203,A02030400,2804497,12,20221231030902,,,126.3370668317,36.4889842896,6,20221212152605,0,14,,일루글루,32166.0,"아일랜드 리솜 선셋돔' '일루글루' 는 찬바람 막아주는 투명 이글루와, 난방 기구, 테이블 및 의자, 무드램프 등 다양한 편의시설을 갖추고 있어 추운 날씨에도 야외 테라스의 낭만과 캠핑 감성을 듬뿍 즐길 수 있는 곳이다. 또한 겨울바다와 노을의 감성까지 느낄 수 있고 아일랜드 57바의 메뉴로 캠핑 감성까지 더해져 많은 사람들이 찾는 핫플레이스다."
충청남도 태안군 곰섬로 37-20,,34,,A01,A0102,A01020100,2903317,12,20221109153501,http://tong.visitkorea.or.kr/cms/resource/89/2903289_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/2903289_image3_1.jpg,126.3107215956,36.6102032215,6,20221109153547,0,14,,안면도쥬라기공원,32158.0,"안면도쥬라기공원은 충청남도 태안군 남면 신온리에 있다. 2011년 7월 개관한 안면도 쥬라기 박물관으로 향하는 길목에 있다. 공룡을 비롯해 비행기, 고래, 기차 등 각종 조형물이 설치되어 있다. 나리꽃, 나비비늘꽃, 부레옥잠꽃 등 여러 가지 식물도 관찰할 수 있다. 이 밖에 공룡 모양의 미끄럼틀 등의 부대시설이 갖추어져 어린이와 함께 가족 나들이 나서기 좋은 곳이다.. 홍성IC에서 가깝고, 주변에 마검포해수욕장과 곰섬해수욕장이 있다."
충청남도 태안군 원북면 옥파로 1152-37,,34,0.0,A01,A0101,A01010500,2783144,12,20211130011941,http://tong.visitkorea.or.kr/cms/resource/22/2796322_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2796322_image2_1.jpg,126.207359497,36.8976766134,6,20221124133258,1,14,,바라길 (태안해변길 1코스),32105.0,"바라길은 태안 북쪽에 위치한 원북면 학암포에서 시작하여 남쪽으로 내려가며 구례포와 먼동 해변을 지나 신두리해안사구까지 이어지는 총 12km의 코스다. 서해의 탁 트인 조망과 걷기에 무리가 없는 해변 길과 솔숲, 그리고 신두리 사구와 두웅습지를 접할 수 있는 볼거리 많은 코스로 바다와 솔숲을 번갈아 들고나며 걷는 길이라 지루하지 않다. 또한 중간중간 전망대가 나오고 안내판이 많이 설치되어 있어 길 잃을 염려도 없고 현재 위치를 파악하기에도 좋다. 바라길의 시작점은 학암포 자연 관찰로에서부터 시작된다. 약 700m에 걸쳐 형성된 이 관찰로는 사구 습지, 곰솔림, 해안사구, 갯벌 그리고 바다로 연결되어 있어 아이와 함께 둘러보면 학암포의 생태계에 대해 배울 수 있는 좋은 시간이 된다. 학암포 해안 길을 지나면 바라길 1코스 시작점을 알리는 팻말이 서 있는 야트막한 동산으로 이어진다. 이후로 잠시 바다가 나오는가 싶다가 다시 평탄한 숲길이 이어진다. 솔숲을 지나면 구례포해수욕장의 잘 만들어진 데크 길을 지난다. 먼 동해안을 지나면 솔잎 향기 은은한 곰솔 숲과 먼동 전망대를 만난다. 능파사에 도착하면 거북이 입에서 약수가 나오는 약수터가 있는데 여기에서 물을 보충해가자. 동산에서 내려오면 신두리 해변과 신두리 해안사구다. 두웅습지까지는 생각보다 약간 먼 편이지만 데크 길을 따라 습지 주위를 한 바퀴 걸어보면서 습지를 가까이서 관찰할 수 있다."
충청남도 태안군 안면읍 백사장1길 121,,34,0.0,A01,A0101,A01010500,2783143,12,20211130011654,http://tong.visitkorea.or.kr/cms/resource/37/2796337_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/2796337_image2_1.jpg,126.3161578702,36.5852200803,6,20221123091617,0,14,,노을길 (태안해변길5코스),32162.0,"태안해변길 중 가장 인기가 좋은 태안 노을길은 백사장항을 출발하여 꽃지해수욕장까지 이어지는 해변 길로 안면도 북쪽에서 섬의 남쪽으로 내려가는 코스다. 오른쪽으로 서해를 바라보며 안면송이 가득한 해변 길을 걷게 된다. 백사장항을 출발하여 걷다 보면 세 개의 봉우리가 인상적인 삼봉해변과 울창한 곰솔 숲을 지나고 기지포해수욕장이 나온다. 노을길 중 가장 다양한 탐방로가 있는 기지포에는 해안사구와 탐방지원센터가 있다. 휠체어나 유모차도 쉽게 다닐 수 있도록 나무 데크도 설치되어 있어 천사 길이라고도 불린다. 창정교를 지나 40분 정도 올라가면 두여전망대가 나타나는데 이곳은 노을길 가운데서도 가장 좋은 전망을 감상할 수 있는 포인트. 독특한 습곡이 내려다보이며 먼바다의 탁 트인 조망이 가슴을 후련하게 한다. 방포항 근처에는 천연기념물 모감주나무 군락이 있고 5분 거리에는 방포 전망대가 있고 여기서 꽃지해변이 보인다. 12km가량의 노을길 마지막 코스인 꽃지해수욕장은 서해안 최고의 일몰 코스. 트레킹을 거꾸로 할 수도 있지만, 꽃지 일몰을 보려면 아무래도 백사장항에서 출발하는 편이 좋다."
충청남도 태안군 태안읍 터널길 26-13,,34,0.0,A02,A0201,A02010900,2782427,12,20211129183224,http://tong.visitkorea.or.kr/cms/resource/99/2793299_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2793299_image2_1.jpg,126.3015936247,36.7544975406,6,20221116103241,0,14,,태안성당,32141.0,"1964년에 처음 세워진 태안성당은 지난 2006년 지금의 모습으로 새로 지었다. 당시 아름다운 건축물로 손에 꼽히는 전주의 전동성당을 모델로 선택해, 외부는 물론 내부까지 꼭 닮은 쌍둥이성당이 탄생했다. 본당에 사용된 벽돌은 태안성당 신도들이 직접 구워서 쌓았다고 한다. 모든 벽돌이 조금씩 다른 모양과 크기를 지녔지만, 신도들의 마음을 담았다고 생각하니 오히려 특별하게 느껴진다. 이 같은 정성 덕분인지 태안성당은 최근에 지어진 건축물이라고는 믿기지 않을 만큼 고풍스러운 분위기를 풍긴다. 정원도 잘 가꾸어져 있어서 천주교 신자가 아니더라도 가벼운 마음으로 둘러보기 좋다. 평소에는 성당 내외부를 자유롭게 관람할 수 있지만, 미사가 있는 시간에는 내부 관람이 불가하다."
충청남도 태안군 소원면 모항리 1323-240,,34,0.0,A02,A0205,A02050600,2778544,12,20211124201744,http://tong.visitkorea.or.kr/cms/resource/68/2793168_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2793168_image2_1.jpg,126.1409629804,36.7834636812,6,20221118140600,0,14,,만리포전망타워,32123.0,"만리포 해수욕장 근방에 있는 37.5m의 전망대로, 태안의 숨은 명소다. 엘리베이터를 타고 전망대로 올라가면 360도로 주변 경관을 감상할 수 있다. 앞으로는 탁 트인 바다를, 뒤쪽으로는 산과 마을까지 조망할 수 있는 곳이다.  낮에는 탁 트인 전경을, 해 질 무렵에는 노을을, 그리고 밤에는 오후 7시 30분부터 매일 5회 진행되고 있는 레이저쇼를 구경할 수 있다. 레이저쇼는 전망대보다 해변 쪽에서 보는 것이 좋다고 한다.  1층에서는 화장실과 아기자기한 소품,  라면 등 간단한 음식도 판매한다."
충청남도 태안군 근흥면 용도로 257,,34,0.0,A01,A0101,A01011400,2762863,12,20211027000931,http://tong.visitkorea.or.kr/cms/resource/29/2763629_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2763629_image2_1.jpg,126.2268797441,36.694705942,6,20221115160945,0,14,,채석포항,32130.0,"채석포항은 충남 태안군 근흥면에 자리 잡고 있는 지방어항이다. 태안 해안국립공원 내에 위치하여 천혜의 자연경관과 조화를 이루고 있다. 휴식이 가능한 어항으로 각종 레저를 즐길 수 있다.​ 낚시객들이 사계절 내내 방문하며, 주요 어종은 꽃게, 주꾸미 등이다. 고즈넉한 항구 풍경을 감상하기 위해 찾아오는 관광객도 많다."
충청남도 태안군 남면 마검포길 427-26,,34,0.0,A01,A0101,A01011400,2762859,12,20211027000628,http://tong.visitkorea.or.kr/cms/resource/09/2763609_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2763609_image2_1.jpg,126.2848347289,36.6223652681,6,20221117171613,0,14,,마검포항,32158.0,"마검포항은 2개의 섬 모양 선착장에 작은 어선들이 드나드는 조용하고 한적한 포구다. 바닷물이 맑고 깨끗해 해산물이 풍부하게 서식하며, 바닷가에서 조개와 게, 소라 등을 쉽게 잡을 수 있어 조개잡이와 낚시의 명소로 알려져 있다. 바닷가 언덕에 소나무 숲이 우거져 있고 그 너머로 드넓은 모래사장이 펼쳐져 있다. 가까이에 안면도, 간월도 등의 명소가 있어 관광객들이 많이 찾아온다."
충청남도 태안군 고남면 구매길 93,,34,0.0,A01,A0101,A01011400,2762856,12,20211027000435,http://tong.visitkorea.or.kr/cms/resource/79/2763579_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2763579_image2_1.jpg,126.4319099462,36.4250849181,6,20221124172759,1,14,,구매항,32172.0,"구매항은 충남 태안신 고남면 고남리에 자리 잡고 있는 어항이다. 작고 조용한 항구인 이곳은 서해에서 손꼽히는 일출 명소로 유명하다. 선상낚시, 좌대낚시, 바위낚시 등 낚시를 즐기려는 사람들이 많이 방문한다. 항구 주변에는 장곰포선착장, 원산도해수욕장 등이 위치해 있어 연계 여행을 떠나기 좋다."
충청남도 태안군 안면읍 중신로 516,,34,0.0,A01,A0101,A01011400,2758310,12,20211019001632,,,126.3573051199,36.4420094799,6,20211111202126,0,14,,황포항,32169.0,황포항은 충남 태안군 안면읍에 자리 잡고 있다. 2004년 어촌정주어항으로 지정됐다. 황포는 과거 홍수로 갯벌에 황토물이 흘러 누런개 혹은 황개로 불렸다. 선착장이나 갯바위에서 낚시를 즐기는 사람이 많다. 각종 해산물을 팔면서 숙박업을 하는 황포 횟집 펜션도 있다. 항에서 북쪽으로 가면 안면도 자연휴양림과 꽃지 해수욕장이 나온다.
