addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청남도 홍성군 서부면 신리,,34,,A01,A0101,A01011800,2912719,12,20221118172121,http://tong.visitkorea.or.kr/cms/resource/06/2912706_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2912706_image3_1.jpg,126.4993259153,36.5375870282,6,20221118172138,1,15,,홍성호,32205.0,"홍성호는 충청남도 홍성군 서부면 신리에 있다. 천수만 바닷가를 막으면서 생긴 저수지다. 홍성호 주변으로 펼쳐지는 풍경이 멋지다. 이 덕분에 홍성이나 주변 여행길에 올랐다가 잠시 들르는 여행객이 많다. 게다가 붕어와 잉어 등이 많아 낚시객의 발길이 이어진다. 겨울철에도 쏠쏠한 손맛을 느낄 수 있다. 광천IC에서 가깝고, 주변에 남당항과 수룡한포구가 있다."
충청남도 홍성군 홍예공원로 38,,34,,A02,A0202,A02020700,2912698,12,20221118171552,http://tong.visitkorea.or.kr/cms/resource/86/2912686_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2912686_image3_1.jpg,126.6655189265,36.6546097626,6,20221205113857,0,15,,홍예공원,32254.0,"홍예공원은 충청남도 홍성군 홍북읍 신경리에 있다. 홍예공원은 2016년에 만들어졌다. 공원 이름은 내포신도시 행정구역인 홍성군의 홍 과 예산군의 예 자를 따서 지어졌다. 면적은 27만 4650㎡다. 공원에는 2개의 호수가 있고 3개의 산책로가 있다. 산책로의 총길이는 2840m에 달한다. 더불어 자전거 도로와 다목적 운동장도 조성됐다. 화장실, 주차장, 자전거 보관대 등의 편의시설도 갖췄다. 홍예공원은 야경도 아름답기로 소문났다. 밤이 되면 공원 곳곳에 설치된 바닥조명이 은은한 분위기를 연출한다. 조명은 자미원의 둘레길을 도는 산책로에도 설치됐다. 자미원 둘레기엔 초승달 모양의 조형물도 있다. 밤이 되면 노란 조명이 들어오며 호수에 달이 뜬 것 같은 느낌을 준다. 또한 아파트의 불빛에 비치는 풍경도 볼거리 중 하나로 자미원에서 불 켜진 아파트를 보는 것도 색다른 재미다."
충청남도 홍성군 광천읍 담산리,,34,0.0,A01,A0101,A01010500,2784665,12,20211201222330,http://tong.visitkorea.or.kr/cms/resource/66/2784666_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2784666_image2_1.jpg,126.6413117895,36.4826568958,6,20220818154441,0,15,,광천 오서산 벚꽃길,,"광천 오서산 벚꽃길은 충남 홍성군 광천읍 담산리에 자리 잡고 있다. 2017년부터 개최된 오서산 벚꽃축제의 중심이다. 벚꽃길은 광천읍 하상주차장을 시작으로 오서산 등산로가 있는 상담마을까지 3km 가량 이어진다. 도보 산책로와 자전거 도로가 잘 정비돼 있어 벚꽃을 감상하며 느리게 걷기 좋다. 벚꽃길은 광천IC와 가깝다. 주변에는 토굴젓으로 유명한 광천전통시장, 그림 같은 수목원이 있어 연계 여행에 나서기 수월하다."
충청남도 홍성군 서부면 남당항로 934-14,,34,0.0,A01,A0101,A01010500,2783139,12,20211130010554,http://tong.visitkorea.or.kr/cms/resource/10/2786210_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/2786210_image2_1.jpg,126.4588280924,36.5936465493,6,20221101162313,2,15,,서산B지구방조제,32204.0,"서해안고속도로를 달리다 보면 바다 양쪽을 길게 가르는 서산 AB 방조제를 만나게 된다. 충남 서산시 부석면 간월도리와 홍성군 서부면 궁리를 잇는 A 지구방조제와 서산창리와 태안군 남면 당암리를 연결하는 서산B지구방조제는 1980년에 현대건설이 착공을 하여 15년 3개월 만인 1995년에 모두 완공하였고 총 길이가 7,686m에 달한다. 서산 AB방조제는 그 당시 국토의 확장과 간척 농지를 조성하기 위한 목적으로 조성되었고 이 방조제의 등장으로 간월호와 부남호 일대에는 엄청난 규모의 농토가 생겨났다. 홍성에서 안면도를 가려면 AB 방조제를 모두 지나야 하는데 시원하게 뻗은 이곳은 드라이브하기 좋은 멋진 풍경을 가지고 있다. 양쪽으로 시원하게 펼쳐진 바다 풍경과 함께 낚시를 즐기는 사람들도 볼 수 있고 영양굴밥으로 유명한 간월도와 바다 위에 떠 있는 좌대를 유난히 많이 볼 수 있는 태안 당암포구를 지난다. 간월도 부근은 가을이면 300여 종 40여만 마리에 달하는 가창오리, 왜가리, 백로 같은 철새가 날아드는 세계적인 철새도래지로 10월 넘어서 이곳에 들른다면 가창오리 떼의 황홀한 군무를 볼 수 있다."
충청남도 홍성군 구항면 오봉리,,34,0.0,A01,A0101,A01011800,2771931,12,20211110190754,,,126.6108364279,36.5999123337,6,20211118204615,1,15,,공리저수지,32213.0,"공리 저수지는 충청남도 홍성군 구항면 오봉리에 자리했다. 저수지와 맞닿은 곳에 주차장이 있어 주차를 하고 산책 삼아 걷기 좋다. 저수지 주변으로 갈대밭이 조성돼 있고 데크 길이 조성돼 있다. 토종붕어를 비롯해 떡붕어, 메기, 가물치 등 다양한 어종이 서식하고 있어 낚시를 즐기려는 사람들의 방문도 많다. 홍성 IC와 가까운 거리에 위치해 있으며 남당항, 수룡항 포구 등이 있어 연계 관광도 가능하다."
충청남도 홍성군 서부면 신리 660,,34,0.0,A01,A0101,A01011400,2771867,12,20211110184528,,,126.4821058096,36.5161975258,6,20221207112751,0,15,,수룡항 포구,32205.0,"충청남도 홍성군 서부면에 자리한 수룡항 포구는 낚시를 즐기는 사람들 사이에서 유명한 곳이다. 포구 주변에서 미끼를 던지거나 낚시 어선을 타고 근해로 나가 손맛을 즐기기도 한다. 주요 어종은 감성돔, 노래미, 숭어, 학꽁치 등으로 다양하다. 포구 주변 풍력발전기를 배경으로 기념사진을 남기기에 좋고 드라이브 코스로도 좋다. 가까운 곳에 천북 굴 단지가 있어 저렴한 가격으로 굴 요리를 맛볼 수 있고 탁 트인 바다 앞에서의 힐링도 가능하다."
충청남도 홍성군 광천읍 충서로400번길 102-36,,34,0.0,A01,A0101,A01010700,2769683,12,20211108201527,http://tong.visitkorea.or.kr/cms/resource/61/2770761_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2770761_image2_1.jpg,126.6295285338,36.5198135343,6,20221130103830,0,15,,그림같은수목원,32287.0,"그림같은수목원은 2004년 12월 29일 산림청에 등록된 사립수목원으로 홍성 12경 중 12경이다. 
약 11만㎡ 부지에 1,000여 종의 초본류를 비롯하여 560여 종의 목본류를 보유하고 있다. 
이곳은 서해 천수만과 근접하고 있어 바람이 많고 습도가 높아 다른 지역에 비해 낮은 기온 차로 꽃의 개화 시기도 보름 정도 늦어지는 지리적인 특성이 있으며, 우리나라 대표 수목 중 하나인 소나무를 중심으로 조경했다. 
사계절 중 봄에는 각종 꽃이 만발하고, 여름에는 순수한 우리 꽃과 녹색이 어우러져 왕성한 생명력을 엿볼 수 있다. 가을이 되면 고운 자태를 자랑하는 단풍과 노란 잔디에 수놓은 낙엽을 밟으며 인생의 깊이를 느낄 수 있을 것이다. 겨울에는 고목과 녹색이 어우러진 소나무, 향나무 사이를 소복이 쌓여 있는 눈을 밟으며 따뜻한 사랑의 이야기를 나눌 수 있는 곳이다."
충청남도 홍성군 서부면 남당항자전거길 53,,34,0.0,A02,A0202,A02020700,2678991,12,20201027191307,http://tong.visitkorea.or.kr/cms/resource/89/2678989_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/89/2678989_image2_1.bmp,126.4683671084,36.5561538055,6,20220331142135,1,15,,어사리 노을공원,32206.0,"어사리 노을공원은 산책로와 전망대, 광장, 휴게시설 및 운동시설이 갖춰져 있어 천혜의 자원인 천수만 노을을 감상할 수 있다. 두 남녀가 행복한 모습으로 소중한 약속을 하는 모습을 표현한 조형물 '행복한 시간'이 있다. 전체적인 형태는 남녀가 행복한 모습으로 소중한 약속을 나누는 모습을 표현하였다. 작품을 투조 형태로 제작하여 시간의 흐름에 따라 낮에는 푸른 하늘빛을 담고 저녁에는 노을로 붉게 물드는 남녀의 얼굴을 표현하고자 하였으며, 벤치에 앉아 연인이나 가족들이 바다와 시간의 흐름에 따라 변화하는 하늘빛을 담은 조형물을 배경으로 사진을 찍을 수 있도록 하여 기존의 고정된 부조 개념의 작품을 넘어 포토존을 추가하여 생활 속 현대적인 작품으로 표현하였다."
충청남도 홍성군 서부면 서부로 295-90,,34,0.0,A02,A0203,A02030100,2678988,12,20201027191147,http://tong.visitkorea.or.kr/cms/resource/84/2678984_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/84/2678984_image2_1.bmp,126.5014887584,36.5698333557,6,20221013120830,0,15,,아가새농장,32206.0,"대하와 새조개 축제가 있는 남당항 주변에 위치한 행복한 앵무새들의 공간으로, 50여종 300여마리의 앵무새와 작은 동물들과 함께 보고, 듣고, 느끼며 체험할 수 있는 앵무새 체험농장이다. 앵무새 및 여러동물의 먹이체험을 통하여 교감 및 동물의 생태를 가까이에서 관찰할 수 있다."
충청남도 홍성군 홍성읍 아문길 27,,34,0.0,A02,A0203,A02030600,2678981,12,20201027185622,http://tong.visitkorea.or.kr/cms/resource/77/2678977_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/77/2678977_image2_1.bmp,126.660787439,36.6013713629,6,20221208160704,0,15,,홍주성 천년여행길,32228.0,"홍주성 천년여행길은 지금까지 천년을 한결같이 정치 . 경제 . 사회 . 문화의 중심을 지켜오며 그 찬란한 천년 역사를 품에 안고 있는 내포의 큰 고을 홍주를 돌아보는 길이다. 홍주성 천년여행길은 희망찬 홍성을 상징하는 고암길과 서민경제의 심장과 같은 장터길, 도심속 답답한 몸과 마음을 치유할 수 있는 힐링 공간인 매봉재길, 고려시대부터 조선시대를 거쳐 현대에 이르기까지 홍주사람들의 삶과 애환을 고스란히 간직한 홍주성길, 근 · 현대를 넘어드는 추억의 골목길로 이루어져 있다.  1코스(전코스) 약8km, 약 3시간 소요 2코스(역사힐링코스) 약5km, 약 1시간10분 소요"
