addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청북도 괴산군 청천면 후평리,550,33,,A02,A0202,A02020700,2912659,12,20221118170645,http://tong.visitkorea.or.kr/cms/resource/48/2912648_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2912648_image3_1.jpg,127.7475522364,36.6535346399,6.0,20221118170659,0,1,,청천수변공원,28061.0,"청천수변공원은 충북 괴산군 청천면 후평리에 있다. 산으로 둘러싸여 있을 뿐만 아니라 물가도 있어 산자수명하다. 청천수변공원은 강가를 기준으로 캠핑하는 노지 캠핑의 명소로 유명하다. 수온이 적당하며 물의 깊이가 다양해 가족 단위의 방문객들에게 인기가 많고 화장실과 개수대도 설치되어 있어 캠핑을 즐기기에 불편함이 없다. 회인IC에서 가깝고, 주변에 속리산국립공원과 법주사가 있다."
충청북도 괴산군 모래재로 941 보광초등학교화곡분교,,33,,A02,A0203,A02030600,2903366,12,20221109154738,http://tong.visitkorea.or.kr/cms/resource/47/2903347_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2903347_image3_1.jpg,127.7119624488,36.7993589239,6.0,20221109154808,0,1,,꿀벌랜드,28047.0,"꿀벌랜드는 충청북도 괴산군 사리면 이곡리에 있다. 보광 초등학교 화곡분교를 리모델링해 조성된 곳으로 전시체험 박물관에는 꿀벌에 관한 여러 가지 정보를 엿볼 수 있고 직접 벌통 안에 살아 있는 벌도 살펴볼 수 있다. 꿀잼랜드는 어린이들이 좋아하는 공간이다. 레트로 슈팅, 테이블 하키 등 각종 게임기구들이 갖추어져 있고 카페, 북 카페, 벌꿀 가공공장, 상품 판매장 등 다양한 부대시설이 있다. 괴산 IC에서 가깝고, 주변에 중원워터피아와 성불산자연휴양림이 있다."
충청북도 괴산군 청천면 사기막길 101,,33,0.0,A01,A0101,A01010800,2789658,12,20211209001107,http://tong.visitkorea.or.kr/cms/resource/50/2791650_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2791650_image2_1.jpg,127.8436979382,36.6979174108,6.0,20220720150618,1,1,,용추폭포,28059.0,"용추폭포는 높이 5m 정도의 작은 폭포이지만 수량은 많은 편이다. 여기에 흐르는 물의 맑기가 구슬같이 흰 바위들과 어울려 물이 흐른다기 보다는 바위가 흐른다는 느낌을 준다. 이 기암괴석을 이름하여 와룡추라 하듯이 흡사 하늘에서 내려 온 용이 누워 있는 형상이다. 지금도 가끔씩 용녀가 내려와 목욕을 한다고 믿어지고 있을 정도이니 그 신비스런 경관을 상상할 수 있다. 이곳을 옥계동이라 부르며 용추폭포로 시작하여 아홉군데의 아름다운 경치가 있으니 이를 옥계구곡이라 부르는데 다음과 같다.

①와룡추 ②무송암 ③탁령뇌 ④고실탄 ⑤일사대 ⑥추월담 ⑦청풍협 ⑧귀유연 ⑨농완계 용추폭포는 가평읍에서 북서쪽으로 계곡을 따라 6km쯤 올라간 곳에 위치하며, 폭포가 있는 주차장(조옥동)에서 북서로 이어지는 계곡을 따라 올라가면 장장 10km가 넘는 계곡이 올라갈수록 새로운 맛을 느끼게 한다. 특히 입구에서 30분쯤 올라간 지점의 크게 휘어져 들어간 굽이가 아름답다. 암벽과 능선을 바짝 끼고 굽이쳐 흐르는 물살이 보기 좋고 자연 풀장을 이룬 탕이 지나가는 사람을 부른다. 이후로도 올라가면서 펼쳐지는 정경이 각각 특이한 멋을 나타내고 있고 인적이 드물기 때문에 호젓한 맛을 즐길 수 있다."
충청북도 괴산군 청천면 괴산로 197,,33,0.0,A02,A0204,A02040800,2789653,12,20211209000843,http://tong.visitkorea.or.kr/cms/resource/37/2791637_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/2791637_image2_1.jpg,127.8071588888,36.6221726511,6.0,20221114102707,0,1,,사담관광농원,28064.0,"사담 관광농원은 충청북도 괴산군 청천면 사담계곡에 자리한 관광농원이다. 
소나무, 망개나무 가득한 산을 병풍처럼 두르고, 농원 앞으로는 소백산 물줄기가 멋진 계곡을 만들며  흐르고 있다. 자연환경과 어울려 편안하게 쉴 수 있는 공간으로 가족단위 여행객들이 많이 찾는 곳이다. 노래방 시살과 족구장이 있고 여름에는 야외 수영장을 운영한다.
물놀이가 가능한 계곡도 잘 정비되어 있다.
단체나 모임 등 대규모 인원이 한꺼번에 몰려도 편하게 이용 가능한 곳이다."
충청북도 괴산군 불정면 한불로 1216,,33,0.0,A01,A0101,A01010500,2785629,12,20211203191603,,,127.8175143508,36.8883506227,6.0,20221111105938,0,1,0507-1356-4460,괴산 트리하우스 가든,28002.0,유럽감성 가득한 충북 여행지 트리하우스 가든은 괴산에 위치하고 있다.충청북도의 민간정원으로 카페와 치유정원 겸 농촌문화 체험농장으로 이용되고 있다.1인 음료를 주문하면 입장이 가능하다.산책하기 좋은 자작나무 숲길도 있으며 숲길 사이에 오두막이 있다. 오두막 안에는 작은 꽃들이 장식되어 있으며 차를 마실 수 있는 공간도 있다.트리 하우스에는 농산물과 화훼도 판매되고 있다.
충청북도 괴산군 칠성면 자연드림길 240,,33,0.0,A02,A0203,A02030600,2773780,12,20211112184529,http://tong.visitkorea.or.kr/cms/resource/83/2773183_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2773183_image3_1.jpg,0.0,0.0,,20220914094746,3,1,,오가닉메이커협동조합,28019.0,"오가닉메이커협동조합의 괴산 자연드림파크는 자연드림의 생산품과 생산과정을 체험하며 힐링할 수 있는 복합문화단지다. 생산품 제조공방과 체험공방, 치유센터, 레스토랑과 숙박시설 등으로 이뤄져 있다."
충청북도 괴산군 불정면 목도리 864-19,,33,0.0,A02,A0202,A02020700,2762854,12,20211027000040,http://tong.visitkorea.or.kr/cms/resource/59/2763659_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2763659_image2_1.jpg,127.856752864,36.8753806098,6.0,20221122162911,0,1,,목도강수욕장,28002.0,"목도강수욕장은 충북 괴산군 불정면에 자리 잡고 있다. 조선시대 황포돛대가 드나들던 목도강 변에 조성된 강수욕장이다. 강수욕장에는 해변처럼 모래가 깔려 있다. 주말에는 강 변을 따라 텐트를 설치하는 관광객이 많은 편이며, 평일에도 한산함을 만끽하며 휴식을 취하기 위해 찾아오는 캠퍼가 많다."
충청북도 괴산군 칠성면 연풍로쌍곡길 25-6,,33,0.0,A02,A0202,A02020600,2761677,12,20211025224543,http://tong.visitkorea.or.kr/cms/resource/71/2762171_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2762171_image2_1.jpg,127.8863196246,36.7785089434,6.0,20221123160053,0,1,,초원의 집,28018.0,초원의 집은 충북 괴산군 칠성면에 자리 잡고 있다. SBS '순간 포착 세상에 이런 일이'에 출연한 바 있다. 이곳의 운영자인 이재욱 씨는 28년간 돌을 쌓아서 정원을 만들었다. 정원의 개성 넘치는 모습이 전국에 알려지면서 많은 사람이 찾아오는 명소로 거듭난 곳이다.
충청북도 괴산군 칠성면 명태재로미루길 100,,33,0.0,A02,A0205,A02050100,2761669,12,20211025223853,http://tong.visitkorea.or.kr/cms/resource/61/2762161_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2762161_image2_1.jpg,127.8378528575,36.7390986913,6.0,20211026183141,0,1,,연하협구름다리,28016.0,"연하협구름다리는 충북 괴산군 칠성면에 자리 잡고 있다. 길이 167m, 폭 2.1m의 현수교 형식 출렁다리다.이 구름다리는 충청도 양반 길과 산막이옛길을 이어주는 역할을 수행한다. 다리를 건너며 스릴을 느낄 수도 있고 괴산호를 감상하는 즐거움도 느낄 수 있는 곳이다. 특히 늦가을의 정취가 일품이다."
충청북도 괴산군 감물면 충민로 694-5,,33,0.0,A05,A0502,A05020900,2725011,12,20210709002057,,,127.8708138495,36.8353410238,6.0,20220225110804,0,1,,뭐하농 하우스(농업회사법인 ㈜뭐하농),28006.0,None
