addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청북도 단양군 두산길 254-6,,33,,A01,A0101,A01010500,2931998,12,20221128185349,http://tong.visitkorea.or.kr/cms/resource/79/2917879_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2917879_image3_1.jpg,128.4008449039,37.0017234141,6,20221213173036,0,2,,두산 활공장,27021.0,"두산활공장은 해발 520m의 정상부에 위치하는 지역으로 접근성이 비교적 용이하고, 단양 지형, 하천, 하안단구, 지하자원의 이용 현황 등을 한눈에 살펴 볼 수 있다. 또한 단양의 1차, 2차 그리고 현재 산업을 볼 수 있으며, 패러글라이딩을으로 주요 지질명소를 하늘에서 조망할 수 있다.
  출처 : 국가지질공원"
충청북도 단양군 방산미길 191,,33,,A01,A0101,A01010500,2931997,12,20221128185338,http://tong.visitkorea.or.kr/cms/resource/78/2917878_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2917878_image3_1.jpg,128.3582780617,37.1380013911,6,20221213173217,2,2,,삼태산 경관,27015.0,"단야의 어상천면에 삼태산 일대는 경관이 우수하고 우리나라에서 처음으로 발견된 캠브리아기 최후기 화석을 포함하여 시대를 달리하는 삼엽충이 산출되어 있는 곳이다. 이 지역은 석회암 지역에서 잘 형성되는 카렌과 테라로사가 잘 발달되어 이를 이용한 밭농사가 많이 이루어지는 곳이다.
  출처 : 국가지질공원"
충청북도 단양군 여천1길 28,,33,,A01,A0101,A01010500,2931996,12,20221128185326,http://tong.visitkorea.or.kr/cms/resource/58/2917858_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2917858_image3_1.jpg,128.3669195184,37.023831348,6,20221213173126,1,2,,여천리 돌리네군,27008.0,"여천리 주변에는 카르스트 지형의 특성을 살펴볼 수 있는 돌리네가 수십개 이상 집단적으로 분포하고 있다. 이들 돌리니네 중에는 직경이 100m이상인 것도 있으며, 돌리네가 두 개 이상 붙은 복합돌리네(우발라 등)도 다수 있다. 단양 지역에서는 돌리네를 '못밭'이라고 불리어 지는데, 이는 비가오면 연못이 되었다가 비가 그치면 다시 밭이 된다는 뜻으로 석회암 풍화토인 테라로사의 배수 특성이 반영된 방언이다.
  출처 : 국가지질공원"
충청북도 단양군 옷바위길 8,,33,,A01,A0101,A01010500,2931995,12,20221128185311,http://tong.visitkorea.or.kr/cms/resource/56/2917856_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2917856_image3_1.jpg,128.3372179907,36.9768917393,6,20221213173152,3,2,,만천하 경관,27014.0,"만천하 스카이워크에서 단양의 전경을 살펴 볼 수 있으며, 스카이워크 꼭대기에서는 단양의 지형, 하천 경관 그리고 절개면에 노출된 대형 습곡과 단층 등을 관찰 할 수 있다. 이 주변에는 쥬라기 반송층을 충상하여 올라탄 조선누층군을 관팔할 수 있다.
  출처 : 국가지질공원"
충청북도 단양군 단양읍 천동리,,33,,A01,A0101,A01010500,2931994,12,20221128184114,http://tong.visitkorea.or.kr/cms/resource/45/2917845_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/2917845_image3_1.jpg,128.4197468923,36.9708356497,6,20221213173242,2,2,,다리안 연성전단대,27024.0,"단양군의 소백산 국립공원 입구에 위치하고 있는 다리안 연성전단대는 원생대 화강편마암과 고생대 캠브리아기 장산규암이 접촉하고 있는 곳으로 둘 사이의 접촉대는 압쇄압이 발달하여 전단대를 이루고 있다. 이는 옥동단층의 일부이며, 이들 지층 간의 시간적 간격을 13억년으로 지질학적으로 매우 중요하다.
  출처 : 국가지질공원"
충청북도 단양군 노동장현로 381-21 소백산장,,33,,A01,A0101,A01011900,2931993,12,20221128184103,http://tong.visitkorea.or.kr/cms/resource/43/2917843_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2917843_image3_1.jpg,128.3831201314,36.9530703349,6,20221213173059,1,2,,노동리 노동동굴,27024.0,"노동동굴은 천연기념물로 지정되어 있으며, 고생대 석회암이다. 동굴은 원줄봉에 위치하여 있어서 원줄굴이라고 하며, 지하수의 침투로 이루어진 공동이 확장되면서 천장이 낙반하여 커다란 광장이 이루고, 동굴의 경사가 4050도로 대형 수직동굴 중 하나이다. 수직벽 바닥에는 뼈무덤, 토기의 파편 등이 산재되어 선조들의 피난지와 은거지로 사용되었다.  현재는 동굴 환경을 보호하기 위하여 개방되지 않는다.
  출처 : 국가지질공원"
충청북도 단양군 대강면 황정산로 423,,33,0.0,A02,A0201,A02010800,2789669,12,20211209001821,http://tong.visitkorea.or.kr/cms/resource/55/2792155_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2792155_image2_1.jpg,128.3480955058,36.8566946266,6,20221110155358,1,2,,황정산미륵대흥선사,27028.0,"양산 통도사 건립 당시 창건하였다고 하는 황정산 미륵 대흥선사는 신리 시대 사찰이다.
전성기에는 총 202칸의 당우와 불상 10여 구, 오백나한상 등이 봉안되어 있었으며, 승려도 1,000여 명에 달하였다고 한다. 그러나 1876년 소실된 뒤 오백 나한상은 강원도 금강산 유점사의 승려들이 옮겼다고 한다. 부속 암자로는 청련암· 원통암· 망월암· 굴암 등이 있었으나 현재는 원통암과 청련암만이 남아 있다. 자연 휴양림이 있을 만큼 공기가 좋은 곳이며 새로 불사한 사찰은 넓고 아름다워 찾는 이들이 많은 곳이다."
충청북도 단양군 단성면 충혼로 16,,33,0.0,A02,A0203,A02030600,2787086,12,20211207181519,,,128.323395385,36.9370960501,6,20211207181519,0,2,,단양 단성벽화마을,27025.0,"수몰의 아픔을 간직한 채 자리한 단양군 단성면 벽화마을인 단성벽화마을은 꼬불꼬불 골목길을 따라 알록달록 벽화가 펼쳐지는 아름다운 마을이다. 단양8경길, 옛단양길, 퇴계이황길 같은 유교와 전통을 중심으로 한 다양한 벽화가 구성되어있으며, 골목골목마다 화사하고 재기 넘치는 벽화가 가득하다. 또한 구간마다 태양광 LED 조명을 설치해 밤에도 벽화마을의 매력을 감상할 수 있다. 2014년 낡고 침체된 마을을 되살리고자 단양미술협회의 재능기부로 처음 벽화가 그려진 이후 대학생과 미술학도까지 다양한 사람들이 참여해 골목 담벼락마다 벽화로 채워다. 곳곳의 트릭아트 기법을 활용한 벽화, 해와 달을 조형물을 비롯한 포토존이 곳곳에 자리하기 때문에 인생샷을 건질 수 있는 핫플레이스다."
충청북도 단양군 적성면 애곡리 129-2,,33,0.0,A02,A0205,A02050500,2778945,12,20211125000156,http://tong.visitkorea.or.kr/cms/resource/59/2779059_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2779059_image2_1.jpg,128.3335520847,36.9620267104,6,20221207165255,0,2,,이끼터널,,"단양 수양개빛터널 근처에 자리한 이끼터널은 사진 찍기에 좋은 장소로 유명하다. 오래전부터 도로 양쪽 벽에 이끼가 자생하기 시작했는데, 봄부터 여름까지 이국적인 초록빛 터널을 감상할 수 있다. 왕복 2차선의 좁은 도로이지만 차량 통행이 많은 지역은 아니다. 하지만 이끼터널의 매력을 사진에 담으려면 도로를 가로질러야 하므로 상당한 주의가 필요하다. 오가는 차량을 반드시 확인하고, 조금이라도 위험한 위치나 상황에서는 사진 촬영을 하지 않아야 한다. 이끼터널은 TV 예능프로그램에도 자주 소개되었는데, 그 때문인지 이곳에 왔다는 걸 기념하기 위해 이끼 위에 낙서하는 이들이 많다. 자연이 오랜 시간을 거쳐 우리에게 준 소중한 선물이 이끼터널이다. 더 오래, 더 많은 사람이 이끼터널의 아름다움을 공유할 수 있도록 낙서 등 자연을 훼손은 절대 삼가야 한다."
충청북도 단양군 단양읍 삼봉로 192,,33,0.0,A02,A0205,A02050500,2778932,12,20211124235605,http://tong.visitkorea.or.kr/cms/resource/02/2800002_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2800002_image2_1.jpg,128.364718353,36.9753035478,6,20221202113118,0,2,,소금정공원 장미터널,27012.0,과거 나그네들이 쉬어가던 옛 상진고개에 조성된 공원이다. 단양 강가를 따라 산책로가 마련돼 있어 평소 주민들이 운동 삼아 걷는 코스다. 5월 중순부터 6월까지는 관광객들도 많이 찾아온다. 단양고등학교부터 상진리 강변을 따라 조성된 1.2km 구간의 장미터널 때문. 터널을 따라 빨간 장미가 한 송이씩 피어나 산책로 한쪽을 예쁘게 수놓는다. 장미는 터널 안쪽 산책로와 터널 밖 수변 산책로에서 모두 감상할 수 있다. 그늘이 많은 터널 안쪽이 햇빛을 잘 받는 바깥쪽보다 비교적 장미가 늦게 피기 때문에 방문 시기에 따라 개화 상황이 다를 수 있다. 자동차를 이용할 경우 공원 내 무료주차장에서 출발해 원점 회귀해야 하지만 도보여행자의 경우 장미터널이 끝난 후 단양잔도길까지 걸어갈 수 있다.
