addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode
충청북도 옥천군 묘목로 113 양조장,,33,,A02,A0204,A02040600,2865402,12,20221011170306,,,127.6208553269,36.2472982794,6,20221012134425,2,5,,이원양조장,29061
충청북도 옥천군 동이면 적하리,충청북도 옥천군 동이면 적하리 18-4,33,,A01,A0101,A01010500,2865134,12,20221011103830,,,127.6491183167,36.2896467274,6,20221012102557,0,5,,동이면 금강 해바라기 단지,29023
충청북도 옥천군 환산로 315-1,,33,,A02,A0203,A02030100,2847372,12,20220831174325,,,127.5512311595,36.3427083572,6,20220923153627,0,5,,달빛마을,29003
충청북도 옥천군 안내수한로 239-7,,33,,A02,A0203,A02030100,2847368,12,20220831173006,,,127.6387049645,36.4052861027,6,20220831175356,0,5,,햇다래마을,29006
충청북도 옥천군 예곡2길 8-12,,33,,A02,A0203,A02030100,2848290,12,20220830175559,,,127.8314085729,36.3559063310,6,20220902114621,0,5,,팔음산마을,29012
충청북도 옥천군 청마1길 38-47,,33,,A02,A0203,A02030100,2848240,12,20220830174755,,,127.6635748272,36.3091364277,6,20220902113803,0,5,,시골살이마을,29020
충청북도 옥천군 안남로 495,,33,,A02,A0203,A02030100,2846309,12,20220830170254,http://tong.visitkorea.or.kr/cms/resource/68/2846268_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/68/2846268_image3_1.png,127.6763057105,36.3570478486,6,20220830170309,0,5,,배바우청정마을,29010
충청북도 옥천군 청성면 산계리 1115-39,,33,0,A02,A0205,A02050600,2782476,12,20211129184713,http://tong.visitkorea.or.kr/cms/resource/33/2793433_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2793433_image2_1.jpg,127.7643821092,36.3234838236,6,20220720150351,0,5,,상춘정,29017
충청북도 옥천군 옥천읍 하계리,,33,0,A02,A0203,A02030600,2782452,12,20211129183807,http://tong.visitkorea.or.kr/cms/resource/66/2793466_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2793466_image2_1.jpg,127.5825180784,36.3125456970,6,20221114105842,0,5,,옥천 구읍벽화마을,
충청북도 옥천군 안내면 장계1길 57,,33,0,A02,A0202,A02020200,2770314,12,20211109015226,http://tong.visitkorea.or.kr/cms/resource/41/2770341_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/2770341_image2_1.jpg,127.6350254989,36.3775808711,6,20211217005727,0,5,,장계관광지,29005
