addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode
충청북도 보은군 탄부면 임한리,116-1,33,,A02,A0202,A02020700,2912640,12,20221118170229,http://tong.visitkorea.or.kr/cms/resource/26/2912626_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2912626_image3_1.jpg,127.8047778466,36.4478647835,6,20221118170244,0,3,,솔밭공원,28960
충북 보은군 속리산면 상판리 3-1번지,,33,0,A01,A0101,A01010500,2782919,12,20211129234523,http://tong.visitkorea.or.kr/cms/resource/23/2795523_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2795523_image2_1.jpg,127.8168025175,36.5210038568,6,20221129105219,0,3,,속리산연꽃단지,28910
충청북도 보은군 속리산면 속리산로 600,,33,0,A02,A0203,A02030600,2782912,12,20211129234148,http://tong.visitkorea.or.kr/cms/resource/87/2795487_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/2795487_image2_1.jpg,127.8027266027,36.4992560906,6,20220720151125,4,3,,속리산테마파크모노레일,28910
충청북도 보은군 장안면 속리산로 256,,33,0,A01,A0101,A01010600,2769697,12,20211108202645,http://tong.visitkorea.or.kr/cms/resource/97/2770897_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2770897_image2_1.jpg,127.7822703483,36.4902039777,6,20211109223157,0,3,,국립속리산말티재자연휴양림(속리산말티재자연휴양림),28911
충청북도 보은군 내북면 상궁리,,33,0,A01,A0101,A01011800,2758220,12,20211018233329,,,127.6613189737,36.5290473459,6,20211122200750,0,3,,상궁저수지,28905
충청북도 보은군 탄부면 임한숲2길 24-5,,33,0,A02,A0203,A02030600,2732631,12,20210811005514,http://tong.visitkorea.or.kr/cms/resource/32/2732532_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2732532_image2_1.jpg,127.8059832812,36.4483480838,6,20221125132232,0,3,,로드넘버원촬영지,28960
충청북도 보은군 회남면 안내회남로 1390-1,,33,0,A01,A0101,A01010400,2714802,12,20210429014156,,,127.5807235868,36.4216137500,6,20220718104532,0,3,,독수리봉,28932
충청북도 보은군 속리산면 속리산로 477,,33,0,A02,A0205,A02050600,2671791,12,20200910234530,http://tong.visitkorea.or.kr/cms/resource/92/2671292_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2671292_image3_1.jpg,127.7905054720,36.4992475360,6,20220518173353,13,3,,말티재 전망대(말티고개),28910
충청북도 보은군 산외면 내북산외로 661,,33,0,A02,A0203,A02030100,2632986,12,20191104225052,http://tong.visitkorea.or.kr/cms/resource/81/2632981_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/81/2632981_image2_1.bmp,127.7162182629,36.5778371926,6,20220421165854,0,3,,잘산대대박마을,28901
충청북도 보은군 속리산면 속리산로 596,,33,0,A02,A0203,A02030100,2537494,12,20180223222338,http://tong.visitkorea.or.kr/cms/resource/10/2537410_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/10/2537410_image2_1.JPG,127.7999269865,36.4944454787,6,20220225132314,4553,3,,속리산 숲체험휴양마을,28910
충청북도 보은군 내북면 산척상궁로 421-100,,33,0,A02,A0204,A02040800,2481741,12,20170221195710,http://tong.visitkorea.or.kr/cms/resource/54/2481754_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/54/2481754_image2_1.JPG,127.6373299514,36.5110211998,6,20211220193734,2602,3,,산모랭이풀내음,28905
충청북도 보은군 산외면 장갑리 산15,,33,0,A01,A0101,A01010600,2419040,12,20160920224653,http://tong.visitkorea.or.kr/cms/resource/00/2031300_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2031300_image2_1.jpg,127.7898257875,36.5699310989,6,20220513113201,3640,3,,충북알프스자연휴양림,28902
충청북도 보은군 회남면 군막길 8,,33,0,A02,A0203,A02030100,2002449,12,20150511223135,,,127.5746324103,36.4235911923,6,20210709204120,3017,3,,보은 분저실마을,28932
충청북도 보은군 속리산면 법주사로 405,,33,0,A02,A0202,A02020200,1958113,12,20141021200653,http://tong.visitkorea.or.kr/cms/resource/18/1917318_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/1917318_image3_1.jpg,127.8329032953,36.5411407332,6,20220804141710,5916,3,,속리산 관광특구,28908
충청북도 보은군 삼승면 선곡리,,33,0,A02,A0201,A02010700,1956001,12,20141015021726,,,127.7091871076,36.4216355011,6,20220420111834,1631,3,,금화서원,28923
충청북도 보은군 회인면 부수1길 31-11,,33,0,A02,A0201,A02010700,1954449,12,20141008005810,,,127.6014974276,36.4971804739,6,20220809113119,1914,3,,회인향교,28929
충청북도 보은군 보은읍 보청대로 1471,(보은읍),33,0,A02,A0206,A02060500,1947163,12,20140912011712,,,127.7539590580,36.4877204163,6,20220826144744,2527,3,,청목화랑,28916
충청북도 보은군 회인면 부수길 111-2,(회인면),33,0,A02,A0203,A02030100,1939620,12,20140807184632,http://tong.visitkorea.or.kr/cms/resource/95/2361095_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/95/2361095_image2_1.png,127.6096301773,36.4919589954,6,20220317115528,4994,3,,보은 하얀민들레마을,28929
충청북도 보은군 장안면 장안로 225,(장안면),33,0,A02,A0201,A02010700,1626760,12,20120510022004,http://tong.visitkorea.or.kr/cms/resource/69/1596669_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/1596669_image3_1.jpg,127.7986136681,36.4781334324,6,20210826031609,16940,3,,상현서원,28912
충청북도 보은군 보은읍 삼산로 56-14,(보은읍),33,0,A02,A0201,A02010700,1626739,12,20120510020008,http://tong.visitkorea.or.kr/cms/resource/36/1596636_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/1596636_image3_1.jpg,127.7154181461,36.4845256405,6,20210901234433,17262,3,,보은동헌,28947
충청북도 보은군 보은읍 향교2길 21-5,(보은읍),33,0,A02,A0201,A02010700,1626733,12,20120510015322,http://tong.visitkorea.or.kr/cms/resource/24/1596624_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/1596624_image3_1.jpg,127.7137180903,36.4920219746,6,20220908174904,16439,3,,보은향교,28933
