addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청북도 보은군 탄부면 임한리,116-1,33,,A02,A0202,A02020700,2912640,12,20221118170229,http://tong.visitkorea.or.kr/cms/resource/26/2912626_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2912626_image3_1.jpg,127.8047778466,36.4478647835,6,20221118170244,0,3,,솔밭공원,28960,"솔밭공원은 충청북도 보은군 탄부면 임한리에 있다. 수령 250년이 넘는 노송 100여 그루가 장관을 이룬 공간이다. 특히 오전에 안개와 어우러진 솔밭의 풍경이 훌륭하다. 이 때문에 사진 동호인들의 인기 출사지로 이름 높다. 공원 곳곳에 쉼터도 마련되어 있어서 한적하게 휴식을 취하기도 좋다. 속리산IC에서 가깝고, 주변에 속리산국립공원과 속리산말티재자연휴양림이 있다."
충북 보은군 속리산면 상판리 3-1번지,,33,0.0,A01,A0101,A01010500,2782919,12,20211129234523,http://tong.visitkorea.or.kr/cms/resource/23/2795523_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2795523_image2_1.jpg,127.8168025175,36.5210038568,6,20221129105219,0,3,,속리산연꽃단지,28910,"충북 보은군 속리산면 천연기념물인 정이품송 맞은편에 조성된 연꽃단지이다. 연꽃의 계절이 되면 백련과 수련, 가시연꽃, 물양귀비 등 아름다운 연꽃이 장관을 이룬다. 편안하게 관찰할 수 있도록 관찰로가 조성되어 있다. 어린이를 위한 교육 장소 및 가족 단위 피크닉 장소로 적합하다. 주변에는 속리산 국립공원, 법주사, 솔향공원과 예쁜 카페들도 있고, 주차장도 이용할 수 있다."
충청북도 보은군 속리산면 속리산로 600,,33,0.0,A02,A0203,A02030600,2782912,12,20211129234148,http://tong.visitkorea.or.kr/cms/resource/87/2795487_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/2795487_image2_1.jpg,127.8027266027,36.4992560906,6,20220720151125,4,3,,속리산테마파크모노레일,28910,"속리산 풍경을 즐기며 할 수 있는 레포츠 중 하나이다. 솔항공원 주차장 이용이 가능하고, 스카이바이크, 집라인, 스카이트레이 등과 함께 즐길 수 있다.  하부 승차장에서 전망카페까지 총 왕복 866m를 운행하며, 전망대에는 베이커리와 음료 등을 판매하는 카페도 있다. 당일 현장 접수만 하고 있으며, 1대당 수송 인원이 20명 정도로 적은 편이라 대기가 발생할 수 있다. 선착순 접수를 하니 미리 접수부터 하고 주변을 둘러보는 것이 좋다. 탑승 후 전망대에 도착해서도 먼저 하행 시간을 선착순 접수해놓는 것이 편리하다. 남는 대기 시간에는 주변의 도깨비공원이나 속리산 자생 식물원을 구경할 수 있다."
충청북도 보은군 장안면 속리산로 256,,33,0.0,A01,A0101,A01010600,2769697,12,20211108202645,http://tong.visitkorea.or.kr/cms/resource/97/2770897_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2770897_image2_1.jpg,127.7822703483,36.4902039777,6,20211109223157,0,3,,국립속리산말티재자연휴양림(속리산말티재자연휴양림),28911,"국립속리산말티재자연휴양림은 충북 보은군 장안면에 있다.
휴양림에는 산책로, 쉼터, 숙박시설 등이 갖춰져 있다. 이 밖에 곤충 관찰 등 숲속 체험 프로그램과 장승 만들기 등 목재 문화 체험 프로그램이 마련되어 있다.
휴양림은 속리산 IC 와 가깝고, 주변에 속리산숲체험휴양마을이 있다."
충청북도 보은군 내북면 상궁리,,33,0.0,A01,A0101,A01011800,2758220,12,20211018233329,,,127.6613189737,36.5290473459,6,20211122200750,0,3,,상궁저수지,28905,"상궁저수지는 충북 보은군 내북면에 자리 잡고 있다. 만수 면적은 39만㎡이며, 낚시객들 사이에서 유명한 낚시 명소다. 저수지에서는 89치급 붕어를 비롯해 잉어, 배스를 낚을 수 있다. 특히 여름철에는 25cm의 블루길이 잡히기도 한다. 상궁저수지는 회인IC에 가깝고, 주변에는 세계문화유산 법주사, 속리산 말티재 자연휴양림이 있다."
충청북도 보은군 탄부면 임한숲2길 24-5,,33,0.0,A02,A0203,A02030600,2732631,12,20210811005514,http://tong.visitkorea.or.kr/cms/resource/32/2732532_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2732532_image2_1.jpg,127.8059832812,36.4483480838,6,20221125132232,0,3,,로드넘버원촬영지,28960,"개인 사유지이르모 사진 촬영시 이장님과 소유자의 허락 필요
보은에는 로드넘버원 촬영지인 임한리솔밭공원이 있다.
이곳의 소나무들은 보호수로 지정받아 체계적으로 관리되고 있다.
경치가 좋아 관광객은 물론 사진작가들의 출사지로 유명하다.
다른 지역의 솔숲처럼 야영장으로 이용되고 있지 않아 훼손되지 않았다."
충청북도 보은군 회남면 안내회남로 1390-1,,33,0.0,A01,A0101,A01010400,2714802,12,20210429014156,,,127.5807235868,36.42161375,6,20220718104532,0,3,,독수리봉,28932,"독수리봉에서 바라본 비경은 대청호에서 꼭 가봐야 할 명소에서 빠지지 않을 정도로 아름답다. 독수리봉 데크에 오르면 거대한 악어 한마리와 독수리 형상을 볼 수 있는데 대청호가 생기면서 생겨난 자연의 조각품이다. 독수리봉은 산에 둘러 싸인 대청호 인근의 아름다운 분저리 마을을 지나 산을 타고 올라가면 볼 수 있다.

stong 옛 이야기 stong
독수리봉이 있는 분저리 마을은 고려시대 때 최영장군이 군량을 모아서 가루로 만들어 군사들에게 주었던 곳이라 붙여진 이름이다.

출처 : 충청북도청 관광항공과"
충청북도 보은군 속리산면 속리산로 477,,33,0.0,A02,A0205,A02050600,2671791,12,20200910234530,http://tong.visitkorea.or.kr/cms/resource/92/2671292_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2671292_image3_1.jpg,127.790505472,36.499247536,6,20220518173353,13,3,,말티재 전망대(말티고개),28910,"말티고개를 한눈에 볼 수 있는 말티재 전망대. 높이 20m로 2020년 2월 개장했다.  전망대에서 바라보는 말티고개는 숲과 도로가 어우러진 독특한 풍광이 한눈에 들어온다. 자전거, 바이크 동호인들 사이에서 12 굽이 와인딩 코스로 유명한 곳으로 고려 태조 왕건과 조선 세조가 속리산 행차 때 앏은 돌을 깔아 길을 냈다고 전해진다. 길이 가파르기 때문에 초보 운전자는 각별히 주의를 기울여야 한다."
충청북도 보은군 산외면 내북산외로 661,,33,0.0,A02,A0203,A02030100,2632986,12,20191104225052,http://tong.visitkorea.or.kr/cms/resource/81/2632981_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/81/2632981_image2_1.bmp,127.7162182629,36.5778371926,6,20220421165854,0,3,,잘산대대박마을,28901,"산대라는 뜻은 산속에 터가 있다 라는 뜻이며 저희 마을은 문화류씨 집성촌으로 학자와 효자,효부가 많았고,일제 강점기때 집단으로 창씨개명을 거부하여 전국 최초의 창씨개명 집단 사적지로 지정받았으며 이로 인한 희생자들의 넋을 기리는 비석과 보호수 이야기길이 조성되어 있는 마을이다. 22가구에 45명이 거주하고 있으며 보은군 관광명소와 유적지를 미니어처로 만든 보은미니어처공원이 자리하고 있어 오는 이로 하여금 다양한 볼거리를 제공하고 있으며, 나들이 하기에 좋다."
충청북도 보은군 속리산면 속리산로 596,,33,0.0,A02,A0203,A02030100,2537494,12,20180223222338,http://tong.visitkorea.or.kr/cms/resource/10/2537410_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/10/2537410_image2_1.JPG,127.7999269865,36.4944454787,6,20220225132314,4553,3,,속리산 숲체험휴양마을,28910,"백두대간 속리산 깊은 산골, 세속의 시름을 씻는 휴양의 명소인 속리산 숲체험휴양마을은 충청북도 보은군 속리산(俗離山) 자락에 위치하고 있다. 또한 속리산은 조선시대 임금님들이 심신을 다스린 곳이다. 속리산의 아름드리 소나무 숲속 대자연에서 휴식을 취하고 심신 수양 및 건강을 도모하는 자연치유 공간으로서 숲에서 다양한 체험활동을 통해 삶의 여유를 찾고 자아에 대한 사랑과 자연에 대한 소중함을 찾을 수 있다."
충청북도 보은군 내북면 산척상궁로 421-100,,33,0.0,A02,A0204,A02040800,2481741,12,20170221195710,http://tong.visitkorea.or.kr/cms/resource/54/2481754_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/54/2481754_image2_1.JPG,127.6373299514,36.5110211998,6,20211220193734,2602,3,,산모랭이풀내음,28905,"충청북도 보은에 위치한 산모랭이풀내음은 답답한 공기, 바쁜 일상 속에서 벗어나 푸르른 자연을 보고,산새소리를 들으며 여유로움을 만끽해볼 수 있는 관광농원이다. 만여평의 넓은 부지에 대형 수영장, 미니 도서관, 300m위 다래터널, 동물체험장, 족구장, 놀이터 등 다양한 부대시설을 갖추고 있다. 또한 산모랭이풀내음에서는 손두부 만들기, 잼·조청 만들기, 효소 만들기, 생명과학 체험 등nsp;다양한 농촌 교육 프로그램도 진행하고 있어 아이들을 동반한 가족단위 관광객들이 찾기 좋은 곳이다."
충청북도 보은군 산외면 장갑리 산15,,33,0.0,A01,A0101,A01010600,2419040,12,20160920224653,http://tong.visitkorea.or.kr/cms/resource/00/2031300_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2031300_image2_1.jpg,127.7898257875,36.5699310989,6,20220513113201,3640,3,,충북알프스자연휴양림,28902,"충북알프스 자연휴양림은 천혜의 자연환경을 자랑하는 충청북도 보은군 산외면에 자리잡고 있으며, 충북 알프스 끝자락 묘봉과 접하고 있다. 총 90.ha의 오염되지 않은 깨끗한 자연환경과 빼어난 주변의 산세는 거친 도심지에서 벗어나 가족과 함께 안락한 휴양을 즐기기를 원하는 사람들에게 꼭 맞는 장소이다."
충청북도 보은군 회남면 군막길 8,,33,0.0,A02,A0203,A02030100,2002449,12,20150511223135,,,127.5746324103,36.4235911923,6,20210709204120,3017,3,,보은 분저실마을,28932,속리산과 대청호에 인접한 분저실 마을은 대중교통을 이용하기엔 다소 불편하나 그러한 지리적 요인이 장점으로 작용하는 곳이기도 하다. 훼손되지 않은 자연과 탁 트인 대청호 경관을 즐기며 트래킹을 즐길 수 있다. 또한 박쥐가 서식하는 동굴을 탐험해 볼 수 있어 호기심 넘치는 아이들에게도 기억에 남는 여행이 될 것이다.
충청북도 보은군 속리산면 법주사로 405,,33,0.0,A02,A0202,A02020200,1958113,12,20141021200653,http://tong.visitkorea.or.kr/cms/resource/18/1917318_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/1917318_image3_1.jpg,127.8329032953,36.5411407332,6,20220804141710,5916,3,,속리산 관광특구,28908,"속리산국립공원을 중심으로 한 속리산관광특구는 수려한 자연경관과 휴양시설이 조화를 이루는 곳이다. 해발 1058m의 속리산은 한국 8경 중 하나인 명산으로 높고 깊은 봉우리와 계곡이 절경을 이룬다. 법주사에서 시작해 속리산의 다양한 절경을 감상할 수 있는 다양한 등산 코스가 있다. 속리산국립공원 주변으로 다양한 숙박 시설을 포함한 관광단지가 조성되어 있으며 법주사와 서원계곡, 만수계곡을 비롯해 솔향공원 등을 둘러볼 만하다. 또 속리산에는 하늘다람쥐, 망개나무 등 희귀 동식물이 서식하고 있어 자연 자원의 보고로 불린다. 속리산 관광특구는 접근성도 좋다. 동서를 연결하는 당진영덕 간 고속도로가 지나고, 청주국제공항에서 30분 남짓한 거리에 자리했다. 덕분에 내국인 뿐 아니라 중국이나 타이완, 싱가포르 등에서 찾아오는 외국인 관광객의 접근도 편리하다. 속리산국립공원은 계절에 따라 속리축전, 속리산단풍가요제, 속리산등반축제 등 다양한 축제가 열리며 특히 단풍이 절경을 이루는 가을에 관광객이 많이 찾는다. 속리산 관광특구 현황1) 범위 : 충청북도 보은군 속리산면 사내리, 상판리, 중판리, 갈목리 일원2) 면적 :  43,745,528㎡ 3) 관광특구 지정일 : 1997년 1월 18일 속리산 관광특구 시설 현황
서원계곡, 법주사, 만수계곡, 화양구곡, 속리산 천왕봉, 문장대, 삼년산성, 솔향공원 등"
충청북도 보은군 삼승면 선곡리,,33,0.0,A02,A0201,A02010700,1956001,12,20141015021726,,,127.7091871076,36.4216355011,6,20220420111834,1631,3,,금화서원,28923,"1758년에 지방유생 강재문(姜在文) 외 105인이 발기하여 최운(崔澐)·성운(成運)·조식(曺植)·성제원(成悌元)·최흥림(崔興霖)의 학문과 덕행을 추모하기 위해 창건하여 위패를 모셨다. 선현배향과 지방교육의 일익을 담당하여오던 중 흥선대원군의 서원철폐령으로 1871년(고종 8)에 훼철되었다. 광복 후 지방유림회에서 적극 주선하여 1967년에 복원하였으며, 경내의 건물로는 3칸의 사우(祠宇)와 3칸의 강당, 5칸의 관리사 등이 있다. 사우에는 최운을 비롯하여 5인의 위패가 봉안되어 있다. 강당은 유생들이 모여 강학하던 장소였으나, 지금은 제향 때 제관들의 숙소 겸 회합장소로 쓰고 있다. 해마다 음력 3월 중정(두 번째 丁日)과 9월 중정에 향사를 지내고 있으며, 제품(祭品)은 7변(籩) 7두(豆)이다. 재산으로는 대지 1,400여 평, 임야 38정보 등이 있다."
충청북도 보은군 회인면 부수1길 31-11,,33,0.0,A02,A0201,A02010700,1954449,12,20141008005810,,,127.6014974276,36.4971804739,6,20220809113119,1914,3,,회인향교,28929,"조선 세종 때에 현유(賢儒)의 위패를 봉안, 배향하고, 지방민의 교육과 교화를 위하여 창건되었다. 그 뒤 1924·1941·1952·1971년에 각각 중수되었다. 경내의 건물로는 대성전·명륜당·동무(東廡)·서무(西廡)·동재(東齋)·서재(西齋) 등이 있다. 대성전에는 5성(五聖), 송조4현(宋朝四賢), 우리나라 18현(十八賢)의 위패가 봉안되어 있다. 조선시대에는 국가로부터 토지와 전적·노비 등을 지급받아 교관 1명이 정원 30명의 교생을 가르쳤으나, 갑오개혁 이후 신학제 실시에 따라 교육적 기능은 없어지고 봄·가을에 석전(釋奠)을 봉행(奉行)하며 초하루·보름에 분향을 하고 있다. 이 향교는 충청북도 유형문화재로 지정되어 있다. 소장전적은 판본 4종 5책, 사본 9종 31책이 있는데, 이 중 『교생초안(校生草案)·『병부사문교생안(兵符赦文校生案)·『향교유계안(鄕校儒契案)·『교노재직부속보직안(校奴齋直付屬保直案) 등은 이 지방의 향토사연구에 귀중한 자료이다. 현재 전교(典校) 1명과 장의(掌議) 수 명이 운영을 담당하고 있다."
충청북도 보은군 보은읍 보청대로 1471,(보은읍),33,0.0,A02,A0206,A02060500,1947163,12,20140912011712,,,127.753959058,36.4877204163,6,20220826144744,2527,3,,청목화랑,28916,"1979년 개관한 한국전통낙화연구소는 충청북도 무형문화제 제22호 김영조 낙화장께서 운영하는 곳으로, 한국 고유의 전통예술인 낙화를 체험할 수 있는 공간이다. 청목화랑은 전통낙화 무료체험 프로그램을 운영하여 가족과 학교 및 단체들에 체험활동을 통해 다양한 예술 참여의 기회를 제공하고 있다."
충청북도 보은군 회인면 부수길 111-2,(회인면),33,0.0,A02,A0203,A02030100,1939620,12,20140807184632,http://tong.visitkorea.or.kr/cms/resource/95/2361095_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/95/2361095_image2_1.png,127.6096301773,36.4919589954,6,20220317115528,4994,3,,보은 하얀민들레마을,28929,"하얀 민들레 생태마을은 청정지역 보은군에 위치하고 있고 하얀민들레가 자생하고 있으며, 100년 이상 된 감나무가 많아 곶감이 유명하다. 친환경 농업을 추진하고 생태공동체로서의 역할을 하고자 마을 주민이 합심하여 마을 만들기에 앞장서고 있는 마을이다. 겨울체험거리로 곶감 만들기와 아궁이에 고구마 구워먹기, 눈썰매타기, 얼음지치기 등 다양한 체험이 있어 방문객들에게 많은 인기를 얻고 있다. 400년전 조선시대 생활체험을 통해 옛 선인들의 삶을 배울수 있어 교육과 체험을 동시에 만족할 수 있다."
