addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충북 영동군 양산면 송호리 280,,33,0,A01,A0101,A01010400,2789692,12,20211209003822,http://tong.visitkorea.or.kr/cms/resource/72/2792172_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2792172_image2_1.jpg,127.6775145585,36.130851463,6.0,20221114090250,0,4,,송호리송림,29163,"충청북도 영동군 양산면 송호리에 있는 소나무 숲으로 100년이 넘은 소나무 1만여 그루가 심어져 있다. 숲을 포함하여 이 일대 28만㎡는 송호 국민관광지로 지정되어 있어 많은 여행객들이 찾는 곳이다.
송호리 송림은 '양산팔경의 중심'으로 불리며 양산 8경 중 3곳이 송림 근처에 위치해 있다. 
송림 옆으로는 금강의 상류인 양강이 흐르고 있어 풍광이 빼어나다.
산책로가 잘 조성돼 있고 중간중간 쉬어갈 수 있는 편의 시설도 갖춰 놓았다."
충청북도 영동군 용화면 휴양림길 60,,33,0,A02,A0202,A02020500,2783123,12,20211130005844,http://tong.visitkorea.or.kr/cms/resource/59/2793759_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2793759_image2_1.jpg,127.824345283,36.053204603,6.0,20211214005115,0,4,,민주지산 치유의 숲,29159,"충북 영동의 가장 높은 민주지산에 마련된 치유센터는 국민 건강 증진을 위해 산림청에서 지정한 산림 활용형 시설이다. 민주지산 치유센터는 4개의 지구로 구분하여 다양하게 활용된다. 이 중에서도 체험 치유 지구에서는 원적외선 반신욕을 비롯해 기계를 활용한 자율신경 검사와 스트레스 검사, 명상 테라피 등의 활동이 준비되어 있다. 족욕이나 천연 염색, 나무 액자 만들기 등 다양한 체험도 가능하다. 치유의 숲에는 총 18개 코스가 짜여 있어 선택적으로 트래킹을 즐겨볼 수 있다. 숲속의 향기를 들이마시며 초록빛깔 산림 속에서 나무 열매도 따 먹어보고, 맨발로 자연을 느끼며 걷다 해먹위에 누워 편하게 쉴 수 있다."
충청북도 영동군 양산면 봉곡리 756-1,,33,0,A02,A0201,A02010400,2743393,12,20210911000008,,,127.6957322633,36.1352096262,6.0,20221108173344,0,4,,강선대,29162,강선대는 충북 영동군 양산면 금강 상류에 자리 잡은 6각형 지붕의 정자이다. 양산 8경이라 하여 양산에는 경치가 아름다운 8곳이 있는데 강선대는 양산 2경으로 꼽히는 곳으로 신선이 내려와서 놀았다는 전설이 전해질 만큼 경관이 뛰어난 곳에 위치해 있다. 우뚝 솟은 바위 위에 자리 잡고 있어 멀리서 보면 주변 노송들과 어우러져 고상한 멋을 풍긴다. 정자 위에 서면 강물이 절벽에 부딪치는 소리와 풍경을 감상할 수 있다. 강선대는 양기가 강한 바위와 음기를 품은 물을 연결해 주는 역할을 하고 있다고 한다. 정자 내부에는 조선시대 시인인 이안눌과 임제의 시가 걸려 있어 풍류를 더한다.
충청북도 영동군 황간면 목화실길 7,,33,0,A02,A0201,A02011000,2733433,12,20210812192433,http://tong.visitkorea.or.kr/cms/resource/34/2733434_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2733434_image2_1.jpg,127.8805775641,36.2135456865,6.0,20220930111803,1,4,,노근리평화공원,29113,"1950년 한국전쟁 당시 민간인 피해사건이 있었던 노근리쌍굴다리와 노근리사건을 추모하고 인권과 평화를 기념하기 위해 만든 노근리평화공원이 있는 공간이다.
노근리평화공원에는 노근리평화기념관과 교육관, 위령탑, 조각공원, 50년대생활관, 방문자센터, 평화의 쉼터, 야외전시장 및 야외공원으로 되어 있다."
충청북도 영동군 영동읍 영동힐링로 248,,33,0,A02,A0202,A02020600,2648488,12,20200224223008,http://tong.visitkorea.or.kr/cms/resource/76/2648476_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/76/2648476_image2_1.bmp,127.7926146028,36.1611667384,6.0,20221020105520,0,4,,과일나라테마공원,29142,"과일나라테마공원은 재배된 과일의 수정부터(개화, 수정, 열매솎기, 수확 등)수확까지 모든 과정을 한번에 볼 수 있는 체험교육의 장소다.   과일을 활용한 다양한 요리체험 운영 : 과일피자, 사과파이, 과일쿠키, 초콜릿 등  과일 수확시기에 맞는 수확체험 운영 : 자두 : 7월, 복숭아 : 78월, 포도 89월, 사과 910월, 배 910월  과일나무 분양 : 자두, 복숭아, 포도, 배  유치원, 초등학교, 중학교 체험학습 가능"
충청북도 영동군 영동읍 영동힐링로 30,,33,0,A02,A0204,A02040600,2633949,12,20191107224944,http://tong.visitkorea.or.kr/cms/resource/84/2615684_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2615684_image3_1.jpg,127.7842958945,36.1613110165,6.0,20210929190654,5,4,,영동 와인터널,29151,"영동와인터널은 타 지역 터널 및 동굴과는 다르게 개착식 터널 공업으로 시공한 시설로, 쾌적한 환경과 안전을 최우선으로 조성한 터널이며, 길이는 210M(왕복 420M)로 우측은 와인관련 정보전달에 주안점을 둔 시설이며 좌측은 와인을 체험하고 즐기는 시설로 이루어져 있다.

 규모 : 길이 420m  폭 412m  높이 48m
 영동 와인 산업현황
 포도생산량 : 27.972톤 (전국 점유율 10.8)
와인와이너리 : 43개소 (기업형 :1개소, 농가형 42개소)
 주요시설 10개의 테마존 : 포도밭 여행, 와인 문화관, 영동 와인관,세계 와인관, 영화속 와인, 거울의방, 와인 체험관, 환상터널, 이벤트홀, 포토존"
충청북도 영동군 양산면 호탄길 53-23,,33,0,A02,A0204,A02040600,2609175,12,20190703200447,http://tong.visitkorea.or.kr/cms/resource/56/2609156_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2609156_image3_1.jpg,127.6374041956,36.1325033363,6.0,20211204021148,0,4,,영동블루와인농원,29160,"영동블루와인농원은 아버지와 아들이 운영하는 곳이다. 블루베리와인카페, 블루베리체험관이 있어 와인 족욕, 시음, 와인토크 등 와인 관련 체험 프로그램과 블루베리 수확, 잼 만들기 등 농촌체험을 즐길 수 있다. 와이너리와 함께 펜션을 운영하는 것이 이곳의 장점이다. 화이트와인룸, 레드와인룸, 초코베리룸, 블루베리룸 등 5개 객실에서 편안한 휴식을 취할 수 있고, 부대시설로 수영장, 바비큐장 등도 즐길 수 있다. 충북 영동은 포도 농사를 위한 환경 조건이 잘 갖추어져 있어, 와이너리를 쉽게 찾아볼 수 있다. 영동와인터널을 비롯해 40여 농가 와이너리(포도주 양조장)를 체험하는 농가체험형 와이너리 투어를 선보이고 있으니, 주변 와이너리를 함께 방문하면 특별한 여행의 경험이 될 것이다."
충청북도 영동군 심천면 약목2길 26,,33,0,A02,A0204,A02040600,2609165,12,20190703195916,http://tong.visitkorea.or.kr/cms/resource/45/2609145_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/2609145_image3_1.jpg,127.7203115903,36.201958012,6.0,20220906170101,0,4,,불휘농장,29105,"충북 영동에 위치한 불휘농장은 천천히 음미하고 서서히 와인에 빠져든다는 의미를 담아 시나브로라는 단어로 이름을 만들었다. 각종 와인 품평회에서 입상하며 명성을 쌓은 곳으로, 와이너리를 운영하는 가족 모두 한국국제소믈리에협회(KISA)에서 소믈리에 자격을 취득한, 소믈리에 패밀리다. 불휘농장에서는 뱅쇼·상그리아 만들기와 나만의 와인 만들기 같은 다양한 체험을 할 수 있다. 충북 영동은 포도 농사를 위한 환경 조건이 잘 갖추어져 있어, 와이너리를 쉽게 찾아볼 수 있다. 영동와인터널을 비롯해 40여 농가 와이너리(포도주 양조장)를 체험하는 농가체험형 와이너리 투어를 선보이고 있으니, 주변 와이너리를 함께 방문하면 특별한 여행의 경험이 될 것이다."
충청북도 영동군 매곡면 유전장척길 143,,33,0,A02,A0204,A02040600,2609160,12,20190703195352,http://tong.visitkorea.or.kr/cms/resource/38/2609138_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2609138_image3_1.jpg,127.9366953851,36.1921296972,6.0,20220906152629,0,4,,도란원 샤토미소,29121,"충북 영동에 있는 도란원 샤토미소는 캠벨포도를 직접 재배하고 있는 농가형 와이너리다. 캠벨은 한국에서 가장 많이 재배되는 품종으로, 이곳에서는 우리 입맛에 맞는 신토불이 와인, 한국 고유의 와인을 만들어 내고 있다. 2009년 와이너리를 준공하였고, 이후 체험장, 와이너리 증축을 거쳐 2019년 찾아가는 양조장에 선정되었다. 도란원 샤토미소에서는 샤토미소 와인을 이용한 칵테일 만들기, 나만의 와인잔 꾸미기 등의 체험을 할 수 있다. 충북 영동은 포도 농사를 위한 환경 조건이 잘 갖추어져 있어, 와이너리를 쉽게 찾아볼 수 있다. 영동와인터널을 비롯해 40여 농가 와이너리(포도주 양조장)를 체험하는 농가체험형 와이너리 투어를 선보이고 있으니, 주변 와이너리를 함께 방문하면 특별한 여행의 경험이 될 것이다."
충청북도 영동군 영동읍 산막골길 31-45,,33,0,A02,A0204,A02040600,2608376,12,20190628231807,http://tong.visitkorea.or.kr/cms/resource/58/2608358_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2608358_image3_1.jpg,127.8206258469,36.1667721585,,20211130023959,1,4,,산막와이너리,29127,"충북 영동군에 자리한 산막와이너리는 와인과 예술이 어우러진 문화공간이다. 서울 토박이인 대표가 귀농하여 포도 농사를 짓고 와인을 공부하며 와이너리를 오픈했다. 한적한 산골에서 와인을 마시며 시간을 보낼 수 있는 관광지로, 자연 속에서 몸과 마음을 치유할 수 있는 곳이다. 부채·열쇠고리 만들기와 와이너리·갤러리 투어를 겸한 가든파티 등 다양한 체험을 진행하며, 와인 주문 제작도 하고 있다. 충복 영동은 포도 농사를 위한 환경 조건이 잘 갖추어져 있어, 와이너리를 쉽게 찾아볼 수 있다. 영동와인터널을 비롯해 40여 농가 와이너리(포도주 양조장)를 체험하는 농가체험형 와이너리 투어를 선보이고 있으니, 주변 와이너리를 함께 방문하면 특별한 여행의 경험이 될 것이다."
