addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청북도 옥천군 묘목로 113 양조장,,33,,A02,A0204,A02040600,2865402,12,20221011170306,,,127.6208553269,36.2472982794,6,20221012134425,2,5,,이원양조장,29061.0,"양조장은 술이나 식초 등을 담가 만드는 곳을 뜻한다. 지금은 대규모 공장에서 대부분 먹거리와 주류를 생산하고 있지만, 더 오래전에는 양조장에서 만들어지는 경우도 많았다. 특히 양조장에서는 전통기법에 따른 막걸리를 생산해 어른들의 옛 추억이 담겨 있는 곳이기도 하다.해방 전인 1930년대 금강변에서 시작된 옥천 이원양조장은 당시 술맛이 일품이기로 소문이 자자했다고 한다. 당시에 직원들도 2030명에 이르렀다고 하니 대규모 양조장이었음을 알 수 있다. 거의 100년의 시간 동안 술을 만들어온 이원양조장은 한국전쟁과 5·16 쿠데타 등 한국 근현대사의 굵직한 사건과 변화를 함께 했다고 볼 수 있다. 4대째 전통 막걸리만을 고집한다는 이원양조장은 술맛이 일품이다. 술맛의 쓴맛은 적고 구수한 맛이 진해 주량이 약한 사람들도 맛있게 즐길 수 있다."
충청북도 옥천군 동이면 적하리,충청북도 옥천군 동이면 적하리 18-4,33,,A01,A0101,A01010500,2865134,12,20221011103830,,,127.6491183167,36.2896467274,6,20221012102557,0,5,,동이면 금강 해바라기 단지,29023.0,"금강유원지에서 5분거리에 있는 약 2천 여평의 면적인 동이면 해바라기 단지이다. 구경부고속국도 금강2교 근처에 위치하고 있다. 동이면 행복복지센터와 주민자치위원회에서 봄부터 여름 내내 땀으로 일군 해바라기 단지이다. 동이면 금강 해바라기 단지는 노란색과 연관된 꽃과 나무를 파종, 식재하자는 옐로우 로드 조성으로 올목의 유채꽃밭부터 금강유원지까지 이어지는 강변, 도로와 마을 주변으로 확정 되었다. 푸른산과 금강물 사이 노란색을 뽐내며 자리하고 있어 사진 작가들 사이에 명소로 소문나 사진을 촬영하려는 발길이 이어지고 있다."
충청북도 옥천군 환산로 315-1,,33,,A02,A0203,A02030100,2847372,12,20220831174325,,,127.5512311595,36.3427083572,6,20220923153627,0,5,,달빛마을,29003.0,"이 곳은 대청호 수면보다 지대가 높은 산지마을이라 주변의 마을들과는 달리 수몰과는 거리가 멀었던 마을이다.
그래서 주민들도 대청호 건설로 인해 고향을 떠나지 않고 평화롭게 살고 있으며, 다랑논과 밭이 마을을 감싸고 있고 대청호가 바라다 보이는 아름다운 산골마을이다.
식품의약품안전청에서 직영하는 약용식물재배시험장이 자리 잡고 있으며, 112,200㎡의 부지에 약 5백여종의 초본, 목본의 약초를 재배하고 있는 이곳은 야생의 약초도 수십 종 자생하고 있다. 3층 규모의 한약재교육전시관은 3,000여종의 생약(식물성, 동물성, 광물성)이 전시되어 있다.  9월11월까지는 벌꿀 체험도 가능하다. 체험은 예약이 필수이며, 예약 문의는 전화(0437311881)로만 가능하다."
충청북도 옥천군 안내수한로 239-7,,33,,A02,A0203,A02030100,2847368,12,20220831173006,,,127.6387049645,36.4052861027,6,20220831175356,0,5,,햇다래마을,29006.0,"숲 자원을 가장 크게 지니고 있는 마을이다. 마을을 싸고 있는 숲을 빼고는 어떤 연결을 할 수 없고 그 숲이 주는 가장 자연적이고 원시적인 아름다움을 지키고 후손들에게 줘야 하는 마음을 가진 마을이다. 점점 각박하고 물질적으로 변질하는 세상의 중심에 누군가는 지키고 그 자연스러움을 전하고 싶은 바램을 가지고 있으며, 그 역할을 햇다래마을에서 농어촌 인성학교라는 이름으로 다시 태어나서 자라나는 아이들에게 꼭 전하고 말해주고 싶다고 한다.
햇다래마을에 오면 어떠한 스트레스도 없고 그저 자연을 느끼고 보고 호흡하는 것을 안내해 준다. 자연은 사람이 거스리지 않고 살아가야 함을 무언으로 말해주고 있다."
충청북도 옥천군 예곡2길 8-12,,33,,A02,A0203,A02030100,2848290,12,20220830175559,,,127.8314085729,36.355906331,6,20220902114621,0,5,,팔음산마을,29012.0,"수십년 이자리에서 아이들 웃음소리를 듣고 자란 울창한 플라타너스 두 그루 넉넉한 그늘이 있다. 앞산의 전경도 산아래 옹기종기 있는 집들의 풍경도 커피 한 잔 마시며 평하로이 바라볼만 하다. 마을 입구 다리 아래 흐르는 물소리도 아주 멋지다. TV, 핸드폰 없이도 충분히 즐거운 곳 바로 웃음소리 가득한 팔음산마을이다."
충청북도 옥천군 청마1길 38-47,,33,,A02,A0203,A02030100,2848240,12,20220830174755,,,127.6635748272,36.3091364277,6,20220902113803,0,5,,시골살이마을,29020.0,"금강을 배경으로 자연경관이 우수한 곳에 위치한 시골살이 마을은 경부고속도로를 따라 형성되어 있으며 금강IC와 인접해 있다. 우리 마을은 금강 벚꽃 길과 청정한 자연환경에서 청정한 농산물이 생산되는 대표적인 지역이다. 토종벌꿀 채밀, 젤 캔들 만들기, 농산물 수확체험과 더불어 세미나실이 갖추어져 있어 교육과 체험을 함께 할 수 있는 청정 시골마을이다."
충청북도 옥천군 안남로 495,,33,,A02,A0203,A02030100,2846309,12,20220830170254,http://tong.visitkorea.or.kr/cms/resource/68/2846268_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/68/2846268_image3_1.png,127.6763057105,36.3570478486,6,20220830170309,0,5,,배바우청정마을,29010.0,"배바우청정마을은 천연자연인 대청호 인근 옥천군 동북쪽에 위치한 마을로 대청호 수질보호구역에 위치한 청정마을이다. 
대청호의 시원한 자연, 금강의 풍부한 관광자원과 마을주민들의 넉넉한 인심이 묻어나는 배바우청정마을에서는 친환경농업을 실천하고 자연의 아름다움을 보존하고자 한다."
충청북도 옥천군 청성면 산계리 1115-39,,33,0.0,A02,A0205,A02050600,2782476,12,20211129184713,http://tong.visitkorea.or.kr/cms/resource/33/2793433_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2793433_image2_1.jpg,127.7643821092,36.3234838236,6,20220720150351,0,5,,상춘정,29017.0,"옥천 동쪽을 굽이쳐 흐르는 보청천 한가운데 자리한 정자다. 1970년대에 건립된 현대 건축물이지만 주변 풍광이 매우 빼어나 옥천을 대표하는 비경으로 꼽힌다. 상춘정(常春亭)이란 이름은 주변 풍경이 늘 봄과 같이 아름답다고 하여 붙은 이름이라고 한다. 정자가 자리한 독산도 그 모양이 독특한데, 도담삼봉과 같은 석회암 봉우리로 물길 가운데 솟은 모양이 비슷하다. 보은의 속리산 자락에서 시작해 옥천 청산면으로 흘러드는 보청천은 금강으로 이어진다. 물줄기를 따라 7개의 보가 설치되어 있는데, 하천의 물이 줄어드는 시기에는 독산 아래 산성보를 건너 정자로 올라갈 수 있다. 독산이 동쪽을 등지고 있어 해가 뜰 때면 그림처럼 맑은 반영사진을 얻을 수 있다. 겨울철 은하수 촬영도 가능하다."
충청북도 옥천군 옥천읍 하계리,,33,0.0,A02,A0203,A02030600,2782452,12,20211129183807,http://tong.visitkorea.or.kr/cms/resource/66/2793466_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2793466_image2_1.jpg,127.5825180784,36.312545697,6,20221114105842,0,5,,옥천 구읍벽화마을,,"구읍은 옥천의 옛 중심지로, 지금의 옥천읍 죽향리와 상계리, 하계리, 교동리, 문정리 일부를 가리키는 주민들 사이의 고유명사다. 그 가운데서도 구읍 벽화마을은 향수의 시인 정지용이 태어난 하계리에 자리한다. 마을 담벼락마다 시인의 작품을 형상화한 그림들이 그려져 있는데, 정겨운 시골 풍경을 아름다운 언어로 담아냈던 시인인 만큼 하나같이 눈과 마음을 편안하게 만들어준다. 누군가에겐 고향에 대한 그리움을, 누군가에겐 순수했던 어린 시절의 추억을 떠올리게 한다. 향수를 연상하게 하는 실개천과 평화로운 마을 풍경도 걷는 내내 힐링과 여유를 선사한다. 마을 한가운데 정지용 생가와 문학관도 자리해 함께 둘러보기 좋다. 해마다 이곳 마을을 배경으로 지용제도 열린다."
충청북도 옥천군 안내면 장계1길 57,,33,0.0,A02,A0202,A02020200,2770314,12,20211109015226,http://tong.visitkorea.or.kr/cms/resource/41/2770341_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/2770341_image2_1.jpg,127.6350254989,36.3775808711,6,20211217005727,0,5,,장계관광지,29005.0,"장계관광지는 옥천의 호반 중 하나로 스트레스로 지친 사람들을 위한 힐링 명소다. 고요한 수면을 바라보며 산책하기에 좋고 벤치에 앉아 호수를 바라보는 것만으로도 좋은 곳이다. 산책로를 따라 거닐다 향토전시관에 들어서면 선사시대 유물인 돌칼, 돌도끼 등을 비롯한 삼국시대 유물, 고려조선 시대 청자, 백자, 고문서, 목판, 연자방아 등을 볼 수 있다."
