addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청북도 음성군 원중로399번길 30 품바재생예술체험촌,,33,,A02,A0203,A02030400,2911352,12,20221117131550,,,127.6083058075,36.8727597148,6.0,20221117131615,0,6,,품바재생예술체험촌,27727,"품바재생예술체험촌은 음성군의 특색있는 콘텐츠인 품바와 환경에 대해 다시 생각해보는 재생예술을 함께 접할 수 있는 관광명소로서 품바 리듬을 배울 수 있는 교육아카데미(고고장구, 가족난타 등)와 새활용 체험을 할 수 있는 재생예술 프로그램(새활용 콘테스트, 함께줍깅비치코밍 등 현장교육)을 진행하고 있음

새활용 콘테스트의 경우 쉽게 버려지는 제품들을 다듬고 가꾸어 새롭게 만든 여러 가지 다양한 의상들을 심사하여 시상하는 프로그램으로 작년 처음으로 시행하였음에도 불구하고 전국구에서 다양한 참가자들이 참가하여 가지각색의 의상들을 선보였음

품바재생예술체험촌은 착한 여행지로 선정된 원남저수지 인근에 위치하고 있어, 날이 좋은 봄가을에는 원남저수지 둘레길을 산책하며 힐링하기 좋음. 또 품바재생예술체험촌 바로 옆에는 오감만족 새싹체험장이 위치하고 있어 어른들 뿐만 아니라 아이들이 즐길 수 있는 관광 콘텐츠가 풍부함

1. 친환경 여행 인프라 제고 노력: 
  품바재생예술체험촌은 콘텐츠사업으로 환경 인식 제고, 쓰레기를 활용한 예술작품 제작 등을 위해 올해부터 특별한
   교육을 선보이고 있음. 음성군 내 초‧중학교 학생 및 보호자를 대상으로 함께 줍깅  비치코밍 활동을 실시하고
   주운 쓰레기를 재활용하여 만든 예술작품을 전시하는 등 새로운 환경 교육 프로그램 진행함. 처음으로 선보인 
   프로그램임에도 불구 반응이 좋아 내년에도 사업을 진행할 예정임.

  현장 교육 외에도 체험촌에서 별도로 실시하고 있는 새활용 체험프로그램(하루업사이클 체험)을 운영하고 있음. 
   외부 강사를 중심으로 진행하여 재활용품 또는 새활용 공예 재료로 예술작품을 완성하여 환경 소재 활용에 대한 
   교육을 실시하고 있음

2. 친황경 실천 노력: 
  품바재생예술체험촌의 건물은 에너지 절감을 위해 건물 위에 태양광을 일부 설치하여 신재생 에너지를 사용하고 있음."
충청북도 음성군 원중로1119번길 42 꽃동네학교,,33,,A02,A0203,A02030600,2822187,12,20220530095338,http://tong.visitkorea.or.kr/cms/resource/84/2822184_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2822184_image3_1.jpg,127.5663340812,36.8905819037,6.0,20220614172248,0,6,,꽃동네제빵소(꽃구움),27736,"'꽃동네제빵소'는 2001년 장애 학생의 교육을 위하여 개교한 꽃동네학교에서 장애 학생들의 직업 훈련과 자립을 위하여 세워진 꽃동네학교 학교기업(2012.개관: 제과제빵분야)과 연계한 지역주민사업체로 음성군 관광기념품 사업을 신청하여 2021년 음성군 관광두레 주민사업체로 선정되었다.
'꽃동네제빵소'는 HACCP 시설을 갖추어 60여 종의 제과제빵 제품을 생산하며 꽃동네학교 교사, 재학생, 졸업생, 꽃동네학교 학교기업에 취업하여 근무 중인 근로자(꽃동네학교 졸업생)로 구성되었다. 구성원간의 활발한 협의를 거쳐 '꽃구움'이라는 브랜드명을 개발하였으며 꽃같이 아름다운 사람들에게 위로와 용기와 힘을 북돋아 주는 제품을 기획하였다. '꽃구움'의 대표 상품으로는 당일 로스팅한 신선한 원두로 제작한 드립커피(12g)와 꽃향기가 가득한 원두커피(250g), 무방부제, 무유화제, 무색소 건강한 재료로 만든 쿠키가 있다."
충청북도 음성군 오신로342번길 27,,33,,A02,A0203,A02030600,2820733,12,20220519150254,http://tong.visitkorea.or.kr/cms/resource/29/2820729_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2820729_image2_1.jpg,127.6302911405,37.0271284544,6.0,20220519150313,0,6,,생생마을여행사,27617,"생생마을여행사는 자연과 인간이 공존하는 마을을 꿈꾸는 충북 음성군 생극면 지역 주민들이 만든 생태탐방전문 여행사다. 주민이 직접 주도하여 우리 지역만의 고유한 자원을 발굴하고 마을별 생태환경과 이야기를 엮어 여행상품으로 소개하고 있다. 코로나19로 모든 활동이 중단 되었을 때 지역 주민들이 직접 촬영한 지역의 동식물 사진과 어르신들과의 인터뷰를 통해 수집한 마을 역사와 전설 등 생극면의 자연환경과 옛 삶의 흔적들을 '생생가이드북: 음성군 생극면 생태환경 이야기'으로 발간했다. 생태관광을 주제로 2021년 전국 주민자치박람회에서 최우수상을 수상했다.
 현재, '생태마을탐방 1탄 안터마을 편'을 절찬 판매중이다. 이야기가 있는 마을 산책을 통해 동물농장에 들러 동물들과 더불어 살아가는 원장님을 만나고, 약초꾼이 만든 비밀 효소터널과 꽃사과효소에 대한 이야기도 듣고, 꿈뜨락 정원사를 만나 아름다운 정원탐방을 진행한다. 숲속을 거닐 며 자연 속 숨은 보물 찾기를 하고 300년 된 고택에서 한방족욕과 맛있는 가정식 자연밥상을 즐기는 여정이다. 
이 외에도 우리마을에만 있다 생태탐방 여행시리즈 프로젝트를 통해, 자연과 더불어 살아가는 마을 사람들의 이야기와  체험, 휴식까지 겸비한 마을별 여행 상품을 선보일 예정이다. 생생마을 여행사는 마을을 찾는 이들이 시골마을의 정을 느끼고, 다시 오고 싶은, 체류하고 싶은, 지속가능한 마을여행을 앞으로도 계속 만들어 나갈 것이다."
충청북도 음성군 감곡면 성당길 10,,33,0.0,A02,A0203,A02030600,2782401,12,20211129181421,http://tong.visitkorea.or.kr/cms/resource/13/2793513_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2793513_image2_1.jpg,127.641220804,37.1215955407,6.0,20221115151920,0,6,,매산마을 담장벽화,27602,"충청북도 음성군 감곡면에 자리 잡은 매산마을은 서울과 경상도를 잇는 교통의 요지로 한때 관문 역할을 했던 곳이다. 이러한 마을의 이야기를 정겨운 그림과 글로 담아낸 담장 벽화는 매괴 성당으로 가는 길을 따라 이어져 있다. 벽화를 그린 주인공은 근처에서 궤짝 카페를 운영하는 화가와 그의 딸이다. 이들은 오래되고 낡은 마을 담벼락에 아랫마을과 안골, 윗동네 점말에 전해지는 다양한 이야기들을 소재로 그림을 그렸다. 옛 양수기에서 마을 아이들이 신나게 물놀이를 했던 모습이나 밤마다 도깨비들의 장난으로 괴이한 일들이 벌어졌다는 안골 골짜기, 마을 사람들이 옻이 오르면 목욕을 해서 깨끗하게 나았다는 옻샘 등 평범한 우리네 추억들이 보는 이들의 마음까지 따스하게 물들인다."
충청북도 음성군 대동로537번길 102,보라색 건물,33,0.0,A02,A0203,A02030600,2775016,12,20211117021008,http://tong.visitkorea.or.kr/cms/resource/66/2819966_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2819966_image2_1.jpg,127.5173092274,36.9435638063,6.0,20220615172855,0,6,,잼토리 JAMTORY,27677,"잼토리는 음성군의 청년들이 지역관광을 활성화하고 특색 있는 여행상품을 개발하는 마을여행사이자 관광콘텐츠 기업이다. 지역의 관광자원과 이야기들을 찾아 재미있는(JAM) 스토리(STORY)가 있는 여행 상품으로 탄생시켜 나간다. 잼토리는 재미있는 팩토리와 재미있는 스토리 총 2가지 컨셉이 있다. 재미있는(JAM) 팩토리(FACTORY)는 음성군의 산업자원을 흥미로운 산업관광여행으로 소개하고, 재미있는(JAM) 스토리(STORY)는 음성군 마을의 고유자원을 활용해 흥미로운 이야기가 있는 여행상품을 개발한다.
잼토리의 산업관광프로그램은 상시 가능하며, 테마 여행 상품 복사꽃 길따라 여행 상품은 4월 중 14일만 가능한 계절상품이다. 충북 음성의 재미있는 산업관광을 담은 '춤추는 양변기 투어재미있는 의약 이야기'부터, 충북의 4계절을 담은 사계절 농촌 탐사대, 힐링이 필요한 청년들을 위한 나를 찾는 하룻밤 여행, 건강한 우리를 위한 웰니스 주말여행까지 유니크한 여행이 여행자들을 기다리고 있으며 순차적으로 여행 상품을 오픈 할 예정이다. 10년 이상의 여행업 노하우를 갖춘 여행전문가들이 관광 트렌드에 맞춘 고객 맞춤 상품으로 로컬여행의 새로운 패러다임을 만들고자 노력하고 있다. 지역의 맛과 멋, 스토리가 담긴 여행을 만나는 재미가 있다."
충청북도 음성군 음성로826번길 6-9 사정초등학교(분교),,33,0.0,A03,A0302,A03021700,2775015,12,20211117015930,http://tong.visitkorea.or.kr/cms/resource/43/2821743_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2821743_image3_1.jpg,127.6249376256,36.9720208155,6.0,20221103091252,1,6,,솔부엉이 캠핑장,27684,"솔부엉이캠핑장은 폐교를 캠핑장으로 새롭게 단장하여 2021.10월말부터 운영하고 있다.  넓은 크기의 39개 캠핑사이트와 개수대,화장실,샤워실, 어린이놀이방, 어린이방방, 카페, 탁구장등의 깨끗한 부대 및 편의시설과 음성IC에서 5분거리의 접근성이 용이한 위치의 솔부엉이캠핑장은 주변이 산으로 둘러싸여 가을 단풍과 겨울의 설경, 캠핑장 내의  오래된 키 큰 수목의 풍경이 매우 아름다워서 캠핑장 이용객의 재이용률이 빠르게 증가하고있다.  이벤트 체험으로 로컬농산물직거래장터, 오징어게임, 어린이날 가족운동회, 가을운동회, 핼러윈데이, 크리스마스 이벤트 진행하여 캠퍼들의 예쁜추억쌓기에 일조하고 있다. 
현재 네이버플레이스, 네이버지도검색을 통해 캠핑장 예약을 받고 있다."
충청북도 음성군 금왕읍 대금로 1402,,33,0.0,A02,A0201,A02010800,2770109,12,20211109002314,http://tong.visitkorea.or.kr/cms/resource/18/2770118_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2770118_image2_1.jpg,127.5871767532,36.9855880108,6.0,20221129174616,3,6,,광명선원,27638,"광명선원은 충북 음성군 금왕읍에 있다. 1974년 창건된 광명사에 뿌리를 두고 있으며, 1998년 대한불교 조계종 광명선원으로 사찰 명칭을 변경하였다. 사찰에는 대웅전을 비롯해 요사채, 공양간, 강당, 산신각 등이 갖춰져 있다. 아울러 2기의 도량탑과 영탑 공원이 조성되어 있다. 사찰은 음성 IC에서 가까운 거리에 있다."
충북 음성군 생극면 병암리 773,,33,0.0,A02,A0202,A02020700,2770082,12,20211109001446,http://tong.visitkorea.or.kr/cms/resource/59/2770359_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2770359_image2_1.jpg,127.6057960086,37.0311997614,6.0,20221206095041,0,6,,응천공원,,응천공원은 충북 음성군 생극면에 있다. 공원에는 하천을 따라 산책로가 조성되어 있다. 많은 가로수가 식재되어 있어 여름철에 자연적인 그늘이 만들어진다. 공원은 나들이 장소로 유명하다. 텐트나 타프를 설치하고 한가롭게 시간을 보내는 사람이 많다. 봄에는 응천십리벚꽃길에 많은 인파가 봄꽃놀이를 즐긴다.
충청북도 음성군 원남면 조촌리 1388-1,,33,0.0,A01,A0101,A01011800,2770027,12,20211108235732,http://tong.visitkorea.or.kr/cms/resource/83/2770183_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2770183_image2_1.jpg,127.6059449662,36.8707126852,6.0,20211109010902,1,6,,원남저수지(원남제),,"원남저수지는 충북 음성군 원남면에 있다. 저수지는 농업용수를 공급하는 역할을 하지만, 관광객에게 산책과 명상을 함께 할 수 있는 휴식 공간을 제공하기도 한다. 여름철 연꽃이 피면 저수지 일대 풍경은 더욱 아름다워진다. 잘 정비된 산책로를 따라 걷다 보면 쉬어가기 좋은 벤치도 있다."
충청북도 음성군 금왕읍 백야리 18,,33,0.0,A01,A0101,A01011800,2770018,12,20211108235514,http://tong.visitkorea.or.kr/cms/resource/64/2770164_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2770164_image2_1.jpg,127.6039395107,36.9722120785,6.0,20221130134707,0,6,,용계저수지,,"용계저수지는 충북 음성군 금왕읍에 있다. 금왕읍에 있는 금석저수지, 무극저수지와 함께 삼형제 저수지라 불린다.이곳은 드라이브하기 좋은 길과 함께 잘 정비된 산책로가 갖춰져 있다. 산책로를 걷다 보면 낚시터에서 낚시를 즐기는 사람들을 볼 수 있다.저수지는 음성 IC에서 가까운 거리에 있다."
