addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청북도 제천시 의림대로46길 98,,33,,A02,A0202,A02020500,2900897,12,20221108100657,,,128.2191559605,37.1809216161,6.0,20221108100721,0,7,,본초다담,27127,"약초의 본고장 제천시의 생산품을 사용하여 운영하는 한방족욕체험 카페 본초다담은 일상생활과 여행중 쌓인 피로를 풀 수 있는 장소이다. 한방 족욕 외에도 한방약초, 새싹 나물 체험 및 판매, 카페테리아 또한 운영하고 있다. 족욕 수조에 물을 채운 후, 한방 티백을 물에 넣으면 약재가 물이 풀어지며 건강한 족욕을 즐길 수 있다."
충청북도 제천시 칠성로10길 21,,33,,A02,A0203,A02030600,2900855,12,20221108093928,,,128.210718968,37.1419509456,6.0,20221108093950,0,7,,제천 가스트로 투어,27165,"가스트로 투어란 배, 위를 뜻하는 이탈리아어 'Gasto' 와 여행의 'Tou' 가 합쳐진 말로 '미식여행' 을 뜻한다. 제천 가스트로 투어는 제천 중앙시장 일대의 5가지 현지 맛집들을 2가지 코스(A코스B코스)로 즐길 수 있다. 제천 버스터미널 앞 광장에서 시작하고 문화해설사가 동행하며 제천 음식에 대한 이야기를 함께 들을 수 있다."
충청북도 제천시 수산면 옥순봉로 (342),,33,,A02,A0205,A02050100,2806034,12,20220203104626,,,128.2314811832,36.9442851748,6.0,20220204130756,2,7,,제천 옥순봉 출렁다리,27219,"대한민국 명승 제 48호 옥순봉을 가장 가까이에서, 온몸으로 느낄 수 있는 옥순봉 출렁다리는 길이 222m, 너비 1.5m의 연결다리와 함께 944m 길이의 데크로드와 야자매트로 이루어진 트래킹길까지 더해 청풍호와 옥순봉을 둘러볼 수 있도록 조성하였다."
충청북도 제천시 수산면 수산리 25-1,,33,0.0,A02,A0203,A02030100,2790499,12,20211209200644,http://tong.visitkorea.or.kr/cms/resource/03/2792203_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2792203_image2_1.jpg,128.2039534224,36.9328998592,6.0,20211211020200,5,7,,옥순봉생태공원,27220,"제천 수산면 일대는 슬로시티로 지정될 만큼 아름다운 자연과 생활문화가 잘 보존된 지역이다. 희고 푸른 여러 개의 봉우리가 마치 대나무 싹과 같다고 하여 이름 붙은 옥순봉도 이곳 수산면에 속한다. 옥순봉에서 자동차로 5분여 거리에 조성된 생태공원은 푸른 자연과 다양한 체험이 어우러진 공간이다. 특히 측백나무를 활용한 체험이 눈에 띄는데 측백 오일을 활용한 족욕체험부터 비누 만들기, 화장품 만들기, 우드버닝, 반려식물 가꾸기 등이 예약제로 운영된다. 예부터 신선이 되는 나무로 귀하게 대접받았던 측백나무는 피톤치드를 많이 배출하기로 손에 꼽힌다. 공원에서 이어지는 산책로를 따라 측백나무 숲을 거닐며 산림욕을 즐겨봐도 좋겠다. 공원 한쪽에선 우리나라 전통 궁술인 국궁 체험도 가능하다."
충청북도 제천시 한수면 미륵송계로 1588-1,,33,0.0,A02,A0201,A02010400,2789827,12,20211209015223,http://tong.visitkorea.or.kr/cms/resource/01/2793701_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2793701_image2_1.jpg,128.0802965197,36.8819978543,6.0,20211214004259,0,7,,김세균판서고가,27226,"충청북도 유형문화재 제88호인 이 가옥은 조선 후기 이조판서를 지낸 김세균의 소실이 살던 집으로 전해지고 있다. 충주댐이 건설되면서 1983년 이곳으로 옮겼으며, 현재 충청북도 유형문화재 제88호로 지정이 되어있다. 원래는 안채와 사랑채로 나뉘어 있었으나 안채는 무릉리에 옮겨 짓고 지금은 사랑채만 남아 있다. ㄱ 자형 구조로 가옥의 규모나 양식으로 보면 조선시대 사대부가의 생활을 살펴볼 수 있다. 덕주산을 배경으로 높은 축대에 자리해 있어 돌계단을 올라 일각문을 지나면 멋진 자태를 들여다볼 수 있다"
충청북도 제천시 백운면 애련로10길 153-4,,33,0.0,A02,A0203,A02030600,2789672,12,20211209002003,http://tong.visitkorea.or.kr/cms/resource/64/2791764_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2791764_image2_1.jpg,128.0627337226,37.0916956395,6.0,20220720145935,0,7,,진소마을,27105,"영화 박하사탕'을 촬영하기 전까지는 가까운 역에서 내려 철로를 따라 걸어야만 갈 수 있을 정도로 오지였던 곳이다. 폐교된 애련 분교를 개조한 원서 문학관 앞에서 수백 년은 족히 된 듯한 느티나무를 끼고 좌회전해 좁은 길을 지나면 갑자기 커다란 개울 위로 두 갈래의 철교가 서 있다. 영화 박하사탕의 시작과 끝에서 주인공 영호는 철로 위에 서서 다가오는 철로에 몸을 던지며 나, 다시 돌아갈래를 절규하던 곳이다. 80년대 한국 사회의 처절하고 쓰라린 역사를 단적으로 표현한 명장면이 촬영된 이곳은 지금껏 많은 사람들이 찾아가는 명소로 남아 있다."
충청북도 제천시 금성면 청풍호로 1480,,33,0.0,A02,A0203,A02030600,2789645,12,20211209000236,http://tong.visitkorea.or.kr/cms/resource/76/2791776_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2791776_image2_1.jpg,128.1746253559,37.0337377234,6.0,20221109141810,0,7,,제천왕건촬영지,27211,"우리나라 내륙 관광의 일번지로 손꼽히는 곳이 충주호 주변이다. 유람선 관광도 그렇고 호변을 도는 드라이브 코스로도 최고라 할만하다. 제천쪽에서 금성을 지나고 멀리로 언뜻언뜻 잔잔한 호수가 보일 즈음 길은 산 쪽으로 깊숙이 들어갔다 높은 다리를 건너 호수쪽으로 다시 나온다. 그리고는 작은 고개 아래에 까만 바위가 호수를 턱하니 막아선다. 골재를 채굴하다가 나온 멋진 바위, 금월봉이다. 드라마 '장길산'이 찰영되었던 곳이기도 하다. 금월봉을 지나면 청풍호 드라마 촬영장이다. KBS의 대하사극 '태조 왕건'에서 후삼국 시대의 개성 벽란도 포구를 재현해 놓은 곳이다. 이곳 촬영장에는 초가집 9동 28채, 초가 정자 4동, 기와 정자 1동,  수군 관아 4동, 망루 2동, 성문 및 성벽 117m 등의 일반 시설물과 왕건 군선, 상선이 고증을 거쳐 건조되어 있다."
충청북도 제천시 수산면 옥순봉로6안길 124,,33,0.0,A02,A0203,A02030600,2774290,12,20211115184835,http://tong.visitkorea.or.kr/cms/resource/92/2800292_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2800292_image2_1.jpg,128.2382243696,36.9668771499,6.0,20221129103010,1,7,,제천 청풍호 자드락길 5코스(옥순봉길),27218,제천 청풍호 자드락길 5코스인 옥순봉길은 상천 산수유마을에서 송호리를 지나 옥순대교까지 걷는 산책로이다. 명승으로 지정될 만큼 빼어난 절경을 자랑하는 옥순봉을 향해 걷는 길이라 자드락길 중에서도 인기 코스로 꼽힌다. 희고 푸른 여러 개의 봉우리가 마치 대나무 싹과 같다고 해서 이름 붙은 옥순봉은 제천 10경은 물론 단양 8경에도 이름을 올릴 만큼 아름답다. 맑은 날에는 청풍호에 비친 기암괴석이 한 폭의 동양화를 연상시킨다. 산수유나무가 빼곡한 상천리는 매년 봄이면 노란 산수유꽃이 흐드러지게 핀다. 마을 내에는 직접 참숯을 만드는 상천 참숯 불가마도 자리해 있다. 송호리로 접어들면 굽이진 길마다 벚나무가 반겨준다. 조금만 더 걸으면 내륙의 바다로 불리는 청풍호가 너른 품을 펼쳐 안아준다. 옥순봉 쉼터 맞은편 계단을 오르면 옥순봉이 한눈에 들어오는 전망대가 있다.
충청북도 제천시 백운면 금봉로 365,,33,0.0,A02,A0202,A02020300,2769846,12,20211108223924,http://tong.visitkorea.or.kr/cms/resource/29/2769529_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2769529_image2_1.jpg,128.0461582662,37.1588459307,6.0,20211111233150,2,7,,포레스트 리솜 해브나인 스파 (해브나인 힐링스파),27105,"포레스트 리솜 해브나인 스파는 충북 제천시 백운면에 자리 잡고 있다. 힐링 스파존에는 인체 경락 부위에 따라 다양한 수압 마사지를 즐길 수 있는 바데 풀을 비롯해 물에너지 스파, 사상체질 스파 등의 시설이 갖춰져 있다. 아쿠아 플레이존은 보호자와 아이들이 함께 즐길 수 있는 놀이 풀로 키즈 슬라이드와 유수 풀, 비치 풀로 구성되어 있다. 야외 스파존에는 숲을 바라보며 야외에서 즐기는 인피니티 풀 등 다양한 시설이 마련되어 있다."
충청북도 제천시 의림지로 33,(모산동),33,0.0,A02,A0202,A02020700,2751857,12,20210930185242,http://tong.visitkorea.or.kr/cms/resource/42/2751942_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2751942_image2_1.jpg,128.2080793747,37.1741832958,6.0,20221107131255,0,7,,의림지솔밭공원,27137,"의림지솔밭공원은 제천 제1경인 '의림지'에서 용두산 쪽으로 도로를 따라 올라가 제2의림지인 비룡담저수지 둑 아래에 소나무 숲이 우거진 공원이다. 이리저리 휘며 자란 소나무들의 독특한 아름다움이 빼어난 공원으로, 숲속에 인공 물길을 만들어 물소리와 새소리를 정겹게 감상하면서 휴식할 수 있는 공간이다. 1980년대 제천시 승격 이후, 제천 의용소방대에 의해 아카시아와 돌밭의 척박한 환경에서 자라난 소나무를 의림지와 연계해서 제천의 명물로 탄생시킨 공원이다. 잔디마당을 비롯한 솔숲에 물길을 만들어 솔숲 길을 산책하기 좋아지도록 하여 시민들의 휴식처 및 각 학교(어린이집 등)들의 소풍 장소 등으로 활용되고 있다. 2020년 솔숲 내 자연형 인공수로를 만들어 여름철 물놀이를 즐길 수 있도록 하였다."
