addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청북도 증평군 증평읍 내룡길 69-50,,33,0,A02,A0202,A02020600,2782915,12,20211129234333,http://tong.visitkorea.or.kr/cms/resource/02/2795602_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2795602_image2_1.jpg,127.6124135486,36.7816341537,6,20221118093416,0,12,,농심테마파크(농업기술센터),27908,"충북 증평군 농업기술센터가 증평읍 사곡리에 조성한 테마파크다. 화초 9종 5만 포기, 왕벚꽃 등 수목 8종 180그루, 영산홍 등 관목 4종 7천600 그루가 식재되어 주민 휴식 공간 역할을 하고 있다. 특히 꽃양귀비와 수레국화가 만개하는 시기에는 넓은 들판에 활짝 핀 꽃들이 장관을 이룬다. 증평농업기술센터 주차장으로 내비게이션 검색을 하면 찾기 쉽다."
충청북도 증평군 도안면 노암리 827-1,,33,0,A01,A0101,A01010500,2782902,12,20211129233644,http://tong.visitkorea.or.kr/cms/resource/26/2795626_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2795626_image2_1.jpg,127.59407479,36.8358025954,6,20221124104221,0,12,,연암지질생태공원,27901,"증평 시내에서 자동차로 약 1015분 거리에 위치한 수변 생태공원이다. 저수지 수변을 따라 약 2km의 데크길이 조성되어 있고, 수변을 가로지르는 출렁다리도 설치되어 있다. 저수지를 둘러싼 야산과 수려한 경관으로 산책하기 좋은 공원이다. 증평군 도안읍 연촌리 일대는 중생대 백악기에 생성된 음성 퇴저군지에 속한다. 이 공원은 약 2km에 걸쳐 변성암, 화성암, 화산암, 퇴적암 등의 다양한 지질구조가 함께 나타나는 곳으로 야외 지질 학습장으로서의 가치가 높은 공원이다. 아이들과 함께하는 가볍게 다녀가기 좋은 곳이다."
충청북도 증평군 증평읍 종암길 399,,33,0,A02,A0202,A02020700,2732536,12,20210810233153,http://tong.visitkorea.or.kr/cms/resource/85/2732585_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2732585_image2_1.jpg,127.6374520213,36.7161337965,6,20221128164315,0,12,,별천지공원,27912,2014년 개장한 별천지 공원은 천문대(별)의 이미지와 자연이 살아 숨 쉬는 청정한 이미지(천지)를 합성한 명칭이다. 행복과 장수를 상징하는 거북이가 앉아있는 형상인 좌구산 자락에 자리를 잡았다. 2022년에는 별천지 숲 인성학교가 개관한다. 인성학교에서는 다양한 숲 체험활동과 지역 주민들의 휴식 공간을 마련할 계획이다.공지사항) 별천지 숲 인성학교 건축공사(2019  2022)
충청북도 증평군 증평읍 남하용강로 16,,33,0,A02,A0202,A02020700,2714351,12,20210423014942,,,127.6043813359,36.7673634254,6,20220425152820,0,12,,증평 자전거공원,27948,"증평 자전거공원은 자전거를 주제로 하는 이색테마공원으로 증평군을 축소하여 놓은 자전거 공원에서 어린이들의 학습공간으로 많은 사랑을 받고 있다. 증평 자전거 공원 뒤편에는 2016년 3월에 개장한 어린이 자전거 교통안전 교육장이 위치하고 있는 실내 어린이 자전거 교육관이다. 내부에는 최초의 자전거를 비롯한 자전거의 종류와 역사에 대해 살펴볼 수 있는 공간이 있다. 어린이들이 직접 자전거를 타며 게임을 하고, 자전거의 원리와 변천사를 접해 볼 수 있도록 구성되었다."
충청북도 증평군 증평읍 솟점말길 107,,33,0,A02,A0205,A02050100,2633957,12,20191107230339,http://tong.visitkorea.or.kr/cms/resource/37/2638337_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/2638337_image2_1.jpg,127.6511399762,36.7056158066,6,20220329105920,1,12,,증평 좌구산 구름다리,27912,"좌구산은 증평군 율리에 위치해 있는 한남금북정맥의 최고봉(657m)으로 증평·청주·괴산 3군이 경계를 이루고 있으며 능선을 따라 다양한 수종이 아름다운 산림경관을 연출하고 있다. 특히 좌구산 정상에서 조망되는 삼기저수지는 주변 산세와 어우러져 아름다운 경관을 형성하고 있다. 좌구산은 건강과 장수를 상징하는 거북이처럼 생겼다고 하여 앉을 좌(坐), 거북 구(龜)를 써서 좌구산이라고 부른다. 토끼와 거북이의 경주에서 거북이가 이긴 이유는 앞서 가는 토끼가 아닌 자신의 목표를 향해 정진했기 때문이다. 또한, 좌구산 자락의 율리에는 '당대 문단의 제1인자'라는 평가를 받으며 시명(詩名)을 떨친 백곡 김득신의 묘소가 있다. 백곡 김득신은 백이전을 1억 1만 3천번(지금의 11만 3천번)을 읽었다. 좌구산 명상구름다리를 걸으며 거북이와 백곡 김득신처럼 느리지만 꾸준히 정진한다면 뜻하는 바를 이룰 수 있고 대기만성(大器晩成)할 수 있을 것이다."
충청북도 증평군 도안면 벨포레길 346,,33,0,A02,A0202,A02020600,2633956,12,20191107225552,,,127.5821367111,36.8451985215,6,20220407155812,1,12,,증평 에듀팜(블랙스톤 벨포레 리조트),27900,"아름다운 (Belle) 숲 (Foet) 이라는 의미의 벨포레 리조트는 우리나라 중앙에 위치하여 전국 어디서든 접근하기 편리하며 드넓은 분지에 위치하여 아기자기한 산과 계곡, 호수를 아우르는 경관이 빼어나고 잘 보전된 맑고 아름다운 자연환경으로 천혜의 배산임수(背山臨水)의 터에 자리 잡고 있다. 자연속에 자리잡은 18홀 규모의 골프장과 클럽하우스, 국내 최장거리 에서 즐기는 4계절 로드 루지, 천혜의 자연 속에 지어진 리조트내 40만 제곱 미터의 원남 저수지에 조성된 마리나 클럽등 다양한 레저 휴양을 한 공간에서 즐길수 있다. 또한 드넓은 초지에서 아이들이 미니말을 타고 가족과 함께 나들이하는 외승 체험과 감탄사가 절로 나오는 보더콜리들의 멋진 양몰이공연이 있는 벨포레 팜이 있다."
충청북도 증평군 증평읍 중앙로 88,,33,0,A02,A0204,A02040600,2465783,12,20161221194134,,,127.5736949818,36.7752647407,6,20220421132440,2334,12,,한삼인 증평공장,27943,"국내산 원료로 고려인삼의 명맥을 잇는다stong   농민조합, 회원농협과 계약하고 수매한, 믿을 수 있는 국내산 고려인삼을 원료로 제품을 생산하는 업체이다. 생산 공장을 둘러보는 견학 프로그램을 단체를 대상으로만 진행한다."
충청북도 증평군 증평읍 인삼로 104-48,(증평읍),33,0,A01,A0101,A01010400,2407325,12,20160902003857,http://tong.visitkorea.or.kr/cms/resource/79/2405179_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2405179_image3_1.jpg,127.5802940184,36.7885188929,6,20220330170613,2613,12,,보강천미루나무숲,27917,증평군은 보강천 미루나무숲을 중심으로 증평종합스포츠센터부터 증평대교와 장미대교를 지나 증평일반산업단지 진입로까지의 구간에 보강천 녹색길 조성사업과 보강천 녹색나눔숲 조성사업 등을 시행했다.지난해 5월에 준공한 보강천 녹색길 조성사업은 보강천 미루나무숲과 연계한 휴게시설과 편의시설을 설치해 지역 주민들에게 여가휴식공간을 제공하였다.
충청북도 증평군 증평읍 증안2길 22,(증평읍),33,0,A02,A0203,A02030100,2041026,12,20151113005616,,,127.573850632,36.771348527,6,20221007133729,2902,12,,정안둥구나무마을,27949,"증평의 관문 500년 이상의 느티나무가 마을을 지키고 있는 농촌마을로 주변에는 가볍게 삼림욕을 즐기며 걸을 수 있는 등산코스와 사시사철 시원하고 맛좋은 약수터가 있어 늘 방문객이 발길을 멈추게 한다. 아름답고 푸근한 마을로 사통팔달 전국적으로도 교통(중부고속도로 증평IC와 인접)이 편리한 곳에 위치해 있고 농가에서 직접 수확한 배추로 김장체험 및 절임배추 판매와 보쌈김치, 떡매치기 체험을 통해 즐거움을 맛보고 농심을 느낄 수 있는 마을이다."
충청북도 증평군 도안면 금당1길 34-5,,33,0,A02,A0201,A02010700,1955999,12,20141015015704,,,127.622923056,36.8052260777,6,20211110005103,1255,12,,금당서원,27906,"정후사(靖厚祠)는 정후공 연사종(靖厚公 延嗣宗)의 영정을 모신 사당이다. 본래 1813년(순조 13) 연사종을 추향하고, 후손인 안음현감(安陰縣監) 연충수(延忠秀), 의민공(毅愍公) 연최적(延最績), 동중추(同中樞) 연세홍(延世鴻)을 배향한 양양재(羊羊齋)를 금당서원(金唐書院)이라 불렀다. 1869년(고종6) 서원 철폐령에 의해 철폐됐다가 1915년 정후공의 영정만을 모신 정후사가 재건됐고,해마다 음력 2월 28일 제향을 지내고 있다."
