addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청북도 진천군 광혜원면 회죽리 409-2,,33,0,A01,A0101,A01011800,2769743,12,20211108214345,http://tong.visitkorea.or.kr/cms/resource/62/2769762_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2769762_image2_1.jpg,127.4313382005,36.9789831719,6,20211108220300,0,8,,구암저수지,,"구암저수지는 충북 진천군 광혜원면에 자리 잡고 있다. 이곳은 무수저수지라고도 불리며, 지역민들 사이에서는 댓골저수지로 불리기도 한다. 주변 풍광이 좋아 드라이브에 나섰다가 차를 잠시 세우고 쉬어가기에도 적합하고 산책로를 따라 걷다가 풍경을 감상하기에도 좋다. 저수지는 대소IC와 북진천IC에서 가까운 거리에 있다."
충청북도 진천군 백곡면 명암길 435-135,,33,0,A01,A0101,A01010600,2769739,12,20211108214256,http://tong.visitkorea.or.kr/cms/resource/90/2769790_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2769790_image2_1.jpg,127.390187887,36.9241498594,6,20211209013158,0,8,,생거진천 자연휴양림,27822,"생거진천 자연휴양림은 수려한 경관을 지닌 진천군 백곡면 명암리 무제산 일원에 자리 잡고 있다. 자연생태계를 유지 보전하면서 산에서 경험할 수 있는 건강한 휴양 활동을 제공한다. 산림이 가지고 있는 자원을 이용하여 다양한 휴식과체험 공간, 자연 학습과 산림 교육의 장소로 이용되고 있다. 휴양림에서는 숲 해설과 유아 숲체험 프로그램을 운영하고 있다."
충청북도 진천군 문백면 옥성리,,33,0,A01,A0101,A01011800,2761688,12,20211025225417,,,127.4497166232,36.7971488788,6,20221124150414,0,8,,옥성저수지,27866,"옥성저수지는 충북 진천군 문백면에 자리 잡고 있다. 1973년 준공된 농업 관개용 저수지다. 저수지에는 배스, 붕어 등이 서식하고 있어 낚시객들의 방문이 잦다. 풍경이 좋아 드라이브 도중 잠시 머물다 가는 관광객도 많다. 저수지는 증평IC에서 가까운 거리에 있다. 주변에는 크리스탈카운티CC, 초평밤나무캠핑장 등이 있어 연계 관광에 나서기 수월하다."
충청북도 진천군 진천읍 이상설안길 10,,33,0,A02,A0201,A02010500,2733448,12,20210812200836,http://tong.visitkorea.or.kr/cms/resource/49/2733449_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/2733449_image2_1.jpg,127.4800454173,36.8621613915,6,20221129144940,0,8,,이상설생가,27846,"""독립운동가 이상설(1870∼1917) 선생이 태어난 생가로 목조초가집으로 안채와 헛간채로 구성되어 있다.선생은 현 가옥에서 학자이신 이행우의 아들로 태어나 1894년 문과에 급제한 뒤 성균관 교수, 한성 사범학교 교관 등을 역임하면서 영어, 프랑스어 등 7개국어를 구사하여 신학문을 깨우쳤다.1904년에는 보안회의 후신으로 대한협동회를 조직하여 민족 운동을 하였으며, 탁지부 재무관 법부협판을 거쳐 1905년에는 의정부 참찬에 발탁되었다.같은 해인 11월7일에 수옥헌에서 이또 주재하에 대신회의가 강제 개최되어 이완용 박제순등의 찬성을 조약체결을 선언하였는바 선생은 대신회의에 실무 책임자임에도 일본군의 방해로 참석하지 못하고 다음날 새벽에 알게되어 땅을 치며 통곡하였다. 1906년 4월에 국권회복운동에 앞장설 것을 결심하고 이동녕, 정순만과 같이 망명길에 올라 상해를 거쳐 북간도 용정으로 가서 서전서숙을 건립하고 자비로 항일 민족교육을 시켰으며 1907년 6∼7월 헤이그에서 개최하는 만국평화회의에 참석하라는 고종황제의 위임장을 받고 이준, 이위종과 함께 한국의 실권과 국권의 회복문제를 국제여론에 호소하려다 실패한 후 이준은 현지에서 순사하였다. 선생은 귀국하지않고 영국, 프랑스, 독일, 미국 등 여러나라로 다니면서 일본의 침략성을 폭로하고 한국의 독립이 동양평화의 열쇠라고 주장하였다. 1910년 한일합방이 되자 소련령으로 이주, 한흥동의 한인마을을 건설, 민족교육을 시키다 1917년 47세 때 병으로 세상을 떠나셨다.
"""
충청북도 진천군 초평면 미르숲길 179,,33,0,A02,A0202,A02020700,2721954,12,20210618003340,,,127.4987780618,36.8264741685,6,20221213100905,0,8,,미르숲,27859,"현대모비스에서 사회공헌활동 일환으로 만들어진 미르숲은 다양한 테마에 따라 식생경관디자인 숲(기원의 숲), 자연상생철학 숲(생각의 숲), 지질역사배움 숲(붉은 바위의 숲), 자연생태동화 숲(요정의 숲), 수변경관투영 숲(거울의 숲), 미래세대문화 숲(약속의 숲). 총 6개의 숲으로 이뤄져 있다. 인공적인 조성을 최대한 지양하고 숲이 고이 간직해 온 소중한 자연 그대로의 모습을 볼 수 있는 곳이다."
충청북도 진천군 초평면 화산리 563-1,,33,0,A02,A0202,A02020100,2721941,12,20210618002359,,,127.5293007253,36.8118736205,6,20220519174040,3,8,,한반도지형전망공원,27859,약 14.5m의 탑 모양의 전망대를 따라 전망대에 오르면 파란 하늘 아래 다소곳이 자리한 초평저수지와 저수지 물이 마치 삼면이 바다인 한반도를 감싼 청룡처럼 느껴진다. 용의 전설이 꿈틀대는 신비한 물길을 따라 왼쪽 아래를 내려다보면 중부권 최대 규모의 낚시터인 초평저수지에 좌대 낚시터와 함께 빽빽하게 벚꽃으로 가득 찬 꽃섬을 볼 수 있다.
충청북도 진천군 진천읍 씨제이로 110,,33,0,A02,A0204,A02040600,2617346,12,20190904185459,,,127.4607939186,36.8783702909,6,20220908150028,0,8,,CJ 블로썸 캠퍼스 (CJ제일제당),27845,"stong최초, 최고, 차별화된 국내 최대 식품통합생산기지stong  CJ 블로썸 캠퍼스에서 KFood의 글로벌화를 선도하는 CJ제일제당의 브랜드를 오감으로 체험할 수 있다. 약 5만평의 최대 규모, 친환경 최첨단 기술을 통해 가정간편식이 만들어지는 과정을 경험하고 제품을 직접 맛볼 수 있다.   전시체험 :  큐레이터 가이드 방식 관람.  CJ제일제당의 역사, 브랜드를 360 써클비전 등 다양한 체험형 컨텐츠를 통해 경험할 수 있고, 쌀과 밥의 이야기 그리고 햇반에 대해 알 수 있는 뮤지엄 공간과 최첨단 햇반 생산 기술을 직접 눈으로 보며, 맛의 비밀을 생생하게 체험할 수 있는 공정라인으로 구성되어 있다.  시식 : CJ제일제당의 가정간편식으로 만든 맛있는 차림상을 경험할 수 있다."
충청북도 진천군 덕산읍 옥동1길 35,,33,0,A01,A0101,A01011800,2615397,12,20190816203222,http://tong.visitkorea.or.kr/cms/resource/13/2931013_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2931013_image3_1.jpg,127.5131997848,36.8972746166,6,20221207105616,0,8,,옥동연꽃방죽,27855,규모 3만여㎡에 둘레가 약 2km인 옥동연꽃방죽에서는 매년 여름이면 다채로운 연꽃의 향연을 볼 수가 있다.
충청북도 진천군 초평면 평화로 403-132,,33,0,A02,A0205,A02050100,2615390,12,20190816202203,,,127.5047330255,36.8284990433,6,20220906160059,0,8,,하늘다리,27859,"초평호의 수변데크가 끝나는 지점에 위치한 하늘다리는 초평저수지를 가로질러 설치되었다. 길이 약 93m의 하늘다리에 오르면 초평호의 아름다운 풍광이 시원하게 펼쳐지며, 걸을 때마다 약간씩 출렁거려 아찔한 묘미도 느낄 수 있다."
충청북도 진천군 진천읍 보련골길 41-22,,33,0,A02,A0203,A02030100,2530632,12,20180109225204,,,127.350824151,36.8464580973,6,20220920173042,1732,8,,보련마을,27825,"보련마을은 만뢰산 깊은 품 안에 들어와 있다. 보련마을은 화랑촌이라고도 불리는데 그건 바로 삼국통일의 주역인 김유신 장군이 이 지역 출신이기 때문이다. 천연염색을 위해 우리는 안승갑 고가로 이동했다. 안승갑 선생은 일제강점기 때 사비로 한글과 역사를 가르치는 학교를 마을에 설립하셨던 분이라고 한다. 천연염색은 꽃이나 식물, 과일 등을 자연에서 구할 수 있는 재료를 사용한다. 보련마을에는 마을에서 운영하는 식당인 연꽃가든이 있는데 이곳은 맛집이기도 하다. 보련마을의 숙소는 마치 펜션같이 생겼다. 보련마을에 들러 체험도 하고, 맛집에서 식사 후 숙박해 보길 추천 한다."
