addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode
충청북도 진천군 광혜원면 회죽리 409-2,,33,0,A01,A0101,A01011800,2769743,12,20211108214345,http://tong.visitkorea.or.kr/cms/resource/62/2769762_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2769762_image2_1.jpg,127.4313382005,36.9789831719,6,20211108220300,0,8,,구암저수지,
충청북도 진천군 백곡면 명암길 435-135,,33,0,A01,A0101,A01010600,2769739,12,20211108214256,http://tong.visitkorea.or.kr/cms/resource/90/2769790_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2769790_image2_1.jpg,127.3901878870,36.9241498594,6,20211209013158,0,8,,생거진천 자연휴양림,27822
충청북도 진천군 문백면 옥성리,,33,0,A01,A0101,A01011800,2761688,12,20211025225417,,,127.4497166232,36.7971488788,6,20221124150414,0,8,,옥성저수지,27866
충청북도 진천군 진천읍 이상설안길 10,,33,0,A02,A0201,A02010500,2733448,12,20210812200836,http://tong.visitkorea.or.kr/cms/resource/49/2733449_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/2733449_image2_1.jpg,127.4800454173,36.8621613915,6,20221129144940,0,8,,이상설생가,27846
충청북도 진천군 초평면 미르숲길 179,,33,0,A02,A0202,A02020700,2721954,12,20210618003340,,,127.4987780618,36.8264741685,6,20221213100905,0,8,,미르숲,27859
충청북도 진천군 초평면 화산리 563-1,,33,0,A02,A0202,A02020100,2721941,12,20210618002359,,,127.5293007253,36.8118736205,6,20220519174040,3,8,,한반도지형전망공원,27859
충청북도 진천군 진천읍 씨제이로 110,,33,0,A02,A0204,A02040600,2617346,12,20190904185459,,,127.4607939186,36.8783702909,6,20220908150028,0,8,,CJ 블로썸 캠퍼스 (CJ제일제당),27845
충청북도 진천군 덕산읍 옥동1길 35,,33,0,A01,A0101,A01011800,2615397,12,20190816203222,http://tong.visitkorea.or.kr/cms/resource/13/2931013_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2931013_image3_1.jpg,127.5131997848,36.8972746166,6,20221207105616,0,8,,옥동연꽃방죽,27855
충청북도 진천군 초평면 평화로 403-132,,33,0,A02,A0205,A02050100,2615390,12,20190816202203,,,127.5047330255,36.8284990433,6,20220906160059,0,8,,하늘다리,27859
충청북도 진천군 진천읍 보련골길 41-22,,33,0,A02,A0203,A02030100,2530632,12,20180109225204,,,127.3508241510,36.8464580973,6,20220920173042,1732,8,,보련마을,27825
충청북도 진천군 덕산읍 초금로 712,,33,0,A02,A0204,A02040800,2465798,12,20161221194824,,,127.5086721097,36.9081593932,6,20210910013330,1915,8,,진천 덕산양조(주),27852
충청북도 진천군 백곡면 백곡로 964,,33,0,A02,A0203,A02030100,2436435,12,20161027024835,http://tong.visitkorea.or.kr/cms/resource/68/2436468_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/68/2436468_image2_1.JPG,127.3814760022,36.8804214043,6,20220420111752,3555,8,,물안뜰체험관,27823
충청북도 진천군 문백면 공예촌길 116-3,,33,0,A02,A0203,A02030600,1938403,12,20140731194500,http://tong.visitkorea.or.kr/cms/resource/52/2671552_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2671552_image3_1.jpg,127.4568161877,36.7898776208,6,20220525131134,7138,8,,진천공예마을,27866
충청북도 진천군 진천읍 문화3길 72,,33,0,A02,A0201,A02010900,1750879,12,20121113013306,,,127.4423382129,36.8437045027,6,20221124141700,17665,8,,대한성공회 진천성당,27841
충청북도 진천군 백곡면 용암2길 108-36,,33,0,A02,A0204,A02040800,1627055,12,20120510192155,http://tong.visitkorea.or.kr/cms/resource/58/1596958_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/1596958_image3_1.jpg,127.3667441616,36.8744551605,6,20220414142316,17878,8,,안골관광농원,27823
충청북도 진천군 덕산읍 기전리,,33,0,A02,A0201,A02010700,1393534,12,20110929193848,http://tong.visitkorea.or.kr/cms/resource/50/1332550_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/1332550_image3_1.jpg,127.5351287924,36.8821045370,6,20220805112536,17577,8,,진천 이영남 묘소,27855
충청북도 진천군 진천읍 보련골길 46,,33,0,A02,A0201,A02010400,1393351,12,20110929024219,http://tong.visitkorea.or.kr/cms/resource/32/1332432_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/1332432_image3_1.jpg,127.3533461527,36.8462109489,6,20220810112918,17087,8,,연제 안승갑 고가,27825
충청북도 진천군 진천읍 소강정1길 83,,33,0,A02,A0201,A02010800,346649,12,20071220234021,http://tong.visitkorea.or.kr/cms/resource/69/1332469_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/1332469_image3_1.jpg,127.4512593120,36.8552088955,6,20220406110635,19940,8,,용화사(진천),27835
충청북도 진천군 덕산면 인화길 83,(덕산면),33,0,A02,A0201,A02010800,319555,12,20071207184129,http://tong.visitkorea.or.kr/cms/resource/63/214063_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/214063_image3_1.jpg,127.4889301880,36.8815121034,6,20220624141621,19741,8,,성림사(진천),27856
충청북도 진천군 진천읍 금사로 252-106,,33,0,A02,A0201,A02010800,304788,12,20071129192226,,,127.3919905901,36.8212339608,6,20220818113627,22706,8,,만성사(문수암),27827
충청북도 진천군 진천읍 문진로 1300-80,(진천읍),33,0,A02,A0201,A02010800,300085,12,20071128234953,http://tong.visitkorea.or.kr/cms/resource/91/1329791_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/1329791_image3_1.jpg,127.4224817532,36.8405822825,6,20220411163205,20616,8,,대흥사(진천),27841
충청북도 진천군 이월면 삼용리,,33,0,A02,A0201,A02010700,129528,12,20070426090000,http://tong.visitkorea.or.kr/cms/resource/71/1330171_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/1330171_image3_1.jpg,127.4706340198,36.9026898912,6,20220718175356,19640,8,,진천 산수리와 삼용리 요지,27816
충청북도 진천군 이월면 논실안길 58-1,(이월면),33,0,A02,A0201,A02010400,129529,12,20070426090000,http://tong.visitkorea.or.kr/cms/resource/92/2517892_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2517892_image2_1.jpg,127.4164549810,36.9235920632,6,20211012223653,21026,8,,진천 신헌 고가,27818
충청북도 진천군 진천읍 보련골길 40-4,,33,0,A02,A0203,A02030100,129306,12,20061101090000,http://tong.visitkorea.or.kr/cms/resource/24/1330224_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/1330224_image3_1.jpg,127.3530434182,36.8456332317,6,20220615163507,21934,8,,진천 생거진천화랑촌,27825
충청북도 진천군 진천읍 김유신길 641,,33,0,A02,A0201,A02010800,128057,12,20040308090000,,,127.3411307620,36.8398864577,6,20220826153536,33051,8,,보탑사(진천),27825
충청북도 진천군 초평면 용정리,,33,0,A02,A0205,A02050200,127622,12,20031230090000,,,127.5107931042,36.8459693649,6,20220913100052,18158,8,,진천 태화4년명 마애여래입상,27858
충청북도 진천군 초평면 수의1길 75-7,(초평면),33,0,A02,A0201,A02010700,125947,12,20031224090000,,,127.5511160254,36.7906181242,6,20220915141933,18328,8,,진천 금성대군 사당,27861
충청북도 진천군 진천읍 문화5길 30,,33,0,A02,A0201,A02010700,125914,12,20031223090000,http://tong.visitkorea.or.kr/cms/resource/06/1332806_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/1332806_image3_1.jpg,127.4350442577,36.8497064593,6,20220607131918,18021,8,,진천향교,27841
충청북도 진천군 초평면 용정리,,33,0,A02,A0205,A02050200,125915,12,20031223090000,,,127.5274307423,36.8371706776,6,20221202133116,17470,8,,진천 이시발 신도비,27858
충청북도 진천군 백곡면 강당길 50-6,,33,0,A02,A0201,A02010700,125917,12,20031223090000,,,127.3223365761,36.8915273978,6,20220404163345,16967,8,,만뢰사,27824
충청북도 진천군 진천읍 김유신길 641,(진천읍),33,0,A02,A0205,A02050200,125918,12,20031223090000,http://tong.visitkorea.or.kr/cms/resource/75/214175_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/214175_image3_1.jpg,127.3402308458,36.8397670110,6,20221202162611,17211,8,,진천 연곡리 석비,27825
충청북도 진천군 진천읍 사석리 419-3,,33,0,A02,A0201,A02010300,125919,12,20031223090000,,,127.4134188903,36.8330246560,6,20220610105243,24486,8,,서한순 효자문,27826
충청북도 진천군 초평면 영구리길 60-125,,33,0,A02,A0201,A02010800,125920,12,20031223090000,,,127.5513619838,36.8350519097,6,20220526145551,21289,8,,영수사(진천),27857
충청북도 진천군 이월면 논실길 113-12,(이월면),33,0,A01,A0101,A01010500,126002,12,20031114090000,http://tong.visitkorea.or.kr/cms/resource/83/212683_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/212683_image3_1.jpg,127.4158467153,36.9231309940,6,20221214165748,23243,8,,진천 노원리 왜가리 번식지,27818
충청북도 진천군 백곡면 배티로 708,,33,0,A02,A0201,A02010900,127793,12,20031106090000,http://tong.visitkorea.or.kr/cms/resource/35/1329935_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/1329935_image3_1.jpg,127.3281683148,36.9299758513,6,20220519100824,30190,8,,진천 배티 성지,27821
충북 진천군 진천읍 건송리,,33,0,A01,A0101,A01011800,127789,12,20031021090000,http://tong.visitkorea.or.kr/cms/resource/98/1329998_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/1329998_image3_1.jpg,127.4004996930,36.8659206379,6,20220504165241,35640,8,,백곡저수지,"365-802,1"
충청북도 진천군 진천읍 연곡리,,33,0,A01,A0101,A01010900,127790,12,20031021090000,http://tong.visitkorea.or.kr/cms/resource/87/1332387_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/1332387_image3_1.jpg,127.3557960280,36.8427724999,6,20220429105045,37766,8,,연곡계곡,27825
충청북도 진천군 진천읍 김유신길 170-4,,33,0,A02,A0201,A02010700,127459,12,20030905090000,http://tong.visitkorea.or.kr/cms/resource/82/1329682_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/1329682_image3_1.jpg,127.3757387382,36.8405703330,6,20210731002606,22879,8,,진천 김유신 탄생지와 태실,27825
충청북도 진천군 이월면 논실길 113-10,,33,0,A02,A0201,A02010700,127753,12,20030905090000,http://tong.visitkorea.or.kr/cms/resource/98/214498_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/214498_image3_1.jpg,127.4160939038,36.9235392848,6,20220607104738,17176,8,,노은영당,27818
충청북도 진천군 진천읍 연곡리,,33,0,A01,A0101,A01011800,127791,12,20030627090000,http://tong.visitkorea.or.kr/cms/resource/00/1332400_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/1332400_image3_1.jpg,127.3609677364,36.8445001714,6,20220615165120,24875,8,,연곡저수지,27825
충청북도 진천군 백곡면 대문리,산 2-9 일원,33,0,A01,A0101,A01010400,127792,12,20030624090000,http://tong.visitkorea.or.kr/cms/resource/71/1329871_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/1329871_image3_1.jpg,127.3365363567,36.8533764894,6,20220519103356,27226,8,,만뢰산,27824
충청북도 진천군 문백면 구곡리,,33,0,A02,A0201,A02010700,125973,12,20030321090000,http://tong.visitkorea.or.kr/cms/resource/74/2517874_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2517874_image2_1.jpg,127.4929535846,36.8264907281,6,20221108175742,36951,8,,진천 농다리,27863
충청북도 진천군 문백면 송강로 523,,33,0,A02,A0201,A02010700,125948,12,20021224090000,http://tong.visitkorea.or.kr/cms/resource/25/1332625_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/1332625_image3_1.jpg,127.4106284355,36.7984563602,6,20220712150525,20720,8,,진천 정송강사,27869
충청북도 진천군 진천읍 문진로 1411-38,,33,0,A02,A0201,A02010700,125950,12,20021224090000,http://tong.visitkorea.or.kr/cms/resource/97/2707297_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2707297_image3_1.jpg,127.4231841125,36.8533474931,6,20220826153011,23838,8,,진천 길상사,27829
