addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청북도 청주시 흥덕구 신율로135번길 3,103호,33,,A02,A0203,A02030400,2932742,12,20221214111613,http://tong.visitkorea.or.kr/cms/resource/23/2932323_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2932323_image3_1.jpg,127.4466798691,36.6295875175,6.0,20221214111659,0,10,,복대동사람들,28602,"복대동사람들은 청주를 대표하는 공방이자 교육사업체이다. 문자 그대로 청주시 흥덕구 복대동을 주요 무대로 하고 있는 복대동사람들은 청주에 새롭게 찾아든 행운이다. 마을에 새로운 활기를 불어넣고, 청주의 미래를 이끌어나갈 아이들에게 다양한 배움의 기회를 선물한다. 복대동사람들의 첫번째 사업은 동네 환경 개선을 위한 '쓰레기 제로 마을' 만들기였다. 공예선생님들이 모여 업사이클링 공예 수업을 진행하고, 아이들에게 재활용하는 습관을 가르친다.  학생들을 대상으로 한 업사이클링뿐만 아니라, 최 대표는 경력을 살려 요리교실도 함께 진행한다. 배달 음식으로 끼니를 해결하는 맞벌이 가정이 많다 보니 요리를 어려워하는 사람들의 수도 적지 않았기 때문이다. 배달로 나오는 쓰레기들이 지나치게 많다는 점도 고려하여 친환경적인 요리교실을 운영한다."
충청북도 청주시 흥덕구 남석로 535-83,,33,,A02,A0203,A02030600,2820027,12,20220516161817,,,127.4230994883,36.5991933605,6.0,20220621091140,0,10,,바른스포츠월드,28385,"바른스포츠월드는 한국관광공사가 주관하는 관광두레 주민사업체로, 청주의 스포츠 문화 관광을 이끌어가고 있는 액티비티 전문 센터이다. 바른스포츠월드는 어린이의 눈높이에 맞는 놀이가 최고의 교육이라는 슬로건을 바탕으로 아이들을 위한 다양한 놀이 체험 프로그램을 제공하고 있다. 여름에는 쾌적한 환경에서 영유아도 안전한 물놀이를 할 수 있는 워터풀 서비스가, 봄가을에는 놀이 스포츠와 캠핑이 결합하여 온 가족이 함께 즐거운 하루를 보낼 수 있는 어린이 명량 운동회가 특히 인기 있다. 평일에는 축구나 야구 등 단체 운동을 통해 신체 발육뿐 아니라 협동심과 집중력을 키우는 스포츠 아카데미를 운영한다. 수련회, 야유회 등 단체 대관도 가능하다.
 
1. 바른물놀이장(여름)
2. 바른 어린이 명랑 운동회(봄, 가을)
3. 스포츠아카데미 : 축구야구트레이닝"
충청북도 청주시 서원구 현도면 노산리 899,,33,0.0,A02,A0202,A02020100,2775612,12,20211118010435,,,127.4411824227,36.4533076269,6.0,20221206102121,0,10,,노산리 솔밭 자연유원지,28216,"노산리 솔밭 자연유원지는 충북 청주시 서원구 현도면에 자리 잡고 있다. 대청댐에서 하류 쪽으로 약 5㎞ 정도 떨어진 곳에 있으며, 대전 신탄진과 가깝다. 이곳은 대청댐 하류에 위치한 옛 금강 나루터로 4050년 된 송림과 금강 백사장이 어우러져 하절기에는 해수욕장을 방불케 할 만큼 행락객이 몰리는 강변유원지다."
충청북도 청주시 청원구 오창읍 미래지로 71-53,,33,0.0,A02,A0201,A02010600,2769810,12,20211108222259,http://tong.visitkorea.or.kr/cms/resource/58/2770958_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2770958_image2_1.jpg,127.4047362764,36.7351024259,6.0,20221202101623,0,10,,오창 미래지 한옥마을,28105,오창 미래지 한옥마을은 충북 청주시 청원구 오창읍에 자리 잡고 있다. 미래지 농촌 테마공원과 인접한 덕분에 함께 둘러보기 좋다. 한옥마을에는 주민들이 거주하는 한옥 주택과 게스트하우스용 한옥이 함께 터를 잡고 있다. 청주 도심에서 고풍스러운 한옥을 감상할 수 있어 많은 사람이 찾는다.
충청북도 청주시 흥덕구 오송읍 연제리 902,,33,0.0,A02,A0202,A02020100,2769722,12,20211108212051,http://tong.visitkorea.or.kr/cms/resource/38/2770938_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2770938_image2_1.jpg,127.3235464211,36.6316239725,6.0,20211217005444,0,10,,오송호수공원,28162,청주오송공원은 청주 오송역 8번 출구에서 도보로 약 1520분 거리에 위치하여 산책 겸 도보로 이동하기에 편리하다. 공원 이름에 걸맞게 다섯 그루의 소나무도 볼 수 있으며 규모가 큰 편이어서 공원을 한 바퀴 다 돌기 위해서는 약 한 시간이 소요된다. 걷는 길에는 수상 데크 길이 있어 사시사철 계절의 바람을 느끼며 산책하기 좋다. 수변에는 수질 개선을 위해 연밭이 조성되어 있다.
충청북도 청주시 청원구 오창읍 양청4길 45,,33,0.0,A02,A0202,A02020700,2769715,12,20211108211807,http://tong.visitkorea.or.kr/cms/resource/25/2770925_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2770925_image2_1.jpg,127.4381640311,36.7277844224,6.0,20211118002454,0,10,,송대공원,28116,"송대공원은 충북 청주시 청원구 오창읍에 자리 잡고 있다. 공원에는 송대제라는 저수지를 감상하며 걸을 수 있는 데크 산책로가 조성되어 있다. 아울러 널찍한 잔디밭이 마련되어 있어 돗자리를 펴고 앉아 휴식을 취하기에도 좋다. 공원은 오창IC와 가까운 거리에 있으며, 주변에는 오창호수공원과 청주국제공항이 있다."
충청북도 청주시 흥덕구 대신로 157,(송정동),33,0.0,A02,A0202,A02020700,2769710,12,20211108211603,http://tong.visitkorea.or.kr/cms/resource/23/2770923_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2770923_image2_1.jpg,127.4349582275,36.6466742355,6.0,20211110004214,2,10,,솔밭공원,28436,"솔밭공원은 충북 청주시 흥덕구에 자리 잡고 있다. 공원 부지의 대부분을 소나무 숲이 뒤덮고 있기 때문에 '솔밭공원'이라 이름 붙여졌다. 공원 내부에는 벤치, 연못, 철봉, 테니스장 등 편의시설과 체육시설이 갖춰져 있다. 또한 애국지사 연병호 공적비 망향탑, 올림픽 기념탑, 월남참전 기념탑 등이 세워져 있다. 지리적으로는 흥덕로와 공단로의 끝이 만나는 교차로에 위치하며 서청주 IC 와 가깝다."
충청북도 청주시 상당구 수동 280-18,,33,0.0,A02,A0202,A02020700,2769699,12,20211108202632,http://tong.visitkorea.or.kr/cms/resource/15/2770915_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2770915_image2_1.jpg,127.4911506779,36.6369069191,6.0,20211110004027,0,10,,상당공원,28515,"상당공원은 충북 청주시 상당사거리 남동쪽에 위치했다. 청주의 원도심 상권인 성안길과 인접해 있기 때문에 접근성이 매우 뛰어나다. 근처 북문로에는 젊은이들이 선호하는 카페, 맛집 등이 있어 평일 식사 시간이나 주말에는 인파가 많다. 그러나 별도의 주차 공간이 없음으로 자차 이용 시 주변의 유료 주차장을 이용해야 한다. 10,000㎡ 면적에 산책로가 조성되어 있어 성안길 일대를 찾는 사람들이 애용하는 장소이다. 공원 내부에는 충북 419학생 혁명 기념탑, 충청북도민헌장탑, 한봉수 의병장탑 등이 있다."
충청북도 청주시 상당구 수동 산4-40,,33,0.0,A02,A0202,A02020700,2769690,12,20211108202318,http://tong.visitkorea.or.kr/cms/resource/96/2770896_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2770896_image2_1.jpg,127.4953223819,36.6421202847,6.0,20211110003845,0,10,,삼일공원,28511,"우암산 기슭 우회 도로변에 자리한 삼일 공원에는 3.1운동을 주도한 민족 대표 33인 중 충북 출신 여섯 분의 동상이 세워져 있다. 조국 광복을 위해 피를 흘렸던 선열들의 숭고한 넋을 기리고 그 위업을 계승하기 위해 1980년 건립된 공원은 시민들에게 민족정신의 산 교육장이 되고 있다. 동상이 세워진 충북 출신 민족 대표는 의암 손병희, 우당 권동진, 청암 권병덕, 동오 신홍식, 은재 신석구, 청오 정춘수 선생 등이다. 그러나 정춘수의 동상은 친일행각 사실이 드러나 1990년 시민들에 의해 강제 철거되고 좌대만 남아 있다."
충청북도 청주시 청원구 오창읍 용두리 1-13,,33,0.0,A02,A0202,A02020600,2769666,12,20211108201719,http://tong.visitkorea.or.kr/cms/resource/59/2770859_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2770859_image2_1.jpg,127.4042336368,36.7317444694,6.0,20211110003125,0,10,,미래지 농촌 테마공원(미래지 농어촌 테마공원),28107,미래지 농촌 테마공원은 충북 청주시 청원구에 자리 잡고 있다. 공원에는 가마솥 쌀밥 체험장과 목공예 체험 공간이 마련되어 있다. 아울러 캠핑장이 가까이 있어 캠퍼들의 방문도 잦다. 잘 정비된 산책로가 조성되어 있어 도보로 공원을 둘러보기 좋다. 공원 주변에는 오창저수지와 그랜드CC가 있다.
