addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
충청북도 충주시 마치4길 9-6,,33,,A02,A0203,A02030400,2891306,12,20221031095037,http://tong.visitkorea.or.kr/cms/resource/36/2863536_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/2863536_image3_1.jpg,127.8064407351,36.9723935314,6.0,20221213100138,0,11,,마치공작소,27462,"마치공작소는 소수의 전유물이었던 천연염색의 대중화를 통해 천연염색시장에 활기를 불어넣겠다는 큰 뜻을 품고 있다. 마치공작소의 염색체험은 짧은 강의와 함께 시작한다. 염색방법과 함께 천연염색 재료에 대한 설명을 듣는다. 부드러운 갈색을 표현할 수 있는 밤, 붉은색을 내는 꼭두서니, 자연에서 찾아보기 어려운 파란색의 쪽, 샛노란 빛깔의 메리골드 등 주변에서 쉽게 접할 수 있어 더욱 흥미로운 자연물이다. 염색은 생각보다 간단하다. 끓는 물에 재료를 넣어 우려내고 천을 담가 치대며 색을 입히면 된다. 마치공작소만의 물풍선 염색체험도 운영 중이다. 대학교 축제의 물풍선 던지기 이벤트에서 아이디어를 얻어 개발했다. 커다란 나무판을 세워서 천을 올린 후 풀을 이용해 그림을 그린다. 그 위에 염색물이 들어있는 물풍선을 던져 터뜨리며 염색을 진행한다. 마음에 쏙 들 만큼 물풍선을 던지고 나면 풀을 떼어내서 말려 완성한다. 염색체험이 끝나면 마치공작소의 진가가 드러난다. 단순히 염색으로 끝나는 기존의 체험장들과 달리, 직접 염색한 천으로 보자기 공예를 이용한 포장법까지 배울 수 있다. 이 외에도 나전칠기 공예, 종이접기 공예, 레진 공예 등 다양한 공예체험도 즐길 수 있다."
충청북도 충주시 엄정면 내창로 617-80,,33,0.0,A02,A0205,A02050200,2789890,12,20211209020916,http://tong.visitkorea.or.kr/cms/resource/17/2793317_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2793317_image2_1.jpg,127.9209319141,37.1148736762,6.0,20221117135027,0,11,,충주 백운암 철조여래좌상,27311,"충청북도 충주시 엄정면 괴동리 백운암에 있는 고려 시대의 철불좌상이며 보물 제1527호로 지정돼 있다. 1886년 무당의 신분으로 진령군 여대감(女大監)의 벼슬을 하사받은 윤씨는 백운암이라는 작은 사찰을 창건하였고 철조여래좌상은 그곳에 있는 철불좌상이다. 백운암의 대웅전에 주존불로 모셔져 있으며 높이 90㎝, 어깨 폭 40㎝, 가슴 폭 70㎝이며 전신이 금으로 칠해져 있고 법의는 한쪽 어깨에만 걸친 편단우견의 형태다. 철의 산지로 유명한 충주 지역의 철불 중에서 가장 오래된 불상으로 추정되며 전체적으로 큰 손상이 없고 조각 양식도 좋은 편이어서 통일신라시대 이래 철불 연구에 중요한 불상이 되고 있다."
충청북도 충주시 중앙탑면 창동리 240,,33,0.0,A02,A0205,A02050200,2789867,12,20211209020201,http://tong.visitkorea.or.kr/cms/resource/79/2793279_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2793279_image2_1.jpg,127.8797612518,36.9959310582,6.0,20220720151123,0,11,,중원창동마애불,,"충주 시내에서 탄금대를 지나 창동 5층 석탑 부근에 있는 마애불이다. 남한강을 굽어보는 거대한 암벽에 조각된 것으로 높이는 4m이상이다. 머리와 얼굴 부위는 튀어나오게 양각하였고, 그 이하의 신체는 음각선으로 새겼다. 머리는 소발이며 풍만한 얼굴에 코도 큼직하게 표현하였다. 강 부근에 새겨둔 걸로 보아 고려 시대부터 조창지였던 가흥창과 관련하여 뱃길의 안전을 기원하기 위해 만든 것으로 추정된다."
충청북도 충주시 중앙탑면 루암리 산41,,33,0.0,A02,A0201,A02010700,2789851,12,20211209015345,http://tong.visitkorea.or.kr/cms/resource/25/2793325_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2793325_image2_1.jpg,127.8627598424,37.0015217691,6.0,20221116134024,0,11,,누암리신라고분군,,"충청북도 충주시 중앙탑면 누암리에 석실로 만들어진 총 234기의 고대 무덤이 다량으로 발굴된 사적지이다. 고분은 대부분 도굴된 상태였지만, 짧은 굽다리접시, 바리, 합, 항아리 등 토기와 철기, 금동제 귀고리 등이 출토됐다. 금동제 귀고리 같은 유물들이 출토된 것으로 보아 사회적인 지위가 높은 사람들의 무덤이라 추정하고 있다. 천장 높이는 190cm 내외이다. 한강 유역을 점령한 진흥왕은 신라의 귀족과 부호들을 충주로 이주시켰다. 영토 확장을 위한 거점 지역으로 충주를 선택한 것이다. 당시 충주로 옮겨온 신라 사람들이 충주 누암리 고분군의 주인들이다. 누암리 고분군은 경주의 대릉원에서 볼 수 있는 크기는 아니지만, 보통 무덤보다 훨씬 큰 고분이 많다. 사적 제453호로 지정되어 관리되고 있다"
충청북도 충주시 중앙탑면 중앙탑길 168-6,,33,0.0,A02,A0202,A02020800,2784032,12,20211201005108,,,127.8616092918,37.0243996699,6.0,20220407151530,0,11,,탄금호 일렉트릭,27447,"국내 최초의 친환경 전기유람선을 타고 탄금호의 정취를 즐길 수 있다. 전기를 동력으로 활용하기 때문에 이산화탄소 및 각종 유해가스 발생이 없어 대기오염을 방지할 수 있으며, '타고 놀까' 등 탄금호 주변길을 자전거로 둘러보는 친환경 체험 프로그램도 즐길 수 있다."
충청북도 충주시 수안보면 물탕2길 9,,33,0.0,A02,A0202,A02020300,2769761,12,20211108215752,http://tong.visitkorea.or.kr/cms/resource/66/2771066_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2771066_image2_1.jpg,127.9901111697,36.8465308184,6.0,20211112213446,0,11,,RI온천(RI온천호텔),27497,RI 온천은 충북 충주시 수안보면에 자리 잡고 있다. 이곳은 객실 내부에 가족탕을 전문으로 운영하는 온천이다. 이 덕분에 프라이빗하게 온천을 즐길 수 있다. RI 온천은 괴산IC 와 수안보시외버스터미널과 가까운 거리에 있다. 주변에는 조령산자연휴양림이 있어 연계 관광에 나서기 좋다.
충청북도 충주시 하방3길 24,(봉방동),33,0.0,A01,A0102,A01020100,2761714,12,20211025231200,http://tong.visitkorea.or.kr/cms/resource/33/2761733_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2761733_image2_1.jpg,127.9032180153,36.9771364301,6.0,20221114141740,0,11,,하방 생태습지,27476,"하방 생태습지는 충북 충주시 봉방동에 자리 잡고 있다. 충주의 벚꽃 명소로는 세 군데를 꼽을 수 있는데 충주호 벚꽃길, 수안보 벚꽃길, 그리고 하방마을의 하방 생태습지다. 하방교를 중심으로 양쪽으로 조성된 벚꽃길은 봉방동의 직능단체에서 19년간 가꾼 것으로 제대로 된 벚꽃 놀이를 즐길 수 있는 충주의 벚꽃 명소이다."
충청북도 충주시 소태면 주치길 135-45,,33,0.0,A02,A0201,A02010800,2761709,12,20211025230902,,,127.8420554353,37.1233684649,6.0,20221128095901,0,11,,봉은사,27307,"봉은사는 충북 충주시 소태면 청계산 기슭에 자리 잡고 있다. 석가모니불을 본존불로 삼는 대한불교 법륜종 사찰이다. 웅장한 일주문 지나 사찰로 들어가면 종각, 극락보전, 지장전, 관음보전, 적멸보궁, 산신각 등을 둘러볼 수 있다. 여러 시설이 계단식으로 배치되어 있다. 사찰은 동충주IC와 가까운 거리에 있다. 주변에는 청룡사지, 올데이 컨트리클럽이 있어 연계 관광에 나서기 수월하다."
충청북도 충주시 종민동,,33,0.0,A02,A0205,A02050100,2761695,12,20211025225825,http://tong.visitkorea.or.kr/cms/resource/24/2761724_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/2761724_image2_1.jpg,127.9889210226,36.9913502643,6.0,20221114173653,1,11,,충주호 출렁다리,27484,"충주호 출렁다리는 충북 충주시 종민동에 자리 잡고 있다. 충주호가 안내하는 행복한 둘레길인 종댕이길을 걷다 보면 만날 수 있다. 종댕이길의 명소로 이름 높은 충주호 출렁다리에 서면 충주호의 아름다운 풍광을 한눈에 담을 수 있다. 별도의 포토존은 없지만, 출렁다리를 포함한 충주호의 아름다운 풍경을 기념사진으로 남기는 사람이 많다."
충청북도 충주시 엄정면 삼실길 42,,33,0.0,A01,A0101,A01010700,2761690,12,20211025225614,http://tong.visitkorea.or.kr/cms/resource/68/2761668_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2761668_image2_1.jpg,127.9037011589,37.079149696,6.0,20221115173612,0,11,,우림정원,27314,"충청북도 민간 정원 6호인 우림정원은 충북 충주시 엄정면에 자리 잡고 있다. 정원 명칭은 정원을 개장한 부부의 성을 따서 지었다. 충주 여행 시, 휴식 같은 여정이 필요할 때 방문하기 좋다. 300명 이상 수용할 수 있는 규모에 명상 산책 코스, 걷기 운동 코스, 데이트 코스 등 다양한 산책 코스가 갖춰져 있다. 반려동물은 동반 입장이 불가능하다."
